Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2089,29.19,30.09,29.72,25.46,30.36,30.33,27.77,26.95
2090,29.08,29.96,29.59,25.36,30.48,30.25,27.67,26.75
2091,29.06,30.00,29.55,25.45,30.25,30.41,27.72,26.75
2092,29.09,29.96,29.59,25.35,30.29,30.20,27.59,26.85
2093,29.08,30.00,29.54,25.50,30.26,30.36,27.81,26.81
2094,29.04,29.94,29.54,25.33,30.27,30.18,27.59,26.77
2095,29.17,30.18,29.65,25.44,30.31,30.42,27.76,26.93
2096,29.00,29.76,29.56,25.17,30.31,29.97,27.42,26.73
2097,29.11,30.07,29.64,25.26,30.24,30.18,27.56,26.84
2098,29.08,30.06,29.56,25.33,30.22,30.23,27.65,26.82
2099,28.93,29.83,29.46,25.24,30.13,30.11,27.50,26.65
2100,29.05,29.95,29.50,25.30,30.30,30.17,27.61,26.80
