Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2040,25.44,25.60,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.05,25.03
2041,25.21,25.50,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.94,24.93
2042,25.33,25.65,24.88,24.88,24.88,24.88,24.88,24.88,24.88,24.90,24.88
2043,25.41,25.76,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.07,25.06
2044,25.31,25.60,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.87,24.85
2045,25.23,25.58,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.94,24.93
2046,25.42,25.77,24.92,24.92,24.92,24.92,24.92,24.92,24.92,24.94,24.92
2047,25.41,25.80,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.06,25.04
2048,25.29,25.75,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.98,24.97
2049,25.32,25.63,25.01,25.01,25.01,25.01,25.01,25.01,25.01,25.02,25.01
2050,25.45,25.75,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.11,25.09
2051,25.54,25.91,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.18,25.16
2052,25.52,25.77,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.16,25.14
2053,25.28,25.76,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.88,24.86
2054,25.42,25.65,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.09,25.07
2055,25.38,25.66,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.99,24.97
2056,25.51,25.84,25.10,25.10,25.10,25.10,25.10,25.10,25.10,25.12,25.10
2057,25.46,25.77,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.09,25.07
2058,25.59,25.92,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.22,25.20
2059,25.65,26.03,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.26,25.24
2060,25.59,25.86,25.15,25.15,25.15,25.15,25.15,25.15,25.15,25.17,25.15
2061,25.55,25.77,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.10,25.08
2062,25.58,25.81,25.21,25.21,25.21,25.21,25.21,25.21,25.21,25.23,25.21
2063,25.60,25.88,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.26,25.24
2064,25.54,25.97,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.14,25.12
2065,25.65,25.91,25.21,25.21,25.21,25.21,25.21,25.21,25.21,25.23,25.21
2066,25.58,25.85,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.28,25.27
2067,25.68,25.94,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.15,25.13
2068,25.48,25.69,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.13,25.11
2069,25.45,25.82,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.11,25.09
2070,25.55,25.84,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.24,25.22
2071,25.68,25.92,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.43,25.42
2072,25.59,25.92,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.24,25.22
2073,25.84,26.13,25.39,25.39,25.39,25.39,25.39,25.39,25.39,25.41,25.39
2074,25.64,25.85,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.28,25.26
2075,25.44,25.73,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.05,25.03
2076,25.69,25.97,25.30,25.30,25.30,25.30,25.30,25.30,25.30,25.32,25.30
2077,25.66,25.97,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.30,25.28
2078,25.88,26.13,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.50,25.48
2079,25.69,25.94,25.33,25.33,25.33,25.33,25.33,25.33,25.33,25.35,25.33
2080,25.60,25.82,25.30,25.30,25.30,25.30,25.30,25.30,25.30,25.31,25.30
2081,25.54,25.82,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.18,25.16
2082,25.54,25.94,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.11,25.09
2083,25.53,25.81,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.21,25.20
2084,25.79,25.93,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.48,25.46
2085,25.78,26.15,25.39,25.39,25.39,25.39,25.39,25.39,25.39,25.41,25.39
2086,25.83,26.07,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.42,25.40
2087,25.68,26.05,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.31,25.29
2088,25.49,25.89,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.15,25.13
2089,25.60,25.81,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.25,25.23
2090,25.75,25.89,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.45,25.43
2091,25.61,25.82,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.28,25.26
2092,25.59,26.00,25.17,25.17,25.17,25.17,25.17,25.17,25.17,25.19,25.17
2093,25.72,25.95,25.34,25.34,25.34,25.34,25.34,25.34,25.34,25.36,25.34
2094,25.59,25.80,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.25,25.23
2095,25.56,25.81,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.29,25.28
2096,25.59,25.91,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.30,25.29
2097,25.68,25.99,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.28,25.26
2098,25.60,25.88,25.21,25.21,25.21,25.21,25.21,25.21,25.21,25.23,25.21
2099,25.67,26.00,25.21,25.21,25.21,25.21,25.21,25.21,25.21,25.23,25.21
2100,25.58,26.00,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.26,25.24
