Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2047,27.65,28.03,28.03,28.03,28.03,28.03,28.03,28.03
2048,27.57,27.95,27.95,27.95,27.95,27.95,27.95,27.95
2049,27.70,28.18,28.18,28.18,28.18,28.18,28.18,28.18
2050,27.76,28.15,28.15,28.15,28.15,28.15,28.15,28.15
2051,27.67,28.10,28.10,28.10,28.10,28.10,28.10,28.10
2052,27.84,28.30,28.30,28.30,28.30,28.30,28.30,28.30
2053,27.51,27.98,27.98,27.98,27.98,27.98,27.98,27.98
2054,27.91,28.24,28.24,28.24,28.24,28.24,28.24,28.24
2055,27.74,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2056,27.67,28.07,28.07,28.07,28.07,28.07,28.07,28.07
2057,27.60,28.02,28.02,28.02,28.02,28.02,28.02,28.02
2058,27.75,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2059,27.91,28.31,28.31,28.31,28.31,28.31,28.31,28.31
2060,27.81,28.20,28.20,28.20,28.20,28.20,28.20,28.20
2061,27.62,28.03,28.03,28.03,28.03,28.03,28.03,28.03
2062,27.78,28.26,28.26,28.26,28.26,28.26,28.26,28.26
2063,27.98,28.41,28.41,28.41,28.41,28.41,28.41,28.41
2064,27.65,28.08,28.08,28.08,28.08,28.08,28.08,28.08
2065,27.70,28.08,28.08,28.08,28.08,28.08,28.08,28.08
2066,27.70,28.10,28.10,28.10,28.10,28.10,28.10,28.10
2067,27.80,28.21,28.21,28.21,28.21,28.21,28.21,28.21
2068,27.70,28.09,28.09,28.09,28.09,28.09,28.09,28.09
2069,27.86,28.21,28.21,28.21,28.21,28.21,28.21,28.21
2070,27.86,28.28,28.28,28.28,28.28,28.28,28.28,28.28
2071,27.69,28.08,28.08,28.08,28.08,28.08,28.08,28.08
2072,27.74,28.07,28.07,28.07,28.07,28.07,28.07,28.07
2073,27.99,28.41,28.41,28.41,28.41,28.41,28.41,28.41
2074,27.91,28.32,28.32,28.32,28.32,28.32,28.32,28.32
2075,27.75,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2076,27.86,28.27,28.27,28.27,28.27,28.27,28.27,28.27
2077,27.78,28.19,28.19,28.19,28.19,28.19,28.19,28.19
2078,27.91,28.29,28.29,28.29,28.29,28.29,28.29,28.29
2079,27.97,28.37,28.37,28.37,28.37,28.37,28.37,28.37
2080,27.88,28.30,28.30,28.30,28.30,28.30,28.30,28.30
2081,27.86,28.32,28.32,28.32,28.32,28.32,28.32,28.32
2082,27.85,28.31,28.31,28.31,28.31,28.31,28.31,28.31
2083,27.52,27.93,27.93,27.93,27.93,27.93,27.93,27.93
2084,27.80,28.16,28.16,28.16,28.16,28.16,28.16,28.16
2085,27.86,28.25,28.25,28.25,28.25,28.25,28.25,28.25
2086,27.96,28.37,28.37,28.37,28.37,28.37,28.37,28.37
2087,28.10,28.45,28.45,28.45,28.45,28.45,28.45,28.45
2088,27.85,28.25,28.25,28.25,28.25,28.25,28.25,28.25
2089,27.78,28.12,28.12,28.12,28.12,28.12,28.12,28.12
2090,27.85,28.24,28.24,28.24,28.24,28.24,28.24,28.24
2091,27.97,28.34,28.34,28.34,28.34,28.34,28.34,28.34
2092,27.99,28.36,28.36,28.36,28.36,28.36,28.36,28.36
2093,27.87,28.28,28.28,28.28,28.28,28.28,28.28,28.28
2094,27.78,28.22,28.22,28.22,28.22,28.22,28.22,28.22
2095,27.67,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2096,27.88,28.27,28.27,28.27,28.27,28.27,28.27,28.27
2097,28.09,28.47,28.47,28.47,28.47,28.47,28.47,28.47
2098,27.84,28.20,28.20,28.20,28.20,28.20,28.20,28.20
2099,27.84,28.25,28.25,28.25,28.25,28.25,28.25,28.25
2100,27.82,28.23,28.23,28.23,28.23,28.23,28.23,28.23
