Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2058,26.77,25.34,26.61,26.20,29.98,27.61,27.22,25.41,25.99,26.58,27.43
2059,26.85,25.39,26.59,26.36,30.08,27.59,27.36,25.47,25.97,26.61,27.42
2060,26.60,25.12,26.41,26.03,29.88,27.60,27.06,25.23,25.84,26.49,27.38
2061,26.69,25.25,26.43,26.07,30.04,27.50,27.27,25.28,25.81,26.46,27.37
2062,26.95,25.60,26.70,26.39,29.97,27.80,27.52,25.60,26.07,26.81,27.62
2063,26.85,25.53,26.54,26.27,30.05,27.65,27.28,25.53,25.95,26.63,27.50
2064,26.77,25.39,26.59,26.27,29.88,27.56,27.17,25.40,25.91,26.57,27.40
2065,26.62,25.17,26.43,26.04,29.90,27.53,27.13,25.19,25.80,26.43,27.28
2066,26.74,25.32,26.55,26.21,29.97,27.64,27.21,25.38,25.96,26.59,27.44
2067,26.71,25.21,26.55,26.22,29.96,27.75,27.08,25.39,25.87,26.63,27.49
2068,26.97,25.65,26.64,26.36,30.24,27.60,27.59,25.60,26.07,26.58,27.46
2069,26.88,25.40,26.61,26.33,30.25,27.65,27.40,25.48,25.99,26.66,27.52
2070,26.82,25.46,26.63,26.16,30.11,27.68,27.32,25.51,26.03,26.58,27.48
2071,26.88,25.51,26.60,26.32,30.17,27.70,27.33,25.37,25.89,26.62,27.55
2072,26.78,25.39,26.57,26.21,30.09,27.65,27.27,25.37,25.90,26.58,27.44
2073,26.90,25.44,26.73,26.37,30.11,27.68,27.32,25.54,26.08,26.66,27.49
2074,26.92,25.55,26.70,26.32,30.06,27.72,27.45,25.64,26.10,26.64,27.56
2075,26.82,25.46,26.62,26.29,29.99,27.69,27.26,25.43,25.92,26.64,27.50
2076,26.85,25.57,26.68,26.25,30.02,27.71,27.24,25.58,26.09,26.64,27.54
2077,26.85,25.42,26.66,26.37,30.03,27.71,27.29,25.45,26.00,26.72,27.48
2078,26.82,25.37,26.57,26.23,30.31,27.65,27.34,25.39,25.95,26.59,27.45
2079,26.83,25.52,26.57,26.17,30.08,27.69,27.34,25.52,26.02,26.60,27.53
2080,26.70,25.22,26.52,26.19,29.86,27.57,27.17,25.36,25.85,26.53,27.42
2081,26.89,25.58,26.61,26.34,30.08,27.64,27.35,25.60,26.01,26.71,27.55
2082,27.02,25.62,26.80,26.52,30.23,27.75,27.45,25.60,26.14,26.77,27.55
2083,26.82,25.47,26.57,26.26,30.00,27.57,27.33,25.51,25.96,26.55,27.41
2084,26.91,25.50,26.74,26.34,30.31,27.78,27.30,25.62,26.13,26.73,27.60
2085,27.03,25.68,26.78,26.29,30.51,27.89,27.62,25.80,26.25,26.73,27.76
2086,26.91,25.49,26.71,26.38,30.11,27.77,27.33,25.57,26.12,26.71,27.58
2087,27.04,25.69,26.81,26.51,30.20,27.82,27.52,25.65,26.23,26.76,27.69
2088,26.81,25.41,26.62,26.27,30.11,27.64,27.21,25.48,25.99,26.57,27.49
2089,27.02,25.68,26.74,26.42,30.27,27.66,27.68,25.65,26.12,26.64,27.52
2090,26.76,25.47,26.53,26.27,29.86,27.53,27.23,25.29,25.82,26.56,27.34
2091,26.87,25.43,26.59,26.28,30.52,27.63,27.40,25.44,25.94,26.59,27.45
2092,26.89,25.48,26.64,26.24,30.17,27.75,27.44,25.61,26.07,26.67,27.64
2093,27.07,25.66,26.84,26.51,30.19,27.85,27.65,25.74,26.22,26.83,27.69
2094,26.85,25.45,26.66,26.37,29.86,27.61,27.31,25.54,26.01,26.63,27.43
2095,26.89,25.43,26.63,26.32,30.49,27.65,27.35,25.50,26.02,26.58,27.47
2096,26.92,25.43,26.68,26.40,30.33,27.63,27.43,25.60,26.06,26.66,27.47
2097,26.99,25.62,26.73,26.42,30.26,27.76,27.48,25.69,26.14,26.70,27.63
2098,26.89,25.47,26.62,26.33,30.24,27.71,27.39,25.56,26.10,26.62,27.57
2099,26.77,25.33,26.52,26.22,29.96,27.59,27.30,25.42,25.91,26.54,27.43
2100,26.84,25.45,26.57,26.27,30.08,27.70,27.34,25.49,26.02,26.65,27.56
