Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2060,24.24,12.89,26.31,19.81,27.23,16.07,25.57,21.48,12.62,15.81,24.54
2061,23.96,12.62,26.13,19.37,26.83,16.00,25.47,21.24,12.82,15.93,24.20
2062,24.08,12.70,26.10,19.41,27.04,15.90,25.42,21.41,12.50,15.87,24.40
2063,24.10,12.66,26.18,19.49,27.03,16.09,25.59,21.22,12.38,15.63,24.43
2064,24.27,12.73,26.34,19.54,27.52,16.18,25.98,21.42,12.58,15.86,24.29
2065,24.08,12.74,26.06,19.66,27.00,16.04,25.32,21.44,12.54,15.81,24.44
2066,24.20,13.01,26.20,19.88,27.10,16.13,25.56,21.50,12.72,16.10,24.46
2067,24.00,12.90,26.23,19.51,26.88,16.29,25.42,21.24,12.70,15.98,24.28
2068,23.99,12.74,26.16,19.44,27.07,15.95,25.50,21.22,12.62,15.81,24.13
2069,24.24,12.81,26.20,19.53,27.34,16.24,25.69,21.38,12.74,15.79,24.50
2070,24.04,13.02,26.16,19.70,26.79,16.17,25.47,21.31,12.72,16.10,24.33
2071,24.33,12.96,26.16,19.60,27.43,16.19,25.91,21.34,12.69,15.95,24.57
2072,24.11,12.87,26.15,19.54,27.04,16.07,25.39,21.46,12.62,15.85,24.47
2073,24.33,13.08,26.43,19.91,27.25,16.16,25.71,21.73,12.52,16.04,24.56
2074,24.23,12.60,26.34,19.44,27.37,16.09,25.73,21.41,12.68,15.95,24.42
2075,23.98,12.54,26.15,19.26,26.92,15.91,25.28,21.19,12.59,15.83,24.43
2076,24.11,12.73,25.95,19.50,27.21,16.09,25.55,21.14,12.57,15.75,24.39
2077,24.18,12.69,26.30,19.50,27.24,16.02,25.64,21.25,12.56,15.72,24.49
2078,24.13,12.70,26.00,19.52,27.12,16.11,25.61,21.32,12.33,15.80,24.39
2079,24.32,13.09,26.04,19.82,27.33,16.31,25.67,21.55,12.64,15.98,24.60
2080,23.98,12.84,25.91,19.50,26.90,16.07,25.49,21.15,12.38,15.74,24.22
2081,24.21,12.81,25.98,19.75,27.25,16.17,25.63,21.56,12.46,15.80,24.40
2082,24.17,12.76,26.30,19.49,27.22,16.04,25.67,21.32,12.35,15.74,24.41
2083,23.92,12.63,26.54,19.23,26.84,15.92,25.36,21.05,12.41,15.76,24.27
2084,24.12,12.56,26.14,19.40,27.19,16.08,25.61,21.26,12.50,15.66,24.39
2085,24.12,12.95,26.11,19.61,27.20,16.26,25.60,21.41,12.38,15.88,24.27
2086,24.24,13.06,26.19,19.77,27.11,16.08,25.77,21.39,12.37,15.92,24.53
2087,24.22,12.88,26.30,19.45,27.22,16.30,25.43,21.35,12.89,16.22,24.71
2088,24.16,12.82,26.40,19.51,27.10,16.19,25.65,21.36,12.69,15.89,24.43
2089,24.06,12.78,26.10,19.63,26.89,16.16,25.42,21.39,12.61,15.91,24.39
2090,24.27,12.89,26.06,19.80,27.34,16.11,25.67,21.50,12.79,15.96,24.48
2091,24.29,12.90,26.23,19.85,27.22,16.36,25.83,21.46,12.88,16.13,24.49
2092,24.05,12.95,26.20,19.54,27.02,16.19,25.49,21.25,12.76,15.85,24.31
2093,24.08,12.68,26.15,19.45,27.06,16.13,25.51,21.28,12.77,15.82,24.38
2094,24.08,13.18,26.02,19.63,26.99,16.16,25.45,21.41,12.53,15.84,24.37
2095,24.15,13.11,25.83,19.72,26.97,16.40,25.54,21.37,12.39,15.89,24.52
2096,24.26,12.95,26.17,19.71,27.33,16.29,25.70,21.42,12.64,16.00,24.50
2097,24.28,12.79,26.36,19.59,27.30,16.19,25.81,21.41,12.67,15.96,24.51
2098,23.97,12.51,26.06,19.30,27.09,15.77,25.49,21.16,12.30,15.70,24.16
2099,24.12,12.81,26.23,19.63,27.08,16.40,25.46,21.30,12.51,15.95,24.46
2100,24.01,12.69,26.39,19.44,26.94,16.14,25.41,21.21,12.58,15.88,24.31
