Variable:,tasmax
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2057,34.07,33.20,29.28,33.61,34.31,31.88,33.35,32.95,33.09
2058,33.96,33.18,29.29,33.45,34.21,31.83,33.15,32.77,32.99
2059,33.92,33.15,29.32,33.43,34.16,31.85,33.16,32.79,33.04
2060,34.10,33.29,29.39,33.66,34.35,32.01,33.39,33.06,33.21
2061,33.82,32.95,29.24,33.33,34.05,31.69,33.07,32.65,32.95
2062,33.91,33.06,29.32,33.41,34.17,31.78,33.11,32.75,33.00
2063,33.98,33.13,29.47,33.50,34.26,31.88,33.13,32.80,33.24
2064,33.95,33.15,29.36,33.52,34.22,31.88,33.11,32.83,33.01
2065,34.06,33.16,29.41,33.62,34.36,31.83,33.23,32.85,33.15
2066,34.04,33.25,29.46,33.56,34.32,31.95,33.24,32.85,33.08
2067,34.08,33.26,29.36,33.56,34.33,31.91,33.25,32.91,33.25
2068,34.19,33.29,29.46,33.72,34.48,31.97,33.37,32.98,33.35
2069,34.26,33.30,29.41,33.84,34.56,32.00,33.47,33.10,33.41
2070,34.08,33.25,29.45,33.59,34.35,31.93,33.33,32.88,33.13
2071,34.12,33.27,29.41,33.68,34.39,31.95,33.37,32.95,33.21
2072,34.22,33.28,29.47,33.81,34.54,31.95,33.46,33.07,33.30
2073,34.45,33.67,29.80,33.92,34.64,32.35,33.83,33.31,33.44
2074,34.20,33.38,29.50,33.74,34.46,32.08,33.43,33.03,33.30
2075,34.09,33.29,29.45,33.60,34.38,31.96,33.28,32.93,33.12
2076,34.31,33.38,29.59,33.86,34.61,32.08,33.54,33.12,33.29
2077,34.61,33.72,29.76,34.16,34.86,32.39,33.87,33.48,33.70
2078,34.27,33.55,29.79,33.80,34.45,32.26,33.51,33.16,33.23
2079,34.28,33.41,29.74,33.83,34.62,32.14,33.44,33.03,33.35
2080,34.49,33.60,29.77,34.00,34.75,32.28,33.79,33.29,33.49
2081,34.44,33.59,29.67,34.07,34.71,32.28,33.71,33.35,33.54
2082,34.41,33.47,29.70,34.00,34.70,32.18,33.55,33.21,33.57
2083,34.34,33.54,29.67,33.83,34.58,32.13,33.61,33.13,33.38
2084,34.51,33.56,29.68,34.07,34.80,32.25,33.76,33.33,33.56
2085,34.51,33.63,29.86,34.00,34.81,32.31,33.69,33.26,33.68
2086,34.57,33.67,29.75,34.09,34.80,32.36,33.81,33.51,33.80
2087,34.39,33.52,29.72,33.91,34.68,32.24,33.59,33.21,33.45
2088,34.39,33.57,29.79,33.90,34.65,32.27,33.61,33.23,33.52
2089,34.43,33.57,29.67,33.96,34.72,32.25,33.68,33.28,33.51
2090,34.33,33.53,29.73,33.83,34.56,32.24,33.52,33.18,33.60
2091,34.50,33.73,29.89,34.05,34.69,32.36,33.88,33.45,33.64
2092,34.57,33.75,29.92,34.08,34.78,32.51,33.80,33.47,33.72
2093,34.48,33.65,29.81,33.96,34.67,32.35,33.83,33.37,33.42
2094,34.63,33.63,29.69,34.19,34.93,32.36,33.86,33.48,33.63
2095,34.66,33.85,29.94,34.18,34.86,32.49,33.97,33.52,33.72
2096,34.47,33.62,29.73,34.01,34.71,32.32,33.74,33.35,33.56
2097,34.42,33.54,29.79,34.00,34.72,32.25,33.65,33.24,33.60
2098,34.60,33.71,29.86,34.11,34.84,32.44,33.82,33.44,33.70
2099,34.70,33.84,29.90,34.23,34.92,32.51,34.02,33.59,33.70
2100,34.74,33.73,29.92,34.28,35.07,32.50,33.96,33.57,33.63
