Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2030,11.28,16.24,12.25,9.35,13.31,12.15,9.98,16.35,9.01,9.43,14.46,13.73,13.30,12.96,9.23
2031,11.24,16.21,12.22,9.28,13.31,12.13,9.81,16.33,9.02,9.59,14.27,13.60,13.16,12.79,9.23
2032,11.33,16.23,12.31,9.34,13.35,12.24,9.95,16.40,9.05,9.56,14.42,13.76,13.36,13.06,9.24
2033,10.96,15.83,11.97,9.00,13.10,11.89,9.48,15.98,8.80,9.31,14.03,13.31,12.94,12.61,8.83
2034,11.10,16.04,12.04,9.17,13.15,11.93,9.70,16.25,8.90,9.36,14.19,13.45,13.03,12.70,9.06
2035,11.21,16.15,12.37,9.17,13.53,12.34,9.77,16.37,8.81,9.32,14.30,13.65,13.31,12.90,9.03
2036,11.22,16.25,12.39,9.19,13.52,12.30,9.79,16.44,8.82,9.28,14.35,13.73,13.30,12.94,9.03
2037,11.29,16.22,12.27,9.34,13.34,12.24,9.96,16.33,9.02,9.42,14.45,13.75,13.38,13.05,9.21
2038,11.33,16.43,12.40,9.33,13.49,12.27,9.89,16.58,9.04,9.39,14.47,13.81,13.30,12.91,9.21
2039,11.16,16.24,12.30,9.20,13.37,12.15,9.67,16.40,8.82,9.34,14.26,13.64,13.14,12.72,9.00
2040,11.27,16.17,12.25,9.32,13.32,12.18,9.85,16.26,9.08,9.51,14.37,13.67,13.28,12.97,9.16
2041,11.17,16.13,12.16,9.23,13.28,12.08,9.73,16.30,8.97,9.39,14.17,13.58,13.12,12.77,9.10
2042,11.29,16.25,12.35,9.29,13.44,12.32,9.94,16.39,8.99,9.41,14.35,13.76,13.36,12.94,9.19
2043,11.20,16.23,12.26,9.19,13.34,12.16,9.82,16.37,8.87,9.34,14.40,13.67,13.24,12.92,9.08
2044,10.86,15.79,11.95,8.93,13.07,11.88,9.45,15.94,8.65,9.05,13.81,13.25,12.82,12.58,8.66
2045,11.02,15.90,12.02,9.06,13.21,11.95,9.60,16.07,8.82,9.30,14.01,13.33,12.96,12.65,8.91
2046,11.18,16.11,12.15,9.30,13.31,12.10,9.70,16.24,9.00,9.45,14.20,13.51,13.11,12.78,9.04
2047,11.38,16.36,12.49,9.37,13.65,12.35,9.95,16.54,8.99,9.44,14.49,13.85,13.41,13.01,9.27
2048,11.19,16.09,12.22,9.19,13.34,12.11,9.78,16.22,8.94,9.42,14.23,13.60,13.21,12.93,9.16
2049,11.29,16.24,12.36,9.30,13.42,12.27,9.92,16.36,8.94,9.38,14.39,13.76,13.36,13.02,9.18
2050,11.09,16.07,12.15,9.10,13.25,12.03,9.66,16.23,8.86,9.34,14.18,13.52,13.09,12.74,8.94
2051,11.21,16.22,12.39,9.18,13.48,12.26,9.81,16.27,8.85,9.32,14.26,13.72,13.22,12.77,9.08
2052,11.22,16.15,12.29,9.27,13.38,12.21,9.77,16.28,8.98,9.42,14.33,13.65,13.20,12.84,9.13
2053,11.05,15.87,11.94,9.28,13.07,11.81,9.74,15.98,8.92,9.34,14.03,13.28,12.86,12.68,9.03
2054,11.10,16.01,12.01,9.20,13.10,11.95,9.63,16.18,8.99,9.52,14.08,13.44,13.03,12.72,9.02
2055,11.24,16.14,12.32,9.29,13.43,12.23,9.81,16.30,8.99,9.42,14.29,13.64,13.21,12.89,9.09
2056,11.30,16.26,12.37,9.29,13.54,12.28,9.95,16.44,8.92,9.43,14.48,13.70,13.24,12.86,9.24
2057,11.18,16.08,12.12,9.21,13.28,12.10,9.85,16.22,8.92,9.44,14.36,13.52,13.20,12.86,9.14
2058,10.89,15.75,11.89,8.95,13.01,11.81,9.42,15.97,8.74,9.22,13.94,13.27,12.88,12.54,8.78
2059,11.19,16.13,12.25,9.21,13.38,12.18,9.76,16.27,8.86,9.39,14.31,13.62,13.25,12.85,9.05
2060,11.18,16.19,12.31,9.18,13.44,12.18,9.72,16.39,8.86,9.30,14.25,13.61,13.15,12.78,9.03
2061,11.05,15.92,12.14,9.11,13.37,12.03,9.59,16.12,8.78,9.24,14.08,13.42,12.98,12.65,8.93
2062,10.98,15.75,11.99,9.05,13.12,11.92,9.66,15.97,8.74,9.19,13.97,13.29,12.99,12.74,8.88
2063,11.00,15.88,12.04,9.08,13.30,11.97,9.55,16.12,8.78,9.18,14.03,13.35,12.98,12.65,8.84
2064,11.26,16.22,12.26,9.29,13.41,12.15,9.82,16.34,9.02,9.51,14.34,13.66,13.25,12.90,9.17
2065,11.21,16.16,12.15,9.28,13.22,12.06,9.78,16.36,9.03,9.52,14.25,13.60,13.18,12.79,9.16
2066,11.16,16.13,12.19,9.19,13.29,12.13,9.71,16.21,8.95,9.45,14.23,13.58,13.19,12.80,9.04
2067,11.11,15.98,12.16,9.17,13.31,12.06,9.70,16.10,8.93,9.37,14.14,13.51,13.05,12.76,8.97
2068,11.16,16.04,12.12,9.24,13.28,12.06,9.77,16.19,8.96,9.45,14.28,13.48,13.14,12.87,9.06
2069,11.08,16.06,12.11,9.12,13.25,12.05,9.68,16.24,8.81,9.23,14.10,13.45,13.05,12.77,8.95
2070,11.08,15.89,12.03,9.18,13.25,12.01,9.75,16.08,8.82,9.26,14.07,13.38,13.05,12.77,9.03
2071,11.12,15.99,12.17,9.13,13.29,12.10,9.78,16.16,8.81,9.33,14.15,13.52,13.13,12.84,9.00
2072,11.29,16.19,12.32,9.37,13.48,12.23,9.83,16.32,9.11,9.54,14.31,13.64,13.23,12.94,9.18
2073,11.32,16.35,12.28,9.38,13.34,12.14,9.90,16.47,9.10,9.58,14.45,13.72,13.30,12.93,9.21
2074,11.30,16.22,12.28,9.39,13.41,12.20,9.94,16.38,9.03,9.51,14.36,13.71,13.32,12.95,9.22
2075,11.28,16.12,12.25,9.35,13.34,12.14,9.88,16.25,9.12,9.57,14.29,13.62,13.20,12.88,9.22
2076,11.00,15.94,11.99,9.04,13.12,11.89,9.56,16.08,8.82,9.27,14.13,13.40,12.98,12.65,8.87
2077,10.90,15.76,11.88,8.96,13.07,11.83,9.52,15.84,8.72,9.21,13.91,13.21,12.80,12.63,8.81
2078,11.16,16.06,12.18,9.18,13.36,12.15,9.76,16.23,8.90,9.40,14.20,13.53,13.16,12.83,9.03
2079,10.86,15.81,11.85,8.90,12.99,11.70,9.43,15.95,8.66,9.17,13.88,13.24,12.75,12.46,8.78
2080,10.94,15.83,12.02,8.98,13.16,11.93,9.51,16.05,8.70,9.15,13.88,13.33,12.91,12.60,8.76
2081,11.05,15.85,12.05,9.17,13.14,11.92,9.63,16.03,8.91,9.40,14.03,13.37,12.96,12.60,8.97
2082,11.17,16.11,12.21,9.21,13.33,12.14,9.72,16.21,8.94,9.44,14.27,13.59,13.17,12.82,9.08
2083,10.86,15.63,11.85,8.98,13.06,11.77,9.45,15.87,8.77,9.23,13.78,13.13,12.72,12.50,8.72
2084,11.18,16.08,12.17,9.23,13.26,12.09,9.78,16.13,9.03,9.46,14.29,13.54,13.16,12.86,9.13
2085,11.01,15.90,12.07,9.03,13.18,11.97,9.60,16.06,8.71,9.20,14.07,13.42,13.05,12.73,8.87
2086,11.01,15.82,12.01,9.08,13.17,11.99,9.65,15.94,8.81,9.29,14.03,13.32,13.02,12.74,8.89
2087,10.98,15.84,11.96,9.02,13.12,11.93,9.57,16.04,8.82,9.26,14.02,13.30,12.95,12.62,8.82
2088,11.20,16.12,12.24,9.31,13.34,12.09,9.72,16.32,8.98,9.49,14.16,13.59,13.12,12.73,9.09
2089,11.15,15.98,12.11,9.25,13.17,11.95,9.74,16.13,8.95,9.39,14.23,13.56,13.13,12.73,9.14
2090,11.03,15.89,11.99,9.08,13.14,11.93,9.62,16.04,8.86,9.39,14.07,13.37,12.99,12.68,8.95
2091,11.10,16.09,12.19,9.07,13.29,12.08,9.59,16.23,8.91,9.42,14.13,13.54,13.08,12.73,8.89
2092,10.97,15.89,11.99,9.00,13.17,11.89,9.57,16.04,8.72,9.22,14.05,13.40,12.95,12.62,8.84
2093,11.11,16.13,12.15,9.11,13.27,12.04,9.64,16.31,8.86,9.37,14.20,13.57,13.10,12.73,8.95
2094,10.94,15.89,11.97,8.94,13.15,11.91,9.57,16.04,8.71,9.19,14.10,13.34,12.92,12.71,8.77
2095,10.93,15.84,11.83,9.07,13.01,11.74,9.50,16.00,8.80,9.31,13.88,13.25,12.85,12.59,8.82
2096,11.23,16.06,12.25,9.30,13.44,12.16,9.81,16.22,9.03,9.52,14.24,13.54,13.17,12.87,9.13
2097,11.14,16.04,12.09,9.18,13.28,12.10,9.65,16.20,8.93,9.45,14.23,13.51,13.16,12.81,9.04
2098,10.85,15.72,11.88,8.88,13.11,11.78,9.40,15.96,8.65,9.19,13.84,13.18,12.77,12.41,8.70
2099,10.74,15.68,11.76,8.77,12.90,11.69,9.28,15.94,8.55,9.04,13.75,13.11,12.68,12.36,8.60
2100,10.89,15.71,11.89,8.95,13.05,11.81,9.44,15.91,8.73,9.20,13.89,13.22,12.85,12.54,8.74
