Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2076,4.24,5.19,3.55,3.55,5.81,5.81,3.24,3.49,6.67,4.44,5.01,5.96,4.53,6.53,2.89,2.82,3.91,5.03,4.44,5.81,4.15,3.69,2.82,2.72,5.76,5.03,5.03
2077,4.12,5.05,3.42,3.42,5.64,5.64,3.09,3.35,6.55,4.34,4.96,5.81,4.38,6.43,2.76,2.69,3.79,4.89,4.30,5.64,4.01,3.57,2.69,2.58,5.63,4.89,4.89
2078,3.99,4.92,3.26,3.26,5.61,5.61,2.99,3.23,6.43,4.21,4.84,5.77,4.26,6.34,2.62,2.55,3.64,4.74,4.16,5.61,3.86,3.44,2.55,2.47,5.51,4.74,4.74
2079,4.21,5.12,3.47,3.47,5.93,5.93,3.30,3.53,6.70,4.40,5.02,6.06,4.48,6.56,2.89,2.82,3.84,4.90,4.35,5.92,4.05,3.69,2.82,2.76,5.79,4.90,4.90
2080,4.18,5.11,3.55,3.55,5.69,5.69,3.11,3.30,6.39,4.41,5.02,5.83,4.43,6.30,2.78,2.71,3.91,4.95,4.35,5.69,4.11,3.59,2.71,2.58,5.49,4.95,4.95
2081,4.14,5.05,3.46,3.46,5.62,5.62,3.14,3.41,6.56,4.40,5.02,5.76,4.40,6.37,2.84,2.77,3.83,4.90,4.33,5.62,4.04,3.65,2.77,2.66,5.66,4.90,4.90
2082,4.25,5.11,3.66,3.66,5.75,5.75,3.21,3.48,6.70,4.50,5.09,5.91,4.46,6.54,2.86,2.79,4.01,4.94,4.37,5.75,4.18,3.68,2.79,2.71,5.78,4.94,4.94
2083,4.02,4.97,3.30,3.30,5.61,5.61,3.03,3.26,6.40,4.23,4.83,5.76,4.30,6.30,2.66,2.59,3.67,4.80,4.21,5.61,3.90,3.46,2.59,2.50,5.50,4.80,4.80
2084,4.15,5.11,3.48,3.48,5.88,5.88,3.11,3.30,6.53,4.27,4.77,6.03,4.41,6.49,2.64,2.57,3.82,4.90,4.28,5.88,4.05,3.44,2.57,2.51,5.60,4.90,4.90
2085,4.26,5.17,3.61,3.61,5.79,5.79,3.25,3.48,6.59,4.45,5.01,5.93,4.51,6.46,2.88,2.81,3.96,5.01,4.42,5.79,4.17,3.68,2.81,2.73,5.70,5.01,5.01
2086,4.53,5.48,3.80,3.80,6.14,6.14,3.54,3.79,6.99,4.75,5.36,6.29,4.82,6.87,3.21,3.14,4.18,5.30,4.73,6.14,4.40,4.01,3.14,3.03,6.07,5.30,5.30
2087,3.97,4.97,3.22,3.22,5.64,5.64,3.01,3.24,6.39,4.15,4.73,5.76,4.28,6.24,2.52,2.45,3.60,4.79,4.17,5.64,3.85,3.34,2.45,2.47,5.48,4.79,4.79
2088,3.90,4.82,3.20,3.20,5.54,5.54,2.87,3.09,6.30,4.09,4.71,5.71,4.15,6.24,2.47,2.40,3.56,4.63,4.04,5.54,3.78,3.30,2.40,2.32,5.37,4.63,4.63
2089,4.06,4.90,3.32,3.32,5.65,5.65,3.10,3.39,6.60,4.28,4.97,5.80,4.27,6.43,2.70,2.63,3.70,4.70,4.15,5.65,3.88,3.53,2.63,2.61,5.68,4.70,4.70
2090,4.34,5.21,3.65,3.65,5.93,5.93,3.36,3.62,6.82,4.58,5.23,6.07,4.57,6.65,3.01,2.94,4.02,5.02,4.47,5.93,4.20,3.84,2.94,2.87,5.89,5.02,5.02
2091,4.03,4.89,3.35,3.35,5.62,5.62,3.09,3.35,6.50,4.25,4.89,5.78,4.25,6.38,2.65,2.58,3.71,4.69,4.13,5.62,3.89,3.47,2.58,2.59,5.59,4.69,4.69
2092,4.06,4.98,3.35,3.35,5.58,5.58,3.02,3.27,6.49,4.30,4.92,5.74,4.32,6.34,2.78,2.71,3.73,4.82,4.26,5.58,3.94,3.58,2.71,2.53,5.56,4.82,4.82
2093,4.26,5.15,3.59,3.59,5.79,5.79,3.27,3.58,6.85,4.49,5.10,5.95,4.51,6.65,2.94,2.87,3.95,4.98,4.42,5.79,4.15,3.75,2.87,2.81,5.91,4.98,4.98
2094,4.17,5.11,3.47,3.47,5.77,5.77,3.15,3.39,6.58,4.35,4.93,5.93,4.44,6.48,2.78,2.71,3.83,4.93,4.34,5.77,4.06,3.58,2.71,2.62,5.66,4.93,4.93
2095,3.99,4.89,3.35,3.35,5.54,5.54,2.96,3.18,6.33,4.23,4.81,5.70,4.24,6.25,2.66,2.59,3.71,4.72,4.15,5.54,3.90,3.47,2.59,2.44,5.43,4.72,4.72
2096,4.00,4.93,3.28,3.28,5.59,5.59,3.03,3.28,6.45,4.22,4.83,5.74,4.27,6.31,2.67,2.60,3.66,4.75,4.18,5.59,3.87,3.48,2.60,2.52,5.53,4.75,4.75
2097,4.09,5.03,3.39,3.39,5.71,5.71,3.07,3.31,6.52,4.29,4.92,5.87,4.35,6.43,2.65,2.58,3.76,4.85,4.25,5.71,3.98,3.47,2.58,2.52,5.59,4.85,4.85
2098,4.11,5.06,3.39,3.39,5.70,5.70,3.07,3.28,6.45,4.32,4.94,5.85,4.38,6.36,2.74,2.67,3.77,4.89,4.30,5.70,3.99,3.56,2.67,2.55,5.54,4.89,4.89
2099,4.39,5.31,3.69,3.69,5.93,5.93,3.41,3.66,6.78,4.61,5.23,6.08,4.65,6.66,3.02,2.95,4.06,5.14,4.56,5.93,4.27,3.83,2.95,2.90,5.88,5.14,5.14
2100,3.93,4.90,3.24,3.24,5.52,5.52,2.89,3.08,6.23,4.15,4.71,5.66,4.22,6.15,2.57,2.50,3.61,4.74,4.14,5.52,3.84,3.38,2.50,2.35,5.33,4.74,4.74
