Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2080,23.19,25.03,20.73,25.28,18.54,27.40,28.93,22.05,6.35
2081,23.25,25.10,20.62,25.22,18.47,27.58,28.98,21.93,6.34
2082,23.30,25.14,20.80,25.46,18.71,27.56,28.96,22.22,6.42
2083,23.34,25.14,20.85,25.46,18.77,27.57,28.99,22.20,6.70
2084,23.44,25.26,20.87,25.46,18.86,27.73,29.08,22.29,6.68
2085,23.38,25.18,20.94,25.41,18.83,27.63,29.01,22.16,6.66
2086,23.35,25.19,20.82,25.23,18.76,27.60,29.06,22.10,6.53
2087,23.52,25.38,21.01,25.32,18.84,27.81,29.29,22.14,6.52
2088,23.28,25.20,20.78,25.21,18.64,27.44,29.11,21.94,6.35
2089,23.44,25.35,20.94,25.34,18.74,27.65,29.09,22.07,6.57
2090,23.47,25.32,20.88,25.45,18.80,27.72,29.14,22.24,6.67
2091,23.57,25.45,20.87,25.52,18.82,27.84,29.26,22.28,6.69
2092,23.46,25.29,21.00,25.48,18.87,27.72,29.16,22.32,6.69
2093,23.54,25.35,21.04,25.44,18.85,27.87,29.23,22.20,6.73
2094,23.61,25.35,21.13,25.81,19.01,28.00,29.16,22.48,6.89
2095,23.55,25.33,21.08,25.60,18.88,27.90,29.24,22.41,6.69
2096,23.49,25.31,20.96,25.46,18.90,27.77,29.07,22.28,6.77
2097,23.49,25.32,20.95,25.54,18.84,27.81,29.17,22.27,6.63
2098,23.60,25.42,21.08,25.50,18.94,27.89,29.22,22.27,6.80
2099,23.57,25.41,21.06,25.58,18.99,27.82,29.27,22.38,6.72
2100,23.65,25.40,21.21,25.74,19.07,27.98,29.32,22.47,6.91
