Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2067,6.93,8.34,7.57,7.70,9.00,8.53,7.63,6.81,7.25,7.47,7.13
2068,7.08,8.33,7.83,7.85,8.93,8.50,7.54,6.89,7.28,7.37,7.21
2069,6.90,8.24,7.61,7.66,8.89,8.43,7.49,6.75,7.17,7.34,7.05
2070,6.72,8.05,7.44,7.47,8.72,8.24,7.23,6.54,6.93,7.05,6.83
2071,7.03,8.39,7.76,7.82,9.03,8.57,7.57,6.91,7.28,7.38,7.20
2072,6.66,8.03,7.36,7.43,8.70,8.22,7.27,6.52,6.96,7.14,6.80
2073,7.20,8.51,7.89,7.97,9.11,8.68,7.74,7.06,7.44,7.55,7.38
2074,7.01,8.33,7.67,7.75,8.97,8.52,7.60,6.87,7.28,7.44,7.16
2075,6.95,8.29,7.70,7.74,8.93,8.47,7.48,6.77,7.17,7.28,7.09
2076,7.07,8.40,7.76,7.81,9.04,8.59,7.56,6.92,7.32,7.41,7.21
2077,7.03,8.38,7.75,7.81,9.02,8.56,7.58,6.85,7.24,7.37,7.18
2078,6.80,8.12,7.51,7.56,8.76,8.30,7.40,6.65,7.04,7.23,6.93
2079,6.83,8.18,7.48,7.58,8.81,8.36,7.39,6.68,7.10,7.23,7.01
2080,6.87,8.34,7.46,7.63,9.01,8.54,7.62,6.79,7.28,7.49,7.13
2081,6.57,7.90,7.25,7.31,8.56,8.09,7.21,6.40,6.90,7.14,6.69
2082,6.73,8.03,7.45,7.49,8.66,8.21,7.28,6.59,7.01,7.15,6.87
2083,6.99,8.45,7.56,7.75,9.10,8.64,7.61,6.82,7.25,7.37,7.22
2084,6.77,8.10,7.43,7.54,8.69,8.27,7.34,6.62,7.04,7.16,6.99
2085,6.75,8.05,7.39,7.50,8.62,8.22,7.26,6.65,7.02,7.07,7.00
2086,6.74,8.14,7.37,7.51,8.79,8.33,7.35,6.63,7.07,7.20,6.94
2087,7.07,8.32,7.94,7.88,8.95,8.50,7.43,6.85,7.20,7.24,7.13
2088,6.83,8.22,7.48,7.60,8.87,8.41,7.43,6.69,7.14,7.27,7.03
2089,6.43,7.82,7.09,7.21,8.46,8.01,6.99,6.29,6.72,6.82,6.62
2090,6.94,8.31,7.65,7.72,8.95,8.49,7.51,6.79,7.20,7.33,7.12
2091,7.13,8.50,7.82,7.90,9.16,8.69,7.73,6.97,7.38,7.54,7.30
2092,6.73,8.03,7.36,7.46,8.63,8.20,7.26,6.64,7.07,7.16,6.93
2093,6.52,7.84,7.17,7.29,8.42,8.01,7.09,6.40,6.83,6.94,6.75
2094,6.85,8.16,7.54,7.59,8.80,8.35,7.41,6.71,7.13,7.27,6.99
2095,6.87,8.21,7.60,7.64,8.86,8.40,7.39,6.70,7.10,7.21,7.01
2096,6.84,8.15,7.61,7.64,8.76,8.32,7.31,6.65,7.04,7.10,7.00
2097,6.58,7.83,7.34,7.33,8.47,8.01,7.04,6.39,6.79,6.91,6.65
2098,6.76,8.20,7.41,7.53,8.89,8.40,7.40,6.56,7.04,7.22,6.94
2099,6.61,8.01,7.11,7.31,8.63,8.19,7.15,6.51,6.90,6.94,6.85
2100,6.91,8.24,7.66,7.71,8.85,8.41,7.40,6.75,7.16,7.22,7.09
