Variable:,tasmin
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2067,15.82,5.07,23.65,11.34,18.56,9.41,17.22,13.32,7.71,9.41,15.98
2068,15.91,5.33,23.66,11.53,18.40,9.61,17.45,13.45,7.57,9.46,16.09
2069,15.61,4.86,23.63,11.23,17.97,9.36,17.01,13.19,7.53,9.25,15.92
2070,15.97,5.25,23.71,11.52,18.76,9.51,17.44,13.31,7.50,9.23,16.13
2071,15.77,4.97,23.75,11.18,18.44,9.48,17.38,12.98,7.58,9.21,15.97
2072,15.59,4.84,23.40,11.12,18.30,9.29,17.02,13.06,7.55,9.17,15.77
2073,15.69,4.87,23.42,11.15,18.23,9.33,17.17,13.18,7.55,9.23,15.94
2074,15.92,4.93,23.73,11.30,18.52,9.40,17.42,13.23,7.64,9.24,16.22
2075,15.72,4.82,23.74,11.20,18.37,9.41,17.28,13.17,7.66,9.21,15.87
2076,15.79,5.01,23.37,11.25,18.43,9.36,17.23,13.22,7.53,9.12,16.08
2077,15.66,4.61,23.49,11.01,18.18,9.15,17.05,13.05,7.51,9.09,16.06
2078,15.88,4.89,23.67,11.35,18.62,9.35,17.38,13.22,7.36,9.17,16.06
2079,15.80,5.14,23.66,11.47,18.30,9.38,17.27,13.43,7.60,9.45,15.96
2080,15.89,5.25,23.59,11.54,18.52,9.65,17.27,13.44,7.65,9.39,16.06
2081,15.82,5.13,23.65,11.38,18.40,9.42,17.24,13.24,7.64,9.39,16.09
2082,15.72,5.03,23.53,11.26,18.39,9.31,17.17,13.10,7.47,9.09,15.93
2083,15.71,4.83,23.91,11.20,18.34,9.28,17.30,12.96,7.19,8.92,15.93
2084,15.62,5.06,23.54,11.18,18.12,9.34,17.14,13.14,7.45,9.20,15.84
2085,15.60,4.93,23.63,11.23,18.19,9.22,17.08,13.03,7.38,9.08,15.79
2086,15.57,4.91,23.44,11.21,18.14,9.30,16.94,13.11,7.49,9.22,15.82
2087,15.91,4.91,23.60,11.34,18.62,9.27,17.51,13.23,7.43,9.12,16.08
2088,15.69,4.75,23.69,11.18,18.26,9.14,17.06,13.16,7.43,9.19,16.01
2089,15.53,4.76,23.50,11.23,18.00,9.03,16.91,13.09,7.41,9.19,15.78
2090,15.76,4.81,23.37,11.35,18.30,9.22,17.20,13.13,7.37,9.05,16.07
2091,15.78,5.13,23.63,11.49,18.31,9.47,17.28,13.17,7.45,9.18,16.00
2092,15.68,5.11,23.69,11.39,18.30,9.47,17.01,13.25,7.67,9.37,15.87
2093,15.52,4.51,23.54,10.88,18.28,8.98,16.87,13.03,7.40,9.02,15.79
2094,15.66,4.85,23.49,11.20,18.31,9.18,17.13,13.21,7.32,9.17,15.83
2095,15.75,4.83,23.49,11.28,18.41,9.28,17.17,13.17,7.50,9.11,16.01
2096,15.60,5.10,23.31,11.28,18.12,9.34,17.00,13.19,7.50,9.34,15.82
2097,15.48,4.64,23.43,10.92,18.12,9.02,16.90,12.90,7.59,9.15,15.75
2098,15.49,4.83,23.53,11.05,18.04,9.05,16.78,12.96,7.42,9.16,15.82
2099,15.54,4.66,23.49,11.07,18.07,9.12,17.01,13.04,7.20,8.92,15.79
2100,15.92,4.89,23.58,11.25,18.64,9.26,17.46,13.15,7.35,9.06,16.20
