Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2065,25.51,18.99,26.01,24.85,22.83,28.23,22.97,22.53,23.49
2066,25.82,19.29,26.34,25.27,23.11,28.47,23.19,22.76,23.55
2067,26.04,19.44,26.48,25.43,23.33,28.69,23.52,23.19,23.92
2068,25.77,19.23,26.25,25.12,23.09,28.45,23.14,22.84,23.53
2069,25.75,19.29,26.17,25.12,23.17,28.26,23.41,23.04,23.78
2070,25.55,19.11,26.15,24.96,22.93,28.10,23.11,22.68,23.61
2071,25.82,19.40,26.27,25.20,23.15,28.46,23.19,22.89,23.67
2072,25.79,19.24,26.27,25.21,23.18,28.45,23.18,22.79,23.66
2073,25.62,19.18,26.05,25.00,23.14,28.08,23.46,22.91,23.87
2074,25.66,19.22,26.24,25.04,23.17,28.25,23.20,22.81,23.55
2075,25.51,19.00,26.02,24.88,22.89,28.11,22.99,22.61,23.56
2076,25.71,19.35,26.13,25.07,23.22,28.23,23.33,22.99,23.82
2077,25.81,19.28,26.33,25.21,23.17,28.45,23.27,22.89,23.70
2078,25.89,19.38,26.41,25.31,23.30,28.63,23.08,22.79,23.49
2079,25.81,19.21,26.25,25.21,23.00,28.27,23.36,23.08,23.77
2080,25.78,19.27,26.24,25.14,23.18,28.32,23.45,23.00,23.88
2081,25.76,19.23,26.36,25.21,23.21,28.42,22.88,22.69,23.45
2082,25.82,19.45,26.32,25.20,23.29,28.42,23.16,22.95,23.72
2083,25.86,19.25,26.44,25.24,23.15,28.45,23.28,22.99,23.77
2084,25.65,19.28,26.15,25.01,23.11,28.22,23.27,22.80,23.73
2085,25.29,18.70,25.89,24.60,22.56,27.93,22.82,22.35,23.36
2086,25.53,19.01,25.99,24.94,22.89,28.10,23.08,22.67,23.51
2087,25.64,19.30,26.12,24.99,23.11,28.19,23.21,22.87,23.72
2088,25.65,19.10,26.07,25.07,23.25,28.33,23.08,22.74,23.72
2089,25.50,19.02,25.97,24.87,22.80,28.18,22.99,22.56,23.34
2090,25.53,19.22,26.04,24.87,23.14,28.01,23.27,22.80,23.71
2091,25.73,19.19,26.26,25.08,23.02,28.43,23.29,22.77,23.72
2092,25.55,19.10,26.15,24.90,23.07,28.26,23.05,22.59,23.52
2093,25.58,19.11,26.12,24.95,23.04,28.27,23.14,22.65,23.46
2094,25.66,19.27,26.14,25.07,23.18,28.15,23.15,22.88,23.70
2095,25.63,19.40,26.23,25.05,23.11,28.33,23.09,22.59,23.49
2096,25.64,19.18,26.29,25.07,23.21,28.29,23.23,22.66,23.41
2097,25.52,18.95,26.09,24.90,22.85,28.20,22.92,22.56,23.43
2098,25.53,19.01,26.11,24.88,23.04,28.04,23.17,22.74,23.67
2099,25.62,19.14,26.22,25.01,23.10,28.28,22.93,22.67,23.44
2100,25.67,19.21,26.20,25.05,23.12,28.32,23.10,22.76,23.51
