Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2072,7.14,8.37,7.91,7.88,8.98,8.55,7.63,7.01,7.36,7.48,7.25
2073,7.36,8.69,8.02,8.12,9.30,8.87,7.88,7.23,7.62,7.69,7.57
2074,7.37,8.62,8.18,8.16,9.21,8.78,7.76,7.17,7.53,7.56,7.49
2075,7.15,8.47,7.85,7.91,9.09,8.65,7.65,7.03,7.44,7.51,7.32
2076,7.14,8.45,7.88,7.89,9.10,8.64,7.63,6.98,7.34,7.43,7.27
2077,7.22,8.53,7.94,7.97,9.17,8.72,7.68,7.05,7.42,7.49,7.33
2078,7.44,8.79,8.20,8.21,9.45,8.98,7.92,7.24,7.62,7.70,7.56
2079,7.59,8.89,8.29,8.35,9.47,9.05,8.09,7.43,7.80,7.87,7.79
2080,7.10,8.37,7.82,7.90,8.90,8.52,7.54,6.94,7.36,7.38,7.34
2081,7.39,8.70,8.10,8.17,9.30,8.87,7.88,7.23,7.63,7.69,7.57
2082,7.44,8.66,8.15,8.16,9.25,8.83,7.85,7.28,7.64,7.69,7.56
2083,7.33,8.69,8.03,8.10,9.33,8.87,7.91,7.17,7.57,7.71,7.50
2084,7.17,8.50,7.86,7.92,9.12,8.68,7.71,7.00,7.43,7.54,7.34
2085,7.10,8.46,7.85,7.91,9.10,8.64,7.68,6.95,7.36,7.50,7.28
2086,7.26,8.60,7.97,8.04,9.23,8.78,7.78,7.15,7.52,7.60,7.43
2087,7.41,8.71,8.17,8.21,9.32,8.89,7.85,7.25,7.60,7.63,7.56
2088,7.26,8.59,8.04,8.03,9.25,8.78,7.75,7.10,7.49,7.60,7.36
2089,7.25,8.60,7.95,8.04,9.22,8.78,7.78,7.09,7.48,7.57,7.44
2090,7.08,8.40,7.82,7.86,9.04,8.59,7.66,6.94,7.37,7.53,7.23
2091,7.43,8.70,8.21,8.20,9.34,8.88,7.89,7.23,7.59,7.70,7.52
2092,7.23,8.50,8.01,8.00,9.14,8.68,7.76,7.03,7.44,7.62,7.31
2093,7.34,8.83,7.99,8.14,9.50,9.03,8.00,7.18,7.59,7.73,7.58
2094,7.36,8.64,8.08,8.11,9.24,8.81,7.85,7.21,7.60,7.69,7.52
2095,7.28,8.59,8.07,8.06,9.23,8.78,7.73,7.08,7.47,7.55,7.39
2096,7.03,8.34,7.73,7.79,8.96,8.52,7.54,6.86,7.28,7.39,7.19
2097,7.25,8.56,8.01,8.04,9.17,8.74,7.76,7.09,7.49,7.58,7.42
2098,7.16,8.38,7.93,7.91,8.96,8.55,7.64,7.00,7.38,7.49,7.30
2099,7.40,8.59,8.19,8.16,9.17,8.75,7.74,7.25,7.57,7.56,7.51
2100,7.20,8.40,8.01,7.96,8.99,8.57,7.63,7.03,7.39,7.48,7.30
