Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
2055,8.70,5.37,9.01,8.51,11.71,11.49,7.97,6.29,12.71,14.43,13.69,5.04,4.45,5.95,14.78,9.99,7.48
2056,8.37,4.80,8.89,8.22,11.45,11.10,7.50,6.00,12.39,14.39,13.60,4.64,3.88,5.63,14.33,9.61,6.93
2057,8.46,5.10,8.91,8.28,11.48,11.00,7.64,6.20,12.25,13.95,13.16,4.84,4.28,5.97,14.19,9.76,7.02
2058,8.76,5.64,9.17,8.30,11.61,10.99,7.91,6.68,12.63,14.28,13.55,5.58,4.96,6.09,14.12,10.00,6.91
2059,8.25,4.85,8.76,7.88,11.31,10.92,7.20,6.28,12.14,13.96,13.14,4.58,4.18,5.53,14.32,9.65,6.59
2060,8.01,4.70,8.45,7.66,11.07,10.58,7.05,5.76,12.08,13.95,13.09,4.35,3.87,5.24,13.88,9.39,6.30
2061,8.49,5.19,8.91,8.37,11.58,11.22,7.69,6.30,12.55,14.35,13.54,4.59,4.18,5.70,14.41,9.64,7.04
2062,8.59,5.27,8.81,8.40,11.61,11.43,7.57,6.33,12.80,14.23,13.84,4.78,4.59,5.83,14.75,9.87,7.26
2063,8.00,4.40,8.19,8.41,10.85,11.17,6.99,5.53,11.87,14.09,13.18,4.42,3.48,5.57,14.10,8.95,7.10
2064,8.28,4.75,8.57,8.13,11.26,11.00,7.49,5.85,12.39,14.17,13.30,4.73,3.86,5.71,14.27,9.52,6.93
2065,8.43,5.04,8.94,7.85,11.95,10.59,7.51,6.23,12.42,14.53,13.81,4.69,4.21,5.53,13.84,10.30,6.54
2066,8.13,4.90,8.47,7.69,11.05,10.58,7.39,5.89,12.16,13.72,12.96,4.73,3.81,5.47,13.97,9.54,6.28
2067,8.49,4.99,8.64,8.55,11.32,11.55,7.77,5.86,12.65,14.16,13.58,4.89,3.99,6.11,14.64,9.39,7.45
2068,7.90,4.46,7.87,7.64,11.17,10.45,7.01,5.21,11.77,14.04,12.97,4.72,3.51,5.71,13.52,9.40,6.40
2069,8.11,4.65,8.62,7.96,11.24,10.61,7.29,5.79,12.20,14.12,13.32,4.35,3.59,5.45,13.85,9.25,6.50
2070,8.44,4.96,8.81,8.35,11.69,11.23,7.65,5.98,12.50,14.40,13.63,4.75,4.22,5.62,14.23,9.53,7.02
2071,8.27,4.76,8.72,8.29,11.49,11.10,7.42,5.95,12.39,14.30,13.51,4.26,3.67,5.48,14.24,9.57,6.97
2072,8.24,4.65,8.96,7.93,11.63,10.78,7.30,5.96,12.49,14.44,13.59,4.13,3.77,5.29,14.08,9.69,6.80
2073,8.59,5.20,8.97,8.19,11.72,11.25,7.86,6.25,12.62,14.42,13.54,4.98,4.28,5.84,14.46,9.99,7.13
2074,8.22,4.66,8.62,8.00,11.36,10.93,7.38,5.60,12.14,14.18,13.53,4.46,3.73,5.77,13.95,9.56,6.71
2075,7.84,4.48,8.31,7.43,11.02,10.30,6.80,5.83,11.85,14.09,13.11,4.35,3.80,4.91,13.53,9.26,6.35
2076,8.30,4.89,8.69,7.95,11.33,10.88,7.53,6.03,12.60,14.18,13.44,4.58,4.04,5.43,14.28,9.54,6.84
2077,8.44,4.93,8.90,8.12,11.76,10.86,7.64,6.01,12.39,14.60,13.67,4.92,3.94,5.64,14.02,10.11,6.85
2078,8.31,5.00,9.06,7.82,11.56,10.82,7.48,6.11,12.31,14.29,13.34,4.72,3.98,5.27,14.02,9.64,6.56
2079,8.21,4.82,8.80,8.20,11.43,11.01,7.38,5.82,12.25,14.18,13.50,4.14,3.61,5.34,14.16,9.53,7.33
2080,8.51,4.99,8.92,8.02,11.78,11.01,7.72,6.00,12.50,14.58,13.72,4.95,4.15,5.95,14.18,9.99,6.69
2081,8.36,4.83,8.83,8.04,11.66,10.87,7.64,6.03,12.36,14.19,13.83,4.61,3.81,5.59,14.17,9.57,6.66
2082,8.44,4.91,8.93,8.18,11.39,11.22,7.65,6.04,12.68,14.27,13.72,4.96,4.07,5.43,14.47,9.69,7.16
2083,8.34,4.94,8.86,8.04,11.49,11.05,7.53,6.01,12.29,14.19,13.56,4.41,3.90,5.65,14.25,9.60,6.76
2084,8.32,4.88,8.82,8.05,11.43,10.99,7.48,6.06,12.64,14.31,13.68,4.43,3.87,5.37,14.28,9.55,6.72
2085,8.22,4.93,8.58,7.89,11.49,10.74,7.28,6.01,12.20,14.27,13.49,4.42,4.02,5.39,14.00,9.79,6.75
2086,8.44,5.16,8.69,8.45,11.36,11.27,7.80,5.88,12.54,14.16,13.44,4.96,3.94,5.82,14.37,9.43,7.24
2087,8.46,5.16,8.86,8.16,11.41,10.90,7.62,6.32,12.37,14.15,13.71,4.95,4.05,5.78,14.08,9.82,6.90
2088,8.20,4.72,8.47,8.25,11.09,11.00,7.31,5.79,12.32,14.17,13.33,4.40,3.88,5.65,14.16,9.26,7.10
2089,8.05,4.73,8.28,7.77,11.02,10.67,7.33,5.48,12.18,13.96,13.22,4.73,3.69,5.35,13.82,9.34,6.42
2090,8.28,4.97,8.99,7.78,11.74,10.50,7.25,6.05,12.27,14.40,13.42,4.64,4.13,5.35,13.78,10.11,6.48
2091,8.25,4.52,8.61,8.01,11.32,11.05,7.48,5.64,12.44,14.13,13.48,4.50,3.93,5.52,14.36,9.57,6.87
2092,8.13,4.60,8.47,8.09,11.42,10.91,7.21,5.82,12.37,14.34,13.47,3.98,3.59,5.31,14.19,9.56,6.86
2093,8.56,5.21,8.88,8.51,11.58,11.18,7.86,6.24,12.54,14.46,13.51,4.94,4.17,5.90,14.44,9.75,7.25
2094,8.12,4.87,8.34,7.80,11.08,10.54,7.20,5.73,12.13,14.11,13.17,4.75,4.17,5.43,13.91,9.59,6.65
2095,8.32,4.96,8.56,8.12,11.46,10.83,7.63,5.81,12.33,14.28,13.32,4.60,4.12,5.76,13.94,9.58,6.62
2096,8.22,4.62,8.72,8.11,11.09,10.86,7.40,5.74,12.19,13.81,13.21,4.71,3.62,5.88,14.11,9.27,6.80
2097,7.82,4.14,8.30,7.49,10.97,10.26,6.88,5.38,11.90,13.95,12.95,4.27,3.60,5.12,13.50,9.35,6.19
2098,8.02,4.58,8.36,7.68,11.33,10.47,7.20,5.61,11.98,13.92,13.02,4.34,3.66,5.40,13.76,9.80,6.25
2099,8.25,4.72,8.77,8.02,11.29,10.96,7.29,5.94,12.46,14.13,13.18,4.53,3.96,5.42,14.18,9.78,6.76
2100,8.45,5.04,8.46,8.38,11.13,11.16,7.78,6.02,12.46,14.45,13.52,5.04,4.39,5.95,14.24,9.48,7.19
