Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2077,27.17,27.56,27.56,27.56,27.56,27.56,27.56,27.56
2078,27.27,27.65,27.65,27.65,27.65,27.65,27.65,27.65
2079,27.15,27.56,27.56,27.56,27.56,27.56,27.56,27.56
2080,27.12,27.52,27.52,27.52,27.52,27.52,27.52,27.52
2081,27.27,27.73,27.73,27.73,27.73,27.73,27.73,27.73
2082,27.29,27.76,27.76,27.76,27.76,27.76,27.76,27.76
2083,27.18,27.56,27.56,27.56,27.56,27.56,27.56,27.56
2084,27.24,27.67,27.67,27.67,27.67,27.67,27.67,27.67
2085,27.17,27.55,27.55,27.55,27.55,27.55,27.55,27.55
2086,27.15,27.50,27.50,27.50,27.50,27.50,27.50,27.50
2087,27.15,27.54,27.54,27.54,27.54,27.54,27.54,27.54
2088,27.19,27.60,27.60,27.60,27.60,27.60,27.60,27.60
2089,27.15,27.51,27.51,27.51,27.51,27.51,27.51,27.51
2090,27.17,27.55,27.55,27.55,27.55,27.55,27.55,27.55
2091,27.29,27.68,27.68,27.68,27.68,27.68,27.68,27.68
2092,27.21,27.60,27.60,27.60,27.60,27.60,27.60,27.60
2093,27.32,27.69,27.69,27.69,27.69,27.69,27.69,27.69
2094,27.11,27.52,27.52,27.52,27.52,27.52,27.52,27.52
2095,27.25,27.65,27.65,27.65,27.65,27.65,27.65,27.65
2096,27.04,27.38,27.38,27.38,27.38,27.38,27.38,27.38
2097,27.19,27.60,27.60,27.60,27.60,27.60,27.60,27.60
2098,27.03,27.46,27.46,27.46,27.46,27.46,27.46,27.46
2099,27.12,27.51,27.51,27.51,27.51,27.51,27.51,27.51
2100,27.06,27.47,27.47,27.47,27.47,27.47,27.47,27.47
