Variable:,tas
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
2087,5.87,7.62,11.88,4.05,3.96,5.53,2.75,4.70,5.31
2088,5.57,7.27,11.47,3.75,3.69,5.07,2.49,4.45,5.04
2089,5.69,7.60,11.70,3.94,4.01,5.25,2.61,4.52,5.10
2090,5.93,7.63,11.82,4.21,4.06,5.59,2.77,4.84,5.42
2091,5.87,7.59,11.82,4.07,4.00,5.46,2.67,4.79,5.36
2092,5.92,7.72,11.97,4.09,4.04,5.56,2.72,4.94,5.43
2093,5.92,7.62,11.85,4.13,3.97,5.53,2.78,4.94,5.44
2094,5.86,7.67,11.87,4.01,4.16,5.48,2.80,4.63,5.22
2095,5.94,7.58,11.97,4.16,4.08,5.59,2.85,4.81,5.37
2096,5.91,7.75,11.99,4.11,4.19,5.61,2.70,4.72,5.35
2097,5.84,7.56,11.80,4.18,3.99,5.26,2.73,4.66,5.26
2098,6.01,7.88,12.04,4.26,4.24,5.65,2.83,4.92,5.48
2099,5.99,7.67,12.02,4.17,4.18,5.64,2.81,4.93,5.49
2100,6.00,7.65,12.00,4.21,4.10,5.61,2.88,4.83,5.42
