Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2035,24.62,24.93,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.26,24.24
2036,24.61,24.77,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.32,24.31
2037,24.71,25.02,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.36,24.34
2038,24.91,25.12,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.55,24.53
2039,24.71,24.92,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.38,24.36
2040,24.76,25.02,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.41,24.39
2041,24.84,25.11,24.51,24.51,24.51,24.51,24.51,24.51,24.51,24.52,24.51
2042,24.69,24.90,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.40,24.39
2043,24.62,24.96,24.23,24.23,24.23,24.23,24.23,24.23,24.23,24.25,24.23
2044,24.70,25.15,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.21,24.19
2045,24.88,25.16,24.49,24.49,24.49,24.49,24.49,24.49,24.49,24.51,24.49
2046,24.89,25.11,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.55,24.53
2047,24.81,25.04,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
2048,24.95,25.24,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.58,24.56
2049,24.77,25.04,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2050,24.61,24.90,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.20,24.18
2051,24.75,25.04,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.33,24.31
2052,24.70,24.96,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.34,24.32
2053,24.74,24.96,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.34,24.32
2054,24.91,25.04,24.51,24.51,24.51,24.51,24.51,24.51,24.51,24.53,24.51
2055,24.64,24.94,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.24,24.22
2056,24.64,24.85,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.35,24.34
2057,24.76,25.01,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2058,24.78,24.99,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2059,24.90,25.12,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.59,24.57
2060,24.88,25.13,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.56,24.55
2061,24.80,25.01,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.48,24.47
2062,24.77,25.11,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2063,24.94,25.10,24.49,24.49,24.49,24.49,24.49,24.49,24.49,24.51,24.49
2064,24.69,24.95,24.33,24.33,24.33,24.33,24.33,24.33,24.33,24.35,24.33
2065,24.53,24.77,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.20,24.18
2066,24.72,25.03,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.41,24.39
2067,24.96,25.21,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.50,24.48
2068,24.79,25.05,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.41,24.39
2069,24.73,24.91,24.37,24.37,24.37,24.37,24.37,24.37,24.37,24.39,24.37
2070,24.84,25.10,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.50,24.48
2071,24.93,25.19,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.49,24.47
2072,24.61,24.71,24.30,24.30,24.30,24.30,24.30,24.30,24.30,24.31,24.30
2073,24.64,24.95,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.27,24.25
2074,24.86,25.02,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.49,24.47
2075,24.67,24.84,24.30,24.30,24.30,24.30,24.30,24.30,24.30,24.32,24.30
2076,24.66,24.95,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.35,24.34
2077,24.84,25.07,24.46,24.46,24.46,24.46,24.46,24.46,24.46,24.48,24.46
2078,24.70,24.99,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.30,24.28
2079,24.76,25.08,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2080,24.79,25.15,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2081,24.79,25.03,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.45,24.43
2082,24.80,25.07,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.44,24.42
2083,24.83,25.15,24.37,24.37,24.37,24.37,24.37,24.37,24.37,24.39,24.37
2084,24.70,24.94,24.33,24.33,24.33,24.33,24.33,24.33,24.33,24.35,24.33
2085,24.69,24.92,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.31,24.29
2086,24.62,24.80,24.20,24.20,24.20,24.20,24.20,24.20,24.20,24.22,24.20
2087,24.78,25.04,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.36,24.34
2088,24.63,24.94,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.20,24.18
2089,24.63,24.90,24.20,24.20,24.20,24.20,24.20,24.20,24.20,24.22,24.20
2090,24.81,24.98,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.43,24.41
2091,24.80,25.07,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.43,24.41
2092,24.64,24.91,24.30,24.30,24.30,24.30,24.30,24.30,24.30,24.32,24.30
2093,24.62,24.78,24.27,24.27,24.27,24.27,24.27,24.27,24.27,24.29,24.27
2094,24.68,25.01,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.27,24.25
2095,24.71,24.98,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.33,24.31
2096,24.68,24.93,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.33,24.31
2097,24.60,24.94,24.23,24.23,24.23,24.23,24.23,24.23,24.23,24.25,24.23
2098,24.63,24.88,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.18,24.16
2099,24.75,24.98,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.31,24.29
2100,24.77,24.98,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.45,24.43
