Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2059,8.17,9.33,7.21,7.21,10.21,10.21,7.14,7.48,11.26,8.35,9.02,10.36,8.56,11.05,6.53,6.45,7.66,9.10,8.39,10.20,7.97,7.43,6.45,6.45,10.19,9.10,9.10
2060,8.14,9.27,7.17,7.17,10.18,10.18,7.11,7.46,11.27,8.30,8.97,10.34,8.50,11.05,6.55,6.47,7.62,9.02,8.34,10.17,7.91,7.44,6.47,6.44,10.19,9.02,9.02
2061,8.15,9.24,7.06,7.06,10.23,10.23,7.20,7.57,11.37,8.33,9.12,10.40,8.51,11.15,6.63,6.55,7.54,8.98,8.33,10.22,7.83,7.54,6.55,6.54,10.30,8.98,8.98
2062,7.76,8.88,6.74,6.74,9.90,9.90,6.72,7.08,11.01,7.91,8.63,10.09,8.11,10.84,6.08,6.00,7.20,8.61,7.92,9.89,7.49,7.00,6.00,6.01,9.90,8.61,8.61
2063,7.97,9.08,6.92,6.92,10.04,10.04,6.95,7.30,11.13,8.17,8.97,10.21,8.32,10.93,6.37,6.29,7.40,8.82,8.15,10.03,7.68,7.30,6.29,6.27,10.05,8.82,8.82
2064,7.75,8.81,6.67,6.67,9.82,9.82,6.77,7.14,11.00,7.96,8.77,10.01,8.09,10.82,6.25,6.18,7.16,8.54,7.91,9.81,7.42,7.18,6.18,6.13,9.91,8.54,8.54
2065,7.78,8.88,6.75,6.75,9.85,9.85,6.77,7.16,11.05,7.95,8.67,10.03,8.13,10.83,6.18,6.10,7.22,8.62,7.95,9.84,7.50,7.09,6.10,6.11,9.95,8.62,8.62
2066,7.90,9.02,6.82,6.82,9.97,9.97,6.96,7.38,11.27,8.07,8.82,10.14,8.28,10.99,6.36,6.28,7.30,8.76,8.10,9.96,7.60,7.27,6.28,6.32,10.17,8.76,8.76
2067,8.25,9.43,7.21,7.21,10.42,10.42,7.25,7.60,11.49,8.36,9.02,10.60,8.65,11.33,6.58,6.50,7.67,9.17,8.46,10.41,8.00,7.48,6.50,6.53,10.39,9.17,9.17
2068,8.10,9.25,7.03,7.03,10.19,10.19,7.06,7.37,11.17,8.25,8.98,10.35,8.48,11.01,6.50,6.42,7.51,9.00,8.31,10.18,7.82,7.41,6.42,6.36,10.10,9.00,9.00
2069,8.38,9.48,7.39,7.39,10.43,10.43,7.27,7.56,11.37,8.60,9.36,10.59,8.70,11.23,6.74,6.66,7.86,9.22,8.54,10.42,8.13,7.67,6.66,6.57,10.30,9.22,9.22
2070,8.13,9.22,7.14,7.14,10.16,10.16,7.14,7.50,11.27,8.29,9.00,10.33,8.48,11.07,6.53,6.45,7.59,8.97,8.30,10.15,7.88,7.43,6.45,6.48,10.20,8.97,8.97
2071,7.86,8.98,6.81,6.81,9.97,9.97,6.79,7.13,11.02,8.02,8.80,10.15,8.20,10.85,6.18,6.10,7.28,8.71,8.02,9.96,7.57,7.10,6.10,6.08,9.92,8.71,8.71
2072,7.74,8.85,6.68,6.68,9.88,9.88,6.72,7.07,11.01,7.89,8.59,10.07,8.10,10.84,6.19,6.11,7.15,8.58,7.92,9.87,7.44,7.09,6.11,6.04,9.89,8.58,8.58
2073,7.89,9.06,6.82,6.82,10.09,10.09,6.88,7.24,11.14,8.00,8.74,10.24,8.27,10.93,6.16,6.07,7.29,8.78,8.06,10.08,7.61,7.07,6.07,6.15,10.04,8.78,8.78
2074,7.65,8.78,6.52,6.52,9.77,9.77,6.66,7.00,10.83,7.82,8.64,9.95,8.02,10.67,6.04,5.96,7.02,8.52,7.84,9.76,7.32,6.97,5.96,5.98,9.74,8.52,8.52
2075,8.10,9.25,7.07,7.07,10.20,10.20,7.04,7.36,11.22,8.26,8.99,10.37,8.47,11.05,6.48,6.40,7.54,8.99,8.30,10.19,7.84,7.40,6.40,6.35,10.12,8.99,8.99
2076,8.00,9.08,6.99,6.99,10.05,10.05,6.93,7.27,11.12,8.20,8.98,10.23,8.32,10.96,6.38,6.30,7.46,8.82,8.15,10.04,7.73,7.31,6.30,6.25,10.03,8.82,8.82
2077,7.88,9.04,6.87,6.87,9.97,9.97,6.79,7.09,10.95,8.04,8.78,10.16,8.25,10.84,6.21,6.13,7.33,8.79,8.08,9.96,7.64,7.13,6.13,6.08,9.85,8.79,8.79
2078,7.95,9.09,6.94,6.94,10.04,10.04,6.88,7.19,11.01,8.11,8.86,10.20,8.30,10.85,6.26,6.18,7.41,8.83,8.12,10.03,7.70,7.19,6.18,6.17,9.93,8.83,8.83
2079,8.15,9.29,7.05,7.05,10.34,10.34,7.19,7.55,11.43,8.29,9.02,10.51,8.54,11.24,6.55,6.47,7.53,9.01,8.33,10.33,7.84,7.46,6.47,6.50,10.33,9.01,9.01
2080,7.87,8.94,6.90,6.90,9.85,9.85,6.72,7.09,11.06,8.07,8.84,10.05,8.16,10.88,6.23,6.15,7.36,8.69,8.01,9.84,7.62,7.17,6.15,6.07,9.95,8.69,8.69
2081,8.14,9.26,7.08,7.08,10.31,10.31,7.12,7.41,11.25,8.31,9.06,10.48,8.50,11.12,6.56,6.48,7.55,8.98,8.31,10.30,7.84,7.47,6.48,6.39,10.16,8.98,8.98
2082,8.04,9.17,7.04,7.04,10.13,10.13,6.99,7.31,11.12,8.21,8.91,10.30,8.39,10.96,6.39,6.31,7.50,8.91,8.22,10.12,7.79,7.31,6.31,6.28,10.04,8.91,8.91
2083,7.71,8.82,6.69,6.69,9.79,9.79,6.68,7.03,10.87,7.87,8.62,9.97,8.06,10.71,6.07,5.99,7.15,8.56,7.88,9.78,7.44,6.99,5.99,6.00,9.78,8.56,8.56
2084,7.81,8.95,6.73,6.73,9.90,9.90,6.77,7.07,10.90,7.97,8.73,10.07,8.19,10.74,6.28,6.20,7.21,8.70,8.03,9.89,7.52,7.17,6.20,6.08,9.81,8.70,8.70
2085,8.02,9.22,6.90,6.90,10.19,10.19,6.98,7.28,11.15,8.17,8.93,10.38,8.43,11.04,6.40,6.32,7.39,8.96,8.26,10.18,7.73,7.32,6.32,6.26,10.05,8.96,8.96
2086,8.31,9.46,7.28,7.28,10.37,10.37,7.28,7.62,11.49,8.48,9.18,10.55,8.69,11.30,6.77,6.69,7.75,9.21,8.54,10.36,8.06,7.67,6.69,6.60,10.39,9.21,9.21
2087,7.65,8.73,6.61,6.61,9.76,9.76,6.61,6.91,10.74,7.86,8.65,9.92,7.98,10.57,6.09,6.01,7.09,8.45,7.80,9.75,7.35,7.01,6.01,5.91,9.65,8.45,8.45
2088,7.78,8.89,6.76,6.76,9.85,9.85,6.74,7.07,10.91,7.96,8.71,10.03,8.13,10.74,6.18,6.10,7.23,8.63,7.96,9.84,7.51,7.10,6.10,6.05,9.82,8.63,8.63
2089,7.94,8.97,6.88,6.88,9.89,9.89,6.95,7.34,11.20,8.22,9.09,10.07,8.26,10.93,6.53,6.46,7.37,8.72,8.12,9.88,7.62,7.46,6.46,6.35,10.10,8.72,8.72
2090,8.22,9.36,7.17,7.17,10.36,10.36,7.21,7.60,11.57,8.36,9.10,10.55,8.58,11.35,6.54,6.46,7.64,9.09,8.39,10.35,7.94,7.46,6.46,6.53,10.44,9.09,9.09
2091,7.81,8.91,6.78,6.78,9.90,9.90,6.83,7.22,11.10,7.96,8.69,10.08,8.16,10.88,6.18,6.10,7.24,8.65,7.97,9.89,7.53,7.10,6.10,6.17,10.00,8.65,8.65
2092,7.90,8.97,6.82,6.82,9.99,9.99,6.89,7.25,11.12,8.12,8.96,10.17,8.24,10.93,6.36,6.28,7.31,8.70,8.06,9.98,7.58,7.30,6.28,6.22,10.02,8.70,8.70
2093,8.07,9.20,6.96,6.96,10.21,10.21,7.11,7.47,11.31,8.22,9.01,10.40,8.45,11.14,6.46,6.38,7.45,8.93,8.25,10.20,7.75,7.38,6.38,6.42,10.22,8.93,8.93
2094,7.97,9.11,6.90,6.90,10.07,10.07,6.96,7.33,11.20,8.14,8.89,10.25,8.35,11.01,6.37,6.29,7.38,8.85,8.17,10.06,7.68,7.29,6.29,6.28,10.10,8.85,8.85
2095,7.80,8.97,6.77,6.77,9.89,9.89,6.72,7.00,10.79,8.01,8.77,10.04,8.18,10.62,6.18,6.10,7.25,8.72,8.02,9.88,7.55,7.11,6.10,6.01,9.71,8.72,8.72
2096,7.74,8.86,6.70,6.70,9.84,9.84,6.73,7.06,10.90,7.93,8.69,10.02,8.11,10.73,6.18,6.10,7.18,8.60,7.93,9.83,7.46,7.10,6.10,6.04,9.80,8.60,8.60
2097,7.95,9.11,6.89,6.89,10.11,10.11,6.97,7.32,11.18,8.09,8.79,10.30,8.34,11.03,6.29,6.21,7.36,8.84,8.14,10.10,7.67,7.21,6.21,6.26,10.09,8.84,8.84
2098,7.98,9.13,6.95,6.95,10.08,10.08,6.93,7.26,11.11,8.14,8.87,10.25,8.35,10.93,6.33,6.25,7.42,8.88,8.18,10.07,7.73,7.25,6.25,6.23,10.02,8.88,8.88
2099,8.13,9.26,7.14,7.14,10.21,10.21,7.10,7.43,11.24,8.28,8.96,10.39,8.49,11.09,6.53,6.45,7.59,9.00,8.32,10.20,7.89,7.43,6.45,6.41,10.16,9.00,9.00
2100,7.71,8.81,6.66,6.66,9.85,9.85,6.75,7.11,10.94,7.84,8.55,10.04,8.07,10.79,6.11,6.03,7.12,8.53,7.86,9.84,7.41,7.01,6.03,6.05,9.85,8.53,8.53
