Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
2050,7.49,9.03,9.45,9.41,6.53,9.42,8.66,10.02,6.72,6.06,6.38,6.63,6.83,6.57,6.44,6.94,6.60,7.91,7.87,8.34,9.18,5.76,5.63,6.87,6.96,8.67,6.50,6.90,6.35
2051,7.36,8.88,9.22,9.30,6.36,9.15,8.53,9.73,6.43,5.86,6.22,6.31,6.56,6.50,6.12,6.94,6.57,7.87,7.87,8.21,8.90,5.43,5.25,6.67,6.95,8.59,6.42,6.79,6.20
2052,7.29,8.94,9.29,9.16,6.50,9.27,8.50,9.86,6.36,5.79,5.98,6.46,6.48,6.25,6.30,6.83,6.47,7.73,7.71,8.21,9.10,5.41,5.25,6.89,6.85,8.45,6.38,6.62,5.94
2053,7.61,9.12,9.53,9.49,6.73,9.46,8.87,10.01,6.70,6.14,6.27,6.65,6.83,6.69,6.49,7.20,6.85,8.12,8.09,8.55,9.15,5.71,5.56,7.07,7.22,8.84,6.74,6.92,6.26
2054,7.19,8.79,9.11,9.18,6.27,9.13,8.42,9.70,6.28,5.73,5.95,6.27,6.40,6.26,6.10,6.65,6.28,7.63,7.63,8.11,8.83,5.32,5.16,6.65,6.67,8.38,6.18,6.48,5.94
2055,7.39,8.87,9.26,9.43,6.42,9.16,8.52,9.72,6.52,5.90,6.28,6.37,6.65,6.47,6.20,6.83,6.50,7.84,7.86,8.21,8.89,5.48,5.29,6.76,6.85,8.62,6.40,6.99,6.22
2056,7.67,9.06,9.54,9.53,6.77,9.43,8.85,9.98,6.67,6.25,6.47,6.64,6.79,6.86,6.49,7.21,6.88,8.12,8.12,8.55,9.12,5.73,5.55,7.09,7.23,8.82,6.77,6.87,6.50
2057,7.19,8.81,9.16,9.08,6.21,9.07,8.44,9.65,6.34,5.74,6.04,6.31,6.46,6.26,6.11,6.70,6.25,7.66,7.60,8.12,8.88,5.36,5.19,6.58,6.72,8.40,6.10,6.62,6.02
2058,7.17,8.72,9.08,9.28,6.13,9.06,8.46,9.71,5.95,5.55,5.75,6.14,6.07,6.10,5.97,6.75,6.27,7.84,7.86,8.13,8.91,4.99,4.77,6.51,6.77,8.63,6.08,6.34,5.74
2059,7.39,9.19,9.25,9.27,6.50,9.28,8.64,9.87,6.49,5.93,6.18,6.53,6.60,6.45,6.32,6.92,6.52,7.87,7.82,8.34,9.05,5.58,5.45,6.88,6.94,8.60,6.41,6.73,6.16
2060,7.47,9.15,9.55,9.35,6.69,9.53,8.89,10.07,6.60,6.05,6.31,6.64,6.72,6.56,6.49,7.09,6.70,8.02,7.87,8.57,9.24,5.63,5.44,7.09,7.11,8.74,6.60,6.79,6.29
2061,7.45,9.15,9.42,9.35,6.43,9.46,8.60,10.16,6.47,6.02,6.22,6.57,6.59,6.61,6.35,7.02,6.61,7.96,7.94,8.28,9.34,5.56,5.40,6.74,7.03,8.71,6.44,6.66,6.24
2062,7.08,8.84,8.98,8.98,6.12,8.94,8.18,9.59,6.19,5.61,6.03,6.15,6.32,6.22,5.93,6.52,6.22,7.49,7.49,7.87,8.87,5.17,4.98,6.44,6.54,8.26,6.13,6.69,5.99
2063,7.66,9.26,9.69,9.50,6.82,9.64,9.01,10.16,6.71,6.21,6.41,6.77,6.83,6.71,6.62,7.16,6.76,8.12,8.05,8.70,9.25,5.80,5.64,7.24,7.18,8.86,6.66,6.97,6.40
2064,7.02,8.86,8.98,8.88,6.20,8.97,8.14,9.58,6.28,5.53,5.65,6.22,6.41,6.01,6.02,6.46,6.15,7.40,7.41,7.86,8.83,5.25,5.14,6.57,6.48,8.15,6.09,6.37,5.63
2065,7.60,9.14,9.60,9.67,6.51,9.40,8.75,9.99,6.59,6.08,6.30,6.59,6.70,6.66,6.37,7.19,6.75,8.18,8.17,8.42,9.16,5.67,5.53,6.83,7.20,8.96,6.55,6.79,6.31
2066,6.90,8.34,8.87,8.86,5.97,8.70,8.15,9.23,5.89,5.37,5.64,5.85,6.01,5.96,5.70,6.55,6.15,7.49,7.47,7.84,8.43,4.90,4.71,6.31,6.56,8.21,5.99,6.20,5.63
2067,7.28,8.80,9.19,9.02,6.52,9.19,8.51,9.73,6.26,6.00,6.27,6.35,6.37,6.63,6.22,6.68,6.46,7.64,7.55,8.21,8.85,5.39,5.17,6.86,6.70,8.38,6.45,6.72,6.29
2068,7.58,9.34,9.57,9.36,6.67,9.52,8.93,10.10,6.85,6.19,6.55,6.77,6.97,6.70,6.56,7.11,6.70,8.07,7.95,8.61,9.30,5.87,5.71,7.04,7.13,8.81,6.59,7.14,6.51
2069,7.42,9.21,9.40,9.41,6.52,9.38,8.74,9.98,6.51,6.01,6.09,6.64,6.62,6.44,6.45,7.02,6.61,7.98,7.84,8.41,9.07,5.60,5.44,6.87,7.04,8.71,6.48,6.62,6.08
2070,7.65,9.31,9.53,9.59,6.74,9.58,8.76,10.20,6.69,6.30,6.50,6.80,6.80,6.87,6.60,7.16,6.86,8.11,8.06,8.46,9.40,5.78,5.60,7.04,7.17,8.85,6.76,7.01,6.51
2071,7.27,8.71,9.04,9.16,6.51,9.24,8.56,9.87,6.27,5.89,6.06,6.38,6.38,6.42,6.27,6.69,6.40,7.67,7.62,8.27,8.92,5.38,5.19,6.90,6.71,8.39,6.38,6.56,6.07
2072,7.86,9.59,9.63,9.54,7.14,9.74,9.14,10.40,7.01,6.58,6.56,7.12,7.12,7.11,6.95,7.42,7.13,8.31,8.23,8.85,9.65,6.10,5.96,7.49,7.44,8.98,7.08,6.97,6.61
2073,7.51,8.91,9.50,9.51,6.62,9.42,8.75,9.96,6.51,6.03,6.30,6.54,6.63,6.54,6.41,7.00,6.60,8.01,7.96,8.44,9.05,5.59,5.40,7.01,7.02,8.79,6.49,6.84,6.29
2074,7.19,8.97,8.97,8.98,6.34,9.14,8.19,9.83,6.48,5.94,6.21,6.49,6.61,6.44,6.29,6.57,6.28,7.50,7.47,7.91,9.00,5.52,5.34,6.67,6.58,8.23,6.23,6.71,6.20
2075,7.28,8.77,9.19,9.16,6.39,9.21,8.53,9.77,6.28,5.79,6.04,6.31,6.39,6.35,6.15,6.87,6.50,7.79,7.76,8.22,8.90,5.36,5.19,6.74,6.89,8.50,6.37,6.60,6.03
2076,7.68,9.28,9.59,9.52,6.63,9.47,8.78,10.12,6.91,6.25,6.73,6.79,7.03,6.77,6.57,7.11,6.74,8.07,8.10,8.46,9.29,5.96,5.80,6.95,7.13,8.84,6.60,7.25,6.67
2077,7.67,9.19,9.62,9.57,6.72,9.55,8.96,10.12,6.60,6.17,6.43,6.67,6.71,6.76,6.50,7.24,6.85,8.19,8.16,8.64,9.28,5.72,5.56,7.07,7.26,8.91,6.72,6.99,6.43
2078,7.48,8.85,9.51,9.48,6.57,9.34,8.77,9.88,6.36,5.98,6.13,6.43,6.48,6.56,6.30,7.07,6.69,8.04,7.97,8.45,8.99,5.45,5.27,6.93,7.09,8.79,6.57,6.65,6.14
2079,7.23,8.85,9.30,9.16,6.42,9.23,8.61,9.80,6.23,5.77,5.89,6.32,6.35,6.31,6.18,6.81,6.44,7.76,7.67,8.29,8.92,5.25,5.06,6.81,6.83,8.50,6.34,6.34,5.90
2080,7.55,8.94,9.48,9.52,6.56,9.37,8.73,9.94,6.53,6.03,6.32,6.47,6.66,6.65,6.31,7.16,6.77,8.12,8.14,8.41,9.07,5.55,5.37,6.88,7.17,8.87,6.60,6.88,6.30
2081,7.54,9.14,9.34,9.40,6.54,9.28,8.53,9.91,6.59,6.18,6.33,6.63,6.71,6.78,6.41,7.10,6.79,8.03,8.07,8.23,9.16,5.69,5.54,6.78,7.11,8.77,6.64,6.87,6.35
2082,7.20,8.80,9.36,9.12,6.30,9.30,8.57,9.90,6.21,5.70,5.85,6.25,6.34,6.27,6.09,6.72,6.33,7.69,7.64,8.24,8.97,5.23,5.07,6.69,6.74,8.46,6.23,6.40,5.86
2083,7.00,8.57,8.91,8.86,6.11,8.85,8.19,9.43,6.08,5.58,5.85,6.01,6.20,6.19,5.84,6.44,6.14,7.41,7.37,7.88,8.57,5.10,4.92,6.45,6.46,8.16,6.07,6.35,5.85
