Variable:,tasmin
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2054,17.69,11.60,19.46,14.53,19.16,16.01,22.47,15.56,17.27,17.27,15.44,21.08
2055,17.79,11.69,19.50,14.62,19.23,16.03,22.55,15.66,17.34,17.37,15.55,21.19
2056,17.73,11.72,19.46,14.51,19.18,15.99,22.52,15.61,17.30,17.29,15.49,21.15
2057,17.88,11.81,19.64,14.66,19.28,16.10,22.73,15.72,17.46,17.52,15.62,21.28
2058,17.90,11.90,19.66,14.74,19.33,16.09,22.74,15.65,17.49,17.53,15.62,21.31
2059,17.95,11.87,19.79,14.81,19.46,16.11,22.76,15.77,17.46,17.60,15.66,21.32
2060,18.10,11.99,19.91,14.97,19.49,16.32,22.70,15.91,17.61,17.63,15.80,21.56
2061,17.85,11.73,19.66,14.64,19.19,16.19,22.55,15.80,17.38,17.41,15.63,21.25
2062,17.88,11.86,19.64,14.68,19.26,16.29,22.59,15.90,17.37,17.48,15.63,21.30
2063,18.07,11.90,19.91,14.78,19.47,16.38,22.88,16.01,17.69,17.59,15.79,21.51
2064,18.07,11.98,19.79,14.93,19.47,16.34,22.85,15.98,17.65,17.62,15.83,21.48
2065,17.93,11.93,19.59,14.81,19.45,16.22,22.81,15.84,17.51,17.61,15.70,21.29
2066,18.13,12.11,20.00,15.01,19.63,16.55,22.86,16.15,17.62,17.83,15.86,21.47
2067,18.16,12.09,19.91,14.94,19.58,16.54,22.69,16.13,17.64,17.72,15.90,21.64
2068,18.11,12.04,19.88,14.97,19.58,16.42,22.90,15.92,17.66,17.80,15.83,21.50
2069,18.14,12.08,19.98,15.00,19.41,16.36,22.88,15.93,17.59,17.76,15.87,21.58
2070,18.12,12.06,19.87,15.01,19.55,16.44,22.88,16.03,17.62,17.74,15.87,21.50
2071,18.26,12.27,20.04,15.13,19.61,16.65,22.89,16.27,17.71,17.84,16.00,21.69
2072,18.23,12.17,20.04,15.07,19.64,16.55,23.01,16.19,17.73,17.88,15.94,21.66
2073,18.47,12.50,20.27,15.32,19.91,16.89,23.22,16.46,18.06,18.08,16.23,21.82
2074,18.15,11.99,19.99,15.03,19.53,16.40,22.94,15.97,17.68,17.84,15.87,21.54
2075,18.21,12.12,19.98,15.10,19.59,16.49,22.92,16.09,17.67,17.90,15.90,21.64
2076,18.34,12.33,20.05,15.18,19.78,16.55,23.08,16.13,17.89,17.90,16.10,21.74
2077,18.36,12.23,20.11,15.22,19.84,16.53,23.27,16.16,17.93,18.04,16.06,21.78
2078,18.30,12.32,20.12,15.16,19.70,16.69,23.08,16.33,17.80,17.89,16.04,21.69
2079,18.32,12.22,20.12,15.14,19.70,16.76,23.10,16.43,17.82,17.91,16.05,21.75
2080,18.33,12.22,20.13,15.12,19.75,16.52,23.09,16.04,17.85,17.96,16.03,21.77
2081,18.42,12.17,20.22,15.17,19.80,16.83,23.02,16.49,17.86,18.10,16.12,21.91
2082,18.38,12.32,20.23,15.17,19.79,16.62,23.10,16.28,17.96,17.92,16.12,21.78
2083,18.36,12.27,20.10,15.21,19.79,16.63,23.05,16.28,17.88,17.95,16.06,21.84
2084,18.44,12.33,20.26,15.28,19.83,16.80,23.18,16.38,17.95,18.13,16.19,21.83
2085,18.39,12.26,20.09,15.16,19.83,16.86,23.25,16.49,17.96,17.88,16.13,21.86
2086,18.48,12.33,20.22,15.28,19.79,16.88,23.17,16.48,17.96,18.06,16.22,21.94
2087,18.42,12.24,20.17,15.22,19.77,16.65,23.16,16.28,17.94,18.03,16.11,21.91
2088,18.46,12.32,20.19,15.23,19.88,16.72,23.31,16.34,17.96,18.04,16.19,21.95
2089,18.56,12.55,20.33,15.38,19.87,16.92,23.24,16.53,18.08,18.01,16.31,22.05
2090,18.50,12.33,20.33,15.34,19.89,16.79,23.27,16.40,18.00,18.13,16.18,21.93
2091,18.56,12.48,20.28,15.24,19.87,16.78,23.24,16.41,18.08,18.02,16.30,22.09
2092,18.51,12.41,20.21,15.36,19.93,16.77,23.21,16.33,17.99,18.06,16.21,21.98
2093,18.58,12.43,20.37,15.48,20.06,16.95,23.51,16.52,18.15,18.20,16.31,21.94
2094,18.61,12.68,20.45,15.53,20.11,16.84,23.40,16.43,18.14,18.30,16.36,21.95
2095,18.64,12.59,20.32,15.46,20.08,16.92,23.56,16.46,18.27,18.23,16.40,22.06
2096,18.57,12.36,20.45,15.40,19.92,16.91,23.21,16.55,17.93,18.23,16.26,22.03
2097,18.51,12.52,20.25,15.41,19.89,16.70,23.17,16.34,18.02,18.19,16.26,21.90
2098,18.42,12.31,20.05,15.25,19.77,16.54,23.14,16.16,17.84,17.92,16.16,21.95
2099,18.50,12.40,20.27,15.31,19.95,16.76,23.32,16.38,18.06,18.17,16.24,21.90
2100,18.57,12.60,20.34,15.43,19.91,16.92,23.29,16.58,18.11,18.20,16.28,21.98
