Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2085,21.71,26.54,26.11,16.48,14.96,14.72,8.89,8.91,25.19,17.84
2086,21.50,26.50,25.97,16.36,14.97,14.69,8.78,8.71,24.82,17.66
2087,21.76,26.73,26.18,16.72,15.30,15.04,9.25,9.35,24.93,17.90
2088,21.42,26.64,25.90,16.37,14.82,14.66,8.76,8.89,24.60,17.71
2089,21.44,26.41,25.90,16.25,14.65,14.54,8.64,8.61,24.81,17.71
2090,21.58,26.58,26.03,16.51,15.06,14.87,9.00,8.91,24.83,17.81
2091,21.94,26.84,26.34,16.96,15.42,15.06,9.28,9.33,25.25,18.28
2092,21.34,26.39,25.96,16.13,14.75,14.55,8.69,8.68,24.51,17.48
2093,21.33,26.30,25.80,16.26,14.78,14.63,8.85,8.74,24.55,17.56
2094,21.72,26.75,26.16,16.59,15.14,14.87,9.01,9.02,25.01,17.81
2095,21.62,26.79,26.16,16.32,14.95,14.73,8.91,8.91,24.85,17.60
2096,21.34,26.38,25.80,16.29,14.99,14.77,8.95,8.94,24.41,17.50
2097,21.43,26.44,25.86,16.30,14.90,14.70,8.77,8.79,24.70,17.54
2098,21.46,26.43,25.84,16.27,14.91,14.76,8.94,8.87,24.73,17.43
2099,21.54,26.61,26.04,16.38,14.94,14.73,8.89,8.81,24.80,17.74
2100,21.76,26.73,26.22,16.72,15.19,15.02,9.13,9.10,25.00,18.01
