Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2085,25.71,25.99,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.38,25.36
2086,25.64,25.93,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.29,25.27
2087,25.74,26.05,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.34,25.32
2088,25.71,26.05,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.30,25.28
2089,25.80,26.09,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.46,25.44
2090,25.79,26.10,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.44,25.42
2091,25.86,26.12,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.46,25.44
2092,25.87,26.09,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.53,25.51
2093,25.71,25.94,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.38,25.36
2094,25.72,25.98,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.40,25.38
2095,25.82,26.11,25.39,25.39,25.39,25.39,25.39,25.39,25.39,25.41,25.39
2096,25.86,26.14,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.52,25.50
2097,25.92,26.16,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.53,25.51
2098,25.98,26.22,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.64,25.63
2099,25.95,26.22,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.55,25.53
2100,25.93,26.20,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.52,25.50
