Variable:,tas
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
2035,23.03,23.12,24.18,22.71,21.99,22.00,22.25,24.00,22.41,21.44,21.71
2036,22.92,23.00,24.18,22.59,21.84,21.84,22.12,23.86,22.49,21.18,21.48
2037,22.78,22.87,24.13,22.43,21.72,21.59,21.85,23.75,22.38,20.97,21.26
2038,22.76,22.79,23.86,22.47,21.94,21.76,22.08,23.60,22.11,21.14,21.47
2039,22.61,22.63,24.08,22.24,21.42,21.29,21.63,23.70,22.12,20.62,20.97
2040,23.09,23.19,24.49,22.70,21.87,22.06,22.33,24.03,22.54,21.35,21.62
2041,23.55,23.83,24.68,23.22,22.20,22.50,22.65,24.49,23.29,21.73,21.97
2042,22.91,22.96,24.19,22.57,21.92,21.88,22.15,23.77,22.32,21.17,21.47
2043,22.87,22.96,24.19,22.50,21.80,21.63,22.05,23.86,22.26,21.08,21.39
2044,23.28,23.22,24.29,23.15,22.45,22.00,22.42,24.28,22.61,21.48,21.88
2045,23.60,23.71,24.83,23.34,22.53,22.41,22.75,24.56,23.05,21.69,22.05
2046,23.16,23.30,24.46,22.78,21.89,21.94,22.35,24.15,22.77,21.34,21.67
2047,23.31,23.63,24.49,22.97,21.85,22.41,22.53,24.16,22.99,21.59,21.68
2048,23.06,22.98,24.45,22.76,21.96,21.82,22.16,24.30,22.33,21.17,21.52
2049,22.74,22.82,24.09,22.47,21.61,21.52,21.86,23.62,22.31,20.76,21.10
2050,23.30,23.48,24.20,23.13,22.00,22.33,22.73,24.19,22.73,21.69,21.92
2051,23.18,23.37,24.32,22.80,21.94,22.21,22.44,24.14,22.68,21.58,21.80
2052,23.30,23.25,24.79,23.05,22.07,21.88,22.33,24.58,22.59,21.32,21.58
2053,23.11,23.23,24.13,22.91,22.07,21.97,22.16,24.04,22.67,21.43,21.67
2054,23.24,23.23,24.47,22.98,22.18,22.35,22.65,24.28,22.42,21.71,21.94
2055,23.16,23.22,24.45,22.81,22.03,22.00,22.26,24.26,22.65,21.29,21.62
2056,22.83,22.90,23.98,22.49,21.79,21.72,22.03,23.86,22.35,21.16,21.32
2057,22.70,22.90,24.04,22.29,21.48,21.60,21.84,23.64,22.35,20.86,21.11
2058,23.31,23.36,24.63,22.95,22.25,22.09,22.44,24.33,22.72,21.42,21.78
2059,23.43,23.46,24.70,23.14,22.25,22.29,22.72,24.52,22.63,21.70,22.02
2060,23.04,23.28,24.36,22.62,21.62,21.78,21.95,24.16,22.86,20.94,21.07
2061,23.24,23.38,24.69,22.79,21.85,22.05,22.36,24.44,22.73,21.37,21.58
2062,23.21,23.29,24.52,22.80,22.02,22.10,22.36,24.33,22.57,21.45,21.73
2063,23.14,23.23,24.39,22.83,21.95,22.02,22.24,24.25,22.54,21.26,21.55
2064,22.81,22.91,24.16,22.31,21.77,21.78,21.91,23.85,22.44,21.08,21.28
2065,22.62,22.78,24.22,22.19,21.44,21.45,21.65,23.58,22.17,20.67,20.96
2066,22.60,22.75,23.89,22.18,21.54,21.45,21.72,23.55,22.14,20.82,21.13
2067,23.19,23.14,24.30,23.05,22.22,21.86,22.49,24.22,22.33,21.31,21.74
2068,23.33,23.41,24.62,23.02,22.36,22.08,22.48,24.26,22.70,21.45,21.80
2069,22.99,23.07,24.23,22.67,21.83,21.93,22.17,24.03,22.40,21.17,21.49
2070,22.78,22.86,24.10,22.47,21.55,21.48,21.88,23.92,22.15,20.79,21.11
2071,23.33,23.48,24.81,22.94,22.07,21.99,22.48,24.33,22.83,21.40,21.81
2072,22.73,22.81,23.93,22.43,21.65,21.54,21.87,23.72,22.09,20.92,21.23
2073,22.69,22.78,24.10,22.19,21.85,21.67,21.93,23.53,22.31,21.07,21.35
2074,22.92,23.11,24.26,22.56,21.80,21.78,21.96,23.84,22.57,20.84,21.21
2075,22.97,23.26,24.30,22.53,21.56,21.93,22.17,23.84,22.62,21.17,21.38
2076,22.92,23.01,24.20,22.61,21.75,21.47,21.97,23.96,22.38,20.91,21.29
2077,23.52,23.58,24.93,23.26,22.36,22.28,22.71,24.52,22.75,21.64,21.99
2078,22.96,23.15,24.14,22.62,21.78,21.77,22.05,23.94,22.66,21.01,21.40
2079,22.86,23.03,24.44,22.41,21.54,21.63,21.88,23.93,22.32,20.99,21.25
2080,22.85,22.95,24.12,22.43,21.75,21.59,22.01,23.83,22.26,21.02,21.37
2081,22.78,23.01,23.95,22.42,21.53,21.90,22.05,23.62,22.39,21.14,21.28
2082,22.63,22.77,23.94,22.18,21.31,21.58,21.84,23.72,22.06,20.88,21.11
2083,23.28,23.36,24.56,22.98,22.21,22.05,22.49,24.25,22.66,21.44,21.77
2084,23.07,23.25,24.58,22.60,21.68,21.75,22.02,24.18,22.75,20.99,21.28
2085,22.73,22.89,24.14,22.36,21.47,21.60,21.76,23.74,22.21,20.80,21.09
2086,22.94,22.99,24.11,22.69,21.81,21.95,22.14,23.97,22.32,21.27,21.47
2087,22.92,22.98,24.30,22.56,21.82,22.01,22.26,23.68,22.47,21.37,21.63
2088,22.93,23.00,24.22,22.63,21.83,21.75,22.16,23.84,22.31,21.17,21.48
2089,22.42,22.27,23.64,22.15,21.52,21.44,21.67,23.60,21.53,20.82,21.02
2090,22.81,22.84,24.35,22.34,21.85,21.79,21.90,23.78,22.29,21.10,21.37
2091,23.06,23.17,24.36,22.69,21.92,22.07,22.19,24.07,22.63,21.32,21.56
2092,22.80,22.96,24.02,22.45,21.69,21.63,21.97,23.74,22.30,20.95,21.30
2093,22.45,22.61,23.87,21.98,21.12,21.40,21.59,23.46,22.11,20.64,20.88
2094,22.97,23.24,24.62,22.34,21.44,21.89,21.98,24.22,22.57,21.14,21.22
2095,23.07,23.29,24.37,22.61,21.83,22.03,22.29,23.96,22.71,21.26,21.55
2096,22.45,22.58,23.78,22.03,21.44,21.35,21.57,23.35,22.13,20.64,20.97
2097,22.64,22.73,23.74,22.38,21.58,21.44,21.84,23.65,22.01,20.78,21.16
2098,22.43,22.52,23.89,21.98,21.42,21.05,21.37,23.61,21.85,20.36,20.75
2099,22.63,22.75,23.88,22.39,21.49,21.28,21.64,23.66,21.95,20.55,20.91
2100,22.98,23.05,23.93,22.80,22.11,21.85,22.21,23.76,22.53,21.28,21.71
