Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2058,25.95,24.47,25.82,25.40,28.99,26.99,26.33,24.69,25.31,25.95,26.82
2059,25.99,24.48,25.91,25.50,29.03,27.07,26.31,24.72,25.32,26.01,26.83
2060,26.05,24.58,25.93,25.48,29.16,27.07,26.52,24.74,25.27,25.98,26.85
2061,25.96,24.55,25.85,25.41,29.07,26.94,26.37,24.73,25.28,25.89,26.74
2062,25.85,24.44,25.67,25.23,29.09,26.81,26.36,24.52,25.04,25.72,26.60
2063,26.02,24.54,25.87,25.42,29.24,27.07,26.46,24.73,25.29,25.95,26.85
2064,26.13,24.74,25.98,25.55,29.21,27.17,26.53,24.73,25.39,26.09,26.92
2065,25.87,24.48,25.72,25.29,28.99,26.84,26.31,24.56,25.11,25.75,26.68
2066,26.09,24.55,26.01,25.59,29.24,27.19,26.41,24.79,25.38,26.09,26.95
2067,26.05,24.61,25.86,25.46,29.22,26.99,26.55,24.68,25.25,25.92,26.81
2068,25.97,24.55,25.84,25.39,29.05,26.99,26.41,24.68,25.23,25.89,26.79
2069,25.95,24.52,25.82,25.37,29.00,27.01,26.39,24.65,25.24,25.88,26.81
2070,26.09,24.70,25.91,25.48,29.28,27.06,26.60,24.77,25.30,25.98,26.87
2071,25.96,24.45,25.87,25.43,29.11,27.03,26.35,24.63,25.24,25.93,26.78
2072,25.90,24.46,25.73,25.26,29.21,26.93,26.42,24.51,25.11,25.88,26.69
2073,26.00,24.54,25.83,25.38,29.35,26.99,26.49,24.62,25.21,25.88,26.77
2074,26.04,24.50,25.89,25.47,29.24,27.11,26.48,24.71,25.32,26.03,26.88
2075,25.91,24.44,25.83,25.36,28.92,26.97,26.32,24.65,25.26,25.89,26.78
2076,25.90,24.42,25.76,25.31,29.08,27.00,26.33,24.61,25.20,25.92,26.80
2077,26.07,24.54,25.96,25.50,29.35,27.15,26.51,24.66,25.26,26.06,26.92
2078,26.10,24.59,26.03,25.54,29.20,27.20,26.52,24.84,25.44,26.15,26.98
2079,26.04,24.51,25.91,25.45,29.34,27.09,26.52,24.67,25.30,26.02,26.85
2080,25.92,24.44,25.77,25.35,29.24,26.96,26.33,24.57,25.19,25.85,26.70
2081,26.02,24.55,25.90,25.46,29.23,27.02,26.41,24.70,25.28,25.92,26.84
2082,26.14,24.68,26.05,25.60,29.22,27.16,26.54,24.82,25.46,26.12,26.95
2083,25.93,24.49,25.87,25.35,29.06,26.97,26.28,24.57,25.18,25.92,26.74
2084,25.91,24.50,25.80,25.27,29.16,27.05,26.32,24.58,25.31,25.90,26.83
2085,25.92,24.43,25.79,25.37,29.09,26.95,26.38,24.51,25.13,25.96,26.71
2086,26.04,24.58,25.92,25.49,29.11,27.06,26.53,24.53,25.30,25.97,26.86
2087,25.92,24.50,25.80,25.34,29.13,26.93,26.34,24.59,25.19,25.86,26.72
2088,25.89,24.38,25.79,25.33,28.96,27.02,26.35,24.50,25.18,25.95,26.73
2089,25.84,24.41,25.71,25.25,28.95,26.86,26.30,24.41,25.10,25.80,26.63
2090,25.87,24.45,25.66,25.25,29.24,26.85,26.42,24.42,25.04,25.82,26.61
2091,26.02,24.60,25.84,25.43,29.26,27.05,26.48,24.64,25.25,25.92,26.82
2092,25.91,24.44,25.83,25.31,29.13,26.98,26.32,24.55,25.17,25.87,26.75
2093,25.93,24.57,25.80,25.35,29.09,26.95,26.37,24.53,25.17,25.84,26.69
2094,25.86,24.42,25.73,25.25,29.05,27.00,26.28,24.49,25.08,25.95,26.69
2095,25.94,24.58,25.72,25.26,29.22,26.88,26.48,24.50,25.13,25.85,26.69
2096,25.75,24.32,25.64,25.12,28.81,26.81,26.18,24.45,25.10,25.77,26.64
2097,25.84,24.30,25.78,25.32,28.91,27.02,26.18,24.46,25.13,25.97,26.74
2098,25.94,24.44,25.73,25.27,29.33,26.89,26.51,24.60,25.14,25.81,26.74
2099,25.99,24.51,25.85,25.38,29.23,27.12,26.45,24.59,25.32,25.95,26.89
2100,25.91,24.41,25.74,25.33,29.20,26.91,26.38,24.49,25.09,25.84,26.66
