Variable:,tas
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
2059,23.18,22.73,21.41,22.19,22.30,24.08,23.39,23.32,22.83,23.84,21.14
2060,23.21,22.77,21.59,22.29,22.29,24.10,23.47,23.36,22.93,23.79,21.28
2061,23.12,22.72,21.40,22.19,22.17,23.97,23.38,23.30,22.81,23.77,21.10
2062,23.05,22.53,21.36,22.14,22.17,23.89,23.27,23.14,22.67,23.67,21.11
2063,23.11,22.63,21.35,22.18,22.16,23.89,23.39,23.27,22.77,23.77,21.14
2064,23.16,22.61,21.42,22.27,22.32,23.97,23.51,23.30,22.80,23.61,21.20
2065,23.00,22.52,21.31,22.15,22.18,23.80,23.25,23.07,22.56,23.50,21.11
2066,23.34,22.70,21.66,22.42,22.51,24.22,23.60,23.37,22.96,23.93,21.36
2067,23.12,22.51,21.44,22.31,22.24,23.91,23.42,23.15,22.73,23.55,21.24
2068,23.17,22.79,21.34,22.16,22.26,24.05,23.42,23.39,22.84,23.86,21.12
2069,23.14,22.51,21.45,22.22,22.24,23.96,23.51,23.14,22.80,23.67,21.16
2070,23.16,22.67,21.43,22.23,22.29,23.98,23.46,23.26,22.77,23.72,21.18
2071,23.04,22.55,21.31,22.22,22.14,23.87,23.35,23.17,22.64,23.53,21.11
2072,23.09,22.67,21.36,22.27,22.15,23.86,23.52,23.24,22.73,23.58,21.09
2073,23.14,22.50,21.48,22.25,22.33,23.99,23.41,23.17,22.73,23.68,21.22
2074,23.32,22.63,21.66,22.55,22.50,24.12,23.56,23.21,22.93,23.78,21.48
2075,23.03,22.40,21.37,22.18,22.14,23.80,23.41,23.09,22.64,23.55,21.12
2076,23.03,22.31,21.39,22.11,22.23,23.91,23.21,22.92,22.68,23.54,21.18
2077,23.29,22.74,21.58,22.35,22.39,24.14,23.58,23.44,22.91,23.89,21.33
2078,23.42,22.81,21.82,22.48,22.53,24.23,23.62,23.51,23.02,24.16,21.50
2079,23.41,22.80,21.84,22.50,22.62,24.30,23.60,23.38,23.03,23.99,21.51
2080,23.01,22.38,21.38,22.09,22.17,23.88,23.25,23.05,22.59,23.61,21.09
2081,23.26,22.63,21.50,22.35,22.40,24.12,23.59,23.33,22.90,23.82,21.23
2082,23.25,22.84,21.45,22.25,22.36,24.07,23.52,23.45,22.92,23.95,21.19
2083,23.16,22.82,21.41,22.16,22.28,24.01,23.49,23.40,22.85,23.79,21.11
2084,23.14,22.65,21.51,22.21,22.35,23.99,23.25,23.21,22.77,23.75,21.24
2085,23.12,22.62,21.41,22.36,22.16,23.87,23.54,23.25,22.76,23.66,21.21
2086,23.16,22.65,21.42,22.43,22.10,23.87,23.58,23.32,22.85,23.70,21.25
2087,23.32,22.94,21.59,22.42,22.32,24.05,23.70,23.58,23.02,23.99,21.34
2088,23.05,22.41,21.41,22.24,22.22,23.89,23.30,23.06,22.62,23.50,21.16
2089,23.07,22.46,21.38,22.23,22.23,23.89,23.42,23.17,22.63,23.55,21.14
2090,22.86,22.38,21.19,21.99,21.96,23.66,23.17,23.00,22.49,23.40,20.93
2091,23.28,22.73,21.54,22.40,22.38,24.10,23.61,23.43,22.93,23.82,21.35
2092,23.07,22.43,21.47,22.27,22.24,23.88,23.30,23.07,22.70,23.65,21.22
2093,22.94,22.46,21.08,22.04,22.02,23.77,23.30,23.07,22.61,23.47,20.93
2094,23.15,22.60,21.46,22.19,22.32,24.01,23.39,23.24,22.82,23.77,21.16
2095,23.29,22.73,21.72,22.37,22.50,24.18,23.49,23.31,22.89,23.89,21.34
2096,22.97,22.48,21.24,22.09,22.05,23.73,23.42,23.16,22.63,23.44,21.01
2097,22.96,22.46,21.37,22.04,22.19,23.80,23.21,23.10,22.53,23.46,21.08
2098,22.92,22.37,21.20,22.04,22.00,23.72,23.29,23.02,22.55,23.49,20.91
2099,23.14,22.41,21.41,22.28,22.25,23.95,23.48,23.21,22.77,23.64,21.19
2100,22.71,22.12,21.07,21.92,21.84,23.50,23.15,22.83,22.29,23.11,20.82
