Variable:,tasmin
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2075,19.77,12.79,21.10,19.01,16.96,22.73,16.84,16.22,17.28
2076,19.80,12.67,21.20,19.05,16.82,22.87,16.84,16.13,17.24
2077,19.93,12.80,21.34,19.21,16.96,23.00,16.97,16.27,17.27
2078,19.87,12.85,21.26,19.27,16.98,22.92,16.72,16.09,16.93
2079,19.83,12.64,21.23,19.08,16.85,22.80,16.84,16.26,17.16
2080,20.01,12.99,21.45,19.26,17.14,22.93,17.16,16.49,17.51
2081,19.82,12.60,21.12,19.10,16.65,22.92,16.80,16.09,17.10
2082,19.89,12.84,21.35,19.16,17.05,22.89,16.87,16.28,17.28
2083,19.95,12.84,21.40,19.21,17.05,22.95,16.87,16.31,17.27
2084,19.78,12.72,21.21,19.05,16.85,22.74,17.00,16.18,17.28
2085,19.55,12.44,20.98,18.81,16.49,22.62,16.49,15.84,16.95
2086,19.63,12.40,21.03,18.92,16.53,22.67,16.67,15.93,17.17
2087,19.82,12.78,21.22,19.09,16.91,22.78,16.89,16.23,17.35
2088,19.69,12.54,21.15,19.01,16.71,22.74,16.62,15.96,17.11
2089,19.55,12.48,20.91,18.82,16.48,22.63,16.70,15.88,16.85
2090,19.75,12.76,21.23,18.98,16.90,22.75,16.98,16.16,17.25
2091,19.76,12.65,21.13,19.01,16.75,22.83,16.92,16.03,17.17
2092,19.75,12.70,21.18,18.99,16.75,22.84,16.81,16.09,17.17
2093,19.64,12.55,21.00,18.90,16.81,22.70,16.79,15.99,17.06
2094,19.71,12.51,21.13,19.00,16.68,22.71,16.89,16.07,17.34
2095,19.83,12.80,21.24,19.13,16.97,22.92,16.82,16.09,17.05
2096,19.59,12.53,21.06,18.83,16.74,22.68,16.84,15.87,17.03
2097,19.66,12.43,21.06,18.93,16.64,22.76,16.52,15.95,16.92
2098,19.70,12.44,21.01,18.96,16.59,22.75,16.71,16.06,17.10
2099,19.79,12.70,21.24,19.07,16.92,22.93,16.70,16.02,17.00
2100,19.76,12.60,21.12,18.97,16.65,22.87,16.79,16.09,17.16
