Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2061,24.67,18.79,26.46,21.82,25.93,23.41,29.51,23.10,24.59,24.66,22.40,27.73
2062,24.67,18.76,26.45,21.81,25.95,23.63,29.46,23.29,24.45,24.62,22.36,27.80
2063,24.88,18.80,26.71,22.00,26.16,23.78,29.70,23.46,24.78,24.88,22.55,27.98
2064,24.85,18.96,26.64,22.06,26.21,23.70,29.72,23.34,24.70,24.91,22.56,27.87
2065,24.72,18.83,26.41,21.98,26.21,23.55,29.81,23.22,24.61,24.79,22.45,27.75
2066,24.87,18.91,26.75,22.11,26.29,23.79,29.61,23.43,24.61,24.98,22.52,27.88
2067,24.93,19.03,26.69,22.10,26.28,23.76,29.59,23.45,24.72,24.98,22.62,28.00
2068,24.88,18.92,26.69,22.09,26.23,23.80,29.74,23.52,24.73,24.97,22.54,27.93
2069,24.90,18.87,26.68,22.13,26.26,23.75,29.75,23.39,24.70,24.94,22.55,27.98
2070,24.87,18.94,26.61,22.13,26.24,23.76,29.66,23.40,24.72,24.92,22.58,27.89
2071,24.99,19.00,26.87,22.22,26.25,23.96,29.61,23.55,24.66,25.05,22.64,28.08
2072,24.98,18.96,26.78,22.16,26.34,23.82,29.86,23.47,24.83,25.00,22.67,28.05
2073,25.18,19.32,27.01,22.35,26.52,24.05,30.15,23.62,25.05,25.24,22.85,28.21
2074,24.93,18.96,26.62,22.17,26.37,23.78,29.82,23.41,24.74,25.02,22.62,28.02
2075,25.02,19.07,26.92,22.28,26.27,24.00,29.74,23.64,24.75,25.20,22.66,28.05
2076,25.10,19.31,26.81,22.34,26.45,23.92,29.90,23.51,24.93,25.05,22.84,28.17
2077,25.17,19.17,26.98,22.46,26.65,23.96,30.07,23.69,24.97,25.30,22.82,28.18
2078,25.11,19.18,26.95,22.34,26.42,24.08,29.85,23.70,24.93,25.18,22.79,28.15
2079,25.07,19.12,26.86,22.18,26.42,23.97,30.07,23.53,25.02,25.01,22.75,28.16
2080,25.10,19.14,26.87,22.28,26.40,23.97,29.94,23.61,24.95,25.19,22.76,28.16
2081,25.22,19.22,27.01,22.46,26.54,24.13,29.88,23.80,24.87,25.31,22.87,28.35
2082,25.14,19.18,26.94,22.30,26.45,24.04,29.93,23.71,25.02,25.03,22.85,28.22
2083,25.18,19.11,26.94,22.37,26.55,24.02,29.89,23.63,24.96,25.28,22.85,28.27
2084,25.21,19.24,26.93,22.35,26.46,24.12,29.96,23.73,24.99,25.18,22.91,28.37
2085,25.21,19.20,27.03,22.38,26.54,24.05,30.08,23.70,24.92,25.26,22.89,28.33
2086,25.33,19.36,27.01,22.51,26.60,24.19,30.02,23.86,25.06,25.43,23.04,28.46
2087,25.23,19.14,27.03,22.34,26.45,24.08,30.08,23.72,25.07,25.24,22.89,28.38
2088,25.18,19.19,26.92,22.34,26.51,24.02,30.06,23.68,25.00,25.15,22.87,28.30
2089,25.33,19.37,27.05,22.53,26.59,24.28,30.10,23.95,25.16,25.32,23.05,28.44
2090,25.28,19.33,27.07,22.46,26.61,24.19,30.13,23.80,25.12,25.32,22.96,28.35
2091,25.29,19.42,27.20,22.42,26.51,24.20,30.07,23.83,25.06,25.25,22.93,28.38
2092,25.33,19.41,27.08,22.52,26.70,24.16,30.13,23.79,25.20,25.32,23.01,28.39
2093,25.39,19.43,27.16,22.61,26.77,24.30,30.19,23.93,25.23,25.43,23.10,28.45
2094,25.36,19.47,27.18,22.63,26.77,24.22,30.24,23.84,25.23,25.43,23.05,28.37
2095,25.38,19.44,27.05,22.55,26.74,24.25,30.39,23.92,25.34,25.37,23.12,28.43
2096,25.35,19.27,27.17,22.53,26.58,24.27,30.17,23.92,25.04,25.41,23.00,28.50
2097,25.32,19.34,27.06,22.56,26.67,24.19,30.11,23.80,25.11,25.41,23.02,28.41
2098,25.13,19.19,26.79,22.26,26.42,23.82,29.98,23.42,24.97,25.09,22.85,28.26
2099,25.33,19.39,27.12,22.57,26.67,24.21,30.25,23.86,25.15,25.44,23.03,28.33
2100,25.45,19.53,27.22,22.67,26.72,24.38,30.33,24.01,25.31,25.55,23.13,28.53
