Variable:,tasmin
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2052,22.43,22.87,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.04,22.02
2053,22.50,22.91,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.08,22.06
2054,22.63,23.06,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.23,22.21
2055,22.35,22.84,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.95,21.93
2056,22.58,22.97,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.13,22.11
2057,22.53,22.98,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.23,22.22
2058,22.48,22.88,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
2059,22.62,23.04,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.28,22.27
2060,22.57,23.02,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.26,22.25
2061,22.69,23.09,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.25,22.23
2062,22.50,23.00,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.08,22.06
2063,22.69,23.15,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.20,22.18
2064,22.43,22.87,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.04,22.03
2065,22.39,22.75,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.07,22.06
2066,22.50,22.97,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.17,22.16
2067,22.82,23.17,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.43,22.42
2068,22.50,22.97,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.11,22.09
2069,22.47,22.91,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.10,22.09
2070,22.61,23.04,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.24,22.23
2071,22.64,23.15,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.18,22.16
2072,22.35,22.65,22.01,22.01,22.01,22.01,22.01,22.01,22.01,22.02,22.01
2073,22.41,22.95,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.04,22.03
2074,22.59,23.02,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.22,22.21
2075,22.40,22.86,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.07,22.06
2076,22.51,23.03,22.07,22.07,22.07,22.07,22.07,22.07,22.07,22.09,22.07
2077,22.55,23.06,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.17,22.16
2078,22.40,23.00,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.03,22.02
2079,22.46,22.99,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.06,22.05
2080,22.48,23.03,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.08,22.06
2081,22.54,23.04,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.18,22.17
2082,22.52,23.03,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.13,22.11
2083,22.60,23.05,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.18,22.16
2084,22.49,22.93,22.10,22.10,22.10,22.10,22.10,22.10,22.10,22.11,22.10
2085,22.42,22.87,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.03,22.02
2086,22.36,22.73,21.99,21.99,21.99,21.99,21.99,21.99,21.99,22.00,21.99
2087,22.51,22.95,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.17,22.16
2088,22.32,22.83,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.92,21.90
2089,22.40,22.79,21.96,21.96,21.96,21.96,21.96,21.96,21.96,21.98,21.96
2090,22.51,22.94,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.12,22.11
2091,22.54,22.96,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.11,22.09
2092,22.44,22.85,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.07,22.06
2093,22.30,22.67,21.97,21.97,21.97,21.97,21.97,21.97,21.97,21.98,21.97
2094,22.39,22.90,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.95,21.93
2095,22.45,22.93,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.15,22.14
2096,22.35,22.82,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.99,21.98
2097,22.32,22.86,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.95,21.94
2098,22.33,22.80,21.86,21.86,21.86,21.86,21.86,21.86,21.86,21.88,21.86
2099,22.51,23.00,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.15,22.14
2100,22.49,22.90,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
