Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2050,23.77,17.87,25.29,20.88,25.18,22.51,28.40,22.22,23.69,23.58,21.52,26.98
2051,23.91,18.03,25.51,21.05,25.36,22.57,29.06,22.20,24.09,23.79,21.66,26.96
2052,23.94,18.09,25.55,21.14,25.42,22.73,28.82,22.40,23.94,23.86,21.70,26.98
2053,23.94,17.90,25.74,21.05,25.18,22.79,28.75,22.48,23.78,23.90,21.59,27.10
2054,23.97,18.11,25.55,21.17,25.27,22.70,28.69,22.43,23.74,23.97,21.69,27.12
2055,23.96,18.09,25.64,21.17,25.32,22.78,28.71,22.40,23.80,23.99,21.63,27.06
2056,23.93,18.02,25.68,21.09,25.17,22.78,28.68,22.43,23.92,23.79,21.68,27.02
2057,24.00,18.14,25.73,21.20,25.30,22.89,28.81,22.58,23.94,23.93,21.74,27.06
2058,23.98,18.05,25.55,21.07,25.30,22.79,28.91,22.52,23.87,23.87,21.66,27.22
2059,23.97,18.00,25.52,21.10,25.30,22.59,29.02,22.40,23.94,23.90,21.71,27.14
2060,24.03,18.09,25.66,21.23,25.49,22.75,28.96,22.38,24.10,24.01,21.77,27.07
2061,23.91,18.11,25.54,21.12,25.21,22.65,28.75,22.24,23.87,23.82,21.68,26.99
2062,23.96,18.20,25.69,21.20,25.32,22.92,28.87,22.55,23.86,23.90,21.68,26.99
2063,24.00,18.23,25.66,21.25,25.43,22.81,28.88,22.50,23.98,23.89,21.74,27.02
2064,23.64,17.86,25.16,20.82,24.97,22.30,28.40,22.00,23.69,23.50,21.43,26.73
2065,23.58,17.72,25.35,20.72,24.94,22.42,28.25,22.18,23.34,23.48,21.27,26.74
2066,23.91,17.88,25.57,21.11,25.32,22.38,28.74,22.09,23.81,23.91,21.65,27.03
2067,23.95,17.98,25.45,21.02,25.41,22.68,29.11,22.35,24.06,23.77,21.73,27.11
2068,23.94,18.11,25.49,21.15,25.41,22.63,28.98,22.29,23.71,23.89,21.68,27.08
2069,23.88,17.85,25.57,20.95,25.34,22.53,28.71,22.18,23.95,23.70,21.67,26.92
2070,23.76,17.68,25.56,21.04,25.26,22.53,28.63,22.20,23.48,23.89,21.34,26.86
2071,23.98,18.03,25.67,21.10,25.30,23.09,28.81,22.90,23.74,23.93,21.63,27.18
2072,23.80,17.94,25.46,20.86,24.97,22.64,28.43,22.37,23.66,23.48,21.54,27.06
2073,23.89,17.93,25.39,21.04,25.48,22.56,29.23,22.28,23.97,23.87,21.62,26.94
2074,23.81,17.71,25.42,21.02,25.32,22.62,28.82,22.27,23.67,23.63,21.55,26.89
2075,23.63,17.80,25.19,20.81,25.02,22.40,28.63,21.96,23.61,23.42,21.40,26.72
2076,23.85,17.72,25.34,21.03,25.40,22.46,29.20,22.09,24.06,23.81,21.52,26.95
2077,23.88,17.91,25.58,21.06,25.22,22.71,28.67,22.37,23.79,23.81,21.59,26.99
2078,23.87,17.95,25.45,20.88,25.01,22.80,28.49,22.45,23.73,23.58,21.67,27.16
2079,24.08,18.26,25.79,21.40,25.50,22.92,28.97,22.52,24.08,24.14,21.79,27.06
2080,23.85,18.01,25.43,21.20,25.54,22.67,29.34,22.34,24.02,23.90,21.61,26.73
2081,23.91,18.06,25.47,21.07,25.22,22.77,28.36,22.49,23.53,23.85,21.65,27.13
2082,23.90,18.02,25.52,21.00,25.20,22.79,28.93,22.50,23.85,23.73,21.68,27.03
2083,23.87,17.79,25.54,20.86,25.27,22.78,28.95,22.59,23.86,23.56,21.63,27.04
2084,23.83,17.76,25.48,21.00,25.28,22.71,28.89,22.33,23.82,23.83,21.51,26.90
2085,23.65,17.55,25.40,20.80,24.94,22.61,28.44,22.31,23.39,23.61,21.30,26.81
2086,23.58,17.58,25.23,20.75,25.10,22.51,28.52,22.07,23.49,23.45,21.28,26.71
2087,23.82,17.92,25.47,21.05,25.28,22.53,28.79,22.21,23.79,23.68,21.55,26.88
2088,23.78,17.88,25.58,21.01,25.20,22.47,28.80,22.09,23.69,23.87,21.50,26.77
2089,23.45,17.56,25.04,20.62,24.93,22.17,28.11,21.80,23.42,23.26,21.21,26.56
2090,23.74,17.88,25.52,20.98,25.11,22.53,28.56,22.15,23.66,23.69,21.42,26.76
2091,23.77,18.01,25.50,20.94,25.21,22.48,28.66,22.08,23.62,23.63,21.54,26.87
2092,23.57,17.67,25.15,20.82,25.03,22.39,28.45,22.06,23.50,23.56,21.32,26.64
2093,23.73,17.76,25.50,21.04,25.21,22.61,28.50,22.28,23.48,23.78,21.41,26.77
2094,23.77,17.83,25.39,20.91,25.31,22.59,28.84,22.21,23.73,23.61,21.49,26.87
2095,23.68,17.72,25.27,20.78,25.04,22.51,28.55,22.24,23.36,23.53,21.40,26.92
2096,23.69,17.97,25.19,20.92,25.06,22.34,28.58,21.92,23.60,23.58,21.44,26.86
2097,23.53,17.43,25.10,20.62,24.91,22.17,28.45,21.91,23.45,23.40,21.24,26.74
2098,23.65,17.63,25.25,20.77,25.24,22.32,29.00,21.94,23.73,23.61,21.39,26.71
2099,23.70,17.72,25.47,20.89,25.30,22.51,28.63,22.24,23.62,23.55,21.43,26.77
2100,23.73,17.73,25.28,20.91,25.14,22.35,28.75,22.01,23.73,23.64,21.48,26.83
