Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
2031,9.29,12.53,11.07,11.27,6.97,11.91,12.60,12.83,6.25,12.15,12.73,10.13,15.10,16.38,10.63,13.76
2032,9.26,12.23,11.14,11.33,6.92,12.12,12.88,13.28,6.27,12.47,13.08,10.15,14.66,15.93,10.63,14.10
2033,9.39,12.65,11.19,11.42,6.98,12.11,12.92,13.02,6.32,12.33,12.98,10.10,15.41,16.63,10.75,14.16
2034,9.42,12.80,11.17,11.55,6.98,12.09,12.81,13.05,6.20,12.34,12.91,10.14,15.33,16.49,10.63,13.99
2035,9.39,12.68,11.19,11.31,7.03,12.08,12.73,13.01,6.36,12.38,12.79,10.10,15.36,16.58,10.68,13.95
2036,9.42,12.53,11.31,11.30,7.19,12.20,12.73,13.10,6.33,12.41,12.97,10.23,15.18,16.42,10.77,13.98
2037,9.47,12.77,11.23,11.58,7.00,12.18,13.11,13.32,6.24,12.55,13.18,10.14,15.33,16.51,10.78,14.32
2038,9.53,12.84,11.31,11.53,7.16,12.27,12.91,13.14,6.42,12.44,13.00,10.19,15.47,16.70,10.76,14.13
2039,9.48,12.89,11.23,11.74,6.99,12.07,12.97,13.08,6.16,12.33,12.99,10.15,15.31,16.42,10.72,14.07
2040,9.54,12.81,11.24,11.56,7.20,12.20,13.02,13.23,6.48,12.52,13.08,10.26,15.36,16.54,10.73,14.24
2041,9.40,12.76,11.15,11.37,7.06,12.03,12.73,12.85,6.28,12.17,12.69,10.09,15.48,16.67,10.60,13.87
2042,9.41,12.59,11.32,11.44,7.02,12.24,12.82,13.19,6.28,12.51,13.01,10.20,15.15,16.30,10.79,14.10
2043,9.29,12.49,11.15,11.35,6.89,12.10,12.80,13.08,6.16,12.40,12.90,9.97,15.03,16.23,10.56,14.01
2044,9.34,12.72,11.15,11.55,6.80,12.10,12.91,12.99,6.13,12.30,12.88,9.99,15.30,16.58,10.60,14.05
2045,9.65,13.14,11.19,11.81,7.09,12.09,13.05,13.18,6.51,12.45,13.13,10.15,15.82,17.00,10.65,14.22
2046,9.53,12.80,11.34,11.54,7.15,12.32,13.00,13.28,6.46,12.59,13.07,10.30,15.38,16.56,10.83,14.18
2047,9.51,12.94,11.21,11.59,7.08,12.06,12.85,13.07,6.36,12.34,12.85,10.15,15.51,16.77,10.68,14.00
2048,9.47,12.81,11.26,11.53,7.13,12.06,12.85,13.09,6.24,12.32,12.87,10.22,15.35,16.61,10.75,14.03
2049,9.39,12.63,11.16,11.46,6.96,12.04,13.00,13.37,6.13,12.50,13.21,10.13,15.14,16.38,10.67,14.25
2050,9.33,12.62,11.01,11.40,6.99,11.89,12.70,12.89,6.35,12.16,12.74,10.03,15.17,16.44,10.54,13.84
2051,9.39,12.82,11.16,11.52,6.93,11.99,12.80,12.96,6.20,12.28,12.83,10.02,15.40,16.63,10.64,13.93
2052,9.56,12.67,11.33,11.49,7.30,12.22,12.97,13.18,6.60,12.47,13.06,10.28,15.35,16.60,10.84,14.12
2053,9.50,12.65,11.36,11.55,7.21,12.32,12.98,13.21,6.50,12.55,13.01,10.31,15.04,16.28,10.82,14.18
2054,9.42,12.61,11.14,11.31,7.24,12.05,12.64,12.95,6.57,12.30,12.75,10.13,15.29,16.55,10.62,13.84
2055,9.37,12.60,11.16,11.26,7.12,12.04,12.62,13.05,6.38,12.35,12.81,10.12,15.27,16.43,10.66,13.86
2056,9.45,12.63,11.11,11.45,7.11,12.07,12.91,13.13,6.65,12.41,12.96,10.06,15.25,16.44,10.59,14.11
2057,9.49,12.75,11.40,11.72,7.01,12.36,13.13,13.39,6.22,12.66,13.18,10.17,15.27,16.46,10.80,14.22
2058,9.54,12.94,11.35,11.64,7.01,12.37,13.12,13.40,6.31,12.68,13.25,10.18,15.61,16.72,10.76,14.33
2059,9.62,12.79,11.51,11.56,7.28,12.42,13.03,13.41,6.52,12.72,13.21,10.33,15.42,16.65,10.93,14.30
2060,9.51,12.67,11.26,11.66,7.14,12.18,13.15,13.27,6.43,12.56,13.14,10.18,15.11,16.29,10.80,14.24
2061,9.60,12.83,11.51,11.73,7.21,12.47,13.18,13.56,6.29,12.83,13.37,10.41,15.46,16.65,10.94,14.38
2062,9.54,12.74,11.33,11.50,7.30,12.24,12.99,13.20,6.46,12.47,13.08,10.40,15.42,16.70,10.81,14.20
2063,9.39,12.75,11.01,11.52,7.02,11.93,12.81,12.92,6.39,12.19,12.77,10.07,15.41,16.66,10.51,13.95
2064,9.31,12.38,11.08,11.18,7.15,11.97,12.73,13.02,6.45,12.27,12.89,10.22,14.99,16.18,10.62,13.99
2065,9.12,12.17,11.03,11.17,6.77,11.96,12.64,12.95,6.21,12.26,12.78,9.99,14.69,15.93,10.49,13.79
2066,9.46,12.64,11.23,11.40,7.19,12.19,12.97,13.38,6.40,12.60,13.13,10.28,15.30,16.47,10.76,14.21
2067,9.61,12.82,11.42,11.62,7.25,12.33,13.06,13.35,6.42,12.65,13.21,10.43,15.43,16.73,10.95,14.24
2068,9.49,12.65,11.22,11.45,7.28,12.08,12.77,13.03,6.60,12.36,12.75,10.36,15.24,16.53,10.81,13.91
2069,9.29,12.39,11.19,11.22,7.02,12.05,12.79,13.08,6.30,12.36,12.92,10.08,15.04,16.33,10.70,14.04
2070,9.39,12.64,11.22,11.34,7.09,12.13,12.83,13.07,6.36,12.40,12.88,10.15,15.35,16.56,10.66,14.02
2071,9.53,12.61,11.35,11.56,7.21,12.28,13.19,13.25,6.39,12.54,13.15,10.26,15.24,16.48,10.79,14.32
2072,9.30,12.38,11.30,11.25,6.97,12.18,12.81,13.12,6.35,12.43,12.89,10.14,15.00,16.20,10.75,14.06
2073,9.28,12.51,11.17,11.35,6.94,12.03,12.82,12.99,6.10,12.27,12.85,10.07,15.18,16.38,10.65,13.95
2074,9.46,12.76,11.15,11.65,7.06,12.12,13.07,13.21,6.23,12.49,13.13,10.16,15.40,16.60,10.64,14.25
2075,9.28,12.63,11.09,11.30,6.87,11.92,12.84,13.10,6.02,12.31,12.87,10.05,15.25,16.36,10.65,14.05
2076,9.30,12.58,11.20,11.40,6.85,12.09,12.77,12.93,6.21,12.26,12.78,10.09,15.14,16.35,10.64,13.93
2077,9.38,12.56,11.11,11.41,7.03,12.09,12.88,13.11,6.28,12.40,12.95,10.09,15.19,16.37,10.55,14.02
2078,9.59,12.82,11.24,11.58,7.23,12.09,13.01,13.30,6.55,12.51,13.18,10.25,15.32,16.54,10.76,14.21
2079,9.33,12.65,11.01,11.36,7.03,11.89,12.78,13.00,6.29,12.22,12.88,10.05,15.33,16.49,10.53,14.02
2080,9.48,12.61,11.45,11.34,7.29,12.27,12.80,13.07,6.56,12.39,12.81,10.30,15.41,16.65,10.97,13.95
2081,9.49,12.69,11.33,11.41,7.11,12.25,12.98,13.36,6.50,12.59,13.20,10.22,15.31,16.46,10.77,14.24
2082,9.48,12.66,11.45,11.47,7.20,12.33,12.85,13.15,6.36,12.51,12.93,10.41,15.33,16.49,10.96,14.07
2083,9.51,12.86,11.28,11.65,7.15,12.19,13.07,13.16,6.36,12.44,12.99,10.23,15.50,16.72,10.78,14.17
2084,9.38,12.69,11.32,11.44,6.99,12.21,12.86,13.16,6.33,12.45,12.94,10.13,15.29,16.42,10.74,14.08
2085,9.37,12.67,11.06,11.45,6.94,12.03,12.76,12.93,6.40,12.31,12.91,10.04,15.08,16.16,10.53,13.97
2086,9.23,12.34,11.12,11.20,7.05,12.03,12.63,12.90,6.30,12.23,12.68,10.24,15.04,16.22,10.69,13.82
2087,9.42,12.92,11.12,11.63,6.86,12.09,12.84,13.03,6.25,12.32,12.86,10.05,15.47,16.70,10.60,13.95
2088,9.41,12.48,11.31,11.36,7.15,12.26,12.92,13.13,6.49,12.47,12.93,10.22,15.01,16.21,10.77,14.07
2089,9.29,12.38,11.21,11.29,7.03,12.12,12.80,13.12,6.22,12.41,12.99,10.10,14.87,16.07,10.68,13.98
2090,9.32,12.62,11.04,11.32,7.13,12.04,12.76,12.88,6.31,12.24,12.74,10.06,15.25,16.54,10.47,13.92
2091,9.34,12.72,11.10,11.34,7.00,11.95,12.60,12.89,6.32,12.20,12.58,10.19,15.32,16.53,10.73,13.75
2092,9.18,12.44,11.04,11.35,6.76,11.99,12.72,12.97,6.12,12.20,12.75,9.99,15.04,16.24,10.55,13.83
2093,9.27,12.38,11.20,11.22,6.85,12.19,12.88,13.17,6.25,12.49,12.97,10.03,15.02,16.21,10.58,14.07
2094,9.28,12.60,11.04,11.30,6.97,12.01,12.74,12.93,6.30,12.30,12.71,9.96,15.26,16.48,10.47,13.87
2095,9.29,12.46,11.00,11.21,7.09,11.99,12.70,13.02,6.40,12.32,12.75,10.10,15.12,16.30,10.52,13.84
2096,9.27,12.51,11.28,11.16,6.94,12.08,12.61,13.00,6.13,12.32,12.81,10.20,15.07,16.33,10.80,13.95
2097,9.21,12.36,11.11,11.33,6.86,12.01,12.90,12.97,6.10,12.24,12.85,9.89,14.85,16.08,10.48,13.99
2098,9.36,12.48,11.36,11.28,7.06,12.31,12.87,13.16,6.24,12.50,12.95,10.36,15.09,16.33,10.86,14.17
2099,9.18,12.51,10.90,11.29,6.80,11.84,12.72,12.82,6.07,12.15,12.63,9.93,15.11,16.37,10.46,13.88
2100,9.25,12.67,10.99,11.43,6.75,11.88,12.68,12.69,6.20,12.07,12.55,9.92,15.41,16.56,10.39,13.85
