Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2040,5.97,6.13,9.43,8.03,5.80,9.98,12.28,7.18,6.30,7.92,5.84,6.20,5.74
2041,5.97,6.17,9.43,8.13,5.79,10.10,12.16,7.25,6.26,7.81,5.83,6.25,5.74
2042,5.91,6.06,9.38,7.89,5.72,9.84,12.09,7.06,6.23,7.83,5.76,6.08,5.65
2043,6.40,6.48,9.76,8.48,6.21,10.41,12.52,7.56,6.75,8.41,6.25,6.66,6.14
2044,6.12,6.28,9.59,8.19,5.95,10.14,12.32,7.32,6.46,8.02,5.99,6.36,5.89
2045,6.08,6.30,9.54,8.23,5.90,10.21,12.39,7.39,6.34,7.87,5.93,6.33,5.85
2046,6.26,6.47,9.71,8.25,6.06,10.20,12.36,7.47,6.53,8.13,6.09,6.42,6.01
2047,5.78,6.00,9.38,8.05,5.57,10.01,12.18,7.09,6.05,7.63,5.61,6.13,5.52
2048,6.23,6.37,9.66,8.26,6.04,10.20,12.40,7.41,6.55,8.15,6.08,6.44,5.98
2049,6.31,6.44,9.75,8.35,6.10,10.28,12.48,7.48,6.61,8.24,6.14,6.53,6.04
2050,6.30,6.43,9.71,8.32,6.11,10.30,12.49,7.48,6.61,8.15,6.15,6.47,6.05
2051,6.30,6.44,9.71,8.35,6.11,10.27,12.43,7.48,6.63,8.29,6.15,6.54,6.05
2052,6.48,6.59,9.88,8.52,6.30,10.43,12.62,7.63,6.83,8.44,6.35,6.72,6.24
2053,6.39,6.55,9.75,8.33,6.19,10.27,12.42,7.56,6.68,8.26,6.23,6.53,6.14
2054,6.17,6.34,9.67,8.21,5.98,10.19,12.37,7.37,6.49,8.12,6.01,6.35,5.92
2055,6.35,6.59,9.75,8.27,6.16,10.16,12.36,7.53,6.60,8.14,6.19,6.49,6.12
2056,6.17,6.33,9.66,8.30,5.98,10.31,12.41,7.41,6.49,8.13,6.01,6.41,5.92
2057,6.26,6.36,9.68,8.34,6.12,10.29,12.48,7.43,6.65,8.14,6.17,6.53,6.05
2058,6.22,6.38,9.71,8.37,6.03,10.32,12.48,7.45,6.55,8.19,6.07,6.51,5.97
2059,6.32,6.50,9.77,8.49,6.12,10.42,12.58,7.58,6.60,8.18,6.16,6.62,6.07
2060,6.42,6.62,9.94,8.44,6.22,10.39,12.67,7.62,6.71,8.34,6.25,6.60,6.17
2061,6.42,6.65,9.92,8.56,6.24,10.51,12.72,7.70,6.71,8.29,6.28,6.69,6.20
2062,6.43,6.61,9.78,8.44,6.26,10.37,12.48,7.64,6.74,8.35,6.30,6.63,6.21
2063,6.40,6.56,9.89,8.45,6.21,10.41,12.67,7.60,6.72,8.35,6.25,6.60,6.15
2064,6.34,6.40,9.68,8.39,6.13,10.31,12.47,7.47,6.67,8.35,6.17,6.58,6.06
2065,6.05,6.25,9.58,8.20,5.82,10.12,12.29,7.28,6.30,7.97,5.85,6.34,5.77
2066,6.31,6.51,9.79,8.38,6.11,10.33,12.53,7.54,6.60,8.24,6.15,6.53,6.06
2067,6.38,6.56,9.89,8.55,6.18,10.48,12.64,7.62,6.68,8.26,6.22,6.69,6.13
2068,6.50,6.68,9.99,8.57,6.32,10.55,12.79,7.73,6.81,8.38,6.36,6.71,6.27
2069,6.87,7.00,10.25,8.93,6.69,10.88,13.06,8.07,7.20,8.80,6.73,7.10,6.63
2070,6.41,6.58,9.91,8.53,6.20,10.49,12.68,7.64,6.71,8.35,6.24,6.66,6.15
2071,6.27,6.41,9.70,8.38,6.06,10.41,12.58,7.52,6.56,8.23,6.10,6.47,6.01
2072,6.30,6.44,9.73,8.38,6.12,10.36,12.45,7.51,6.64,8.24,6.16,6.52,6.06
2073,6.16,6.26,9.57,8.20,6.01,10.14,12.32,7.31,6.54,8.04,6.06,6.41,5.94
2074,6.04,6.17,9.40,8.02,5.84,9.98,12.10,7.21,6.34,7.93,5.88,6.20,5.78
2075,6.54,6.68,10.02,8.72,6.36,10.66,12.82,7.77,6.89,8.53,6.40,6.86,6.30
2076,6.40,6.60,9.88,8.53,6.21,10.47,12.65,7.66,6.68,8.31,6.24,6.67,6.16
2077,6.31,6.46,9.84,8.40,6.14,10.33,12.53,7.48,6.67,8.30,6.18,6.58,6.07
2078,6.38,6.49,9.73,8.49,6.20,10.48,12.58,7.61,6.70,8.28,6.23,6.61,6.14
2079,6.43,6.60,9.87,8.47,6.24,10.40,12.57,7.63,6.73,8.34,6.28,6.65,6.18
2080,6.34,6.51,9.87,8.47,6.12,10.38,12.56,7.54,6.62,8.25,6.16,6.63,6.07
2081,6.23,6.35,9.69,8.28,6.03,10.18,12.42,7.37,6.57,8.24,6.08,6.48,5.97
2082,6.32,6.51,9.83,8.47,6.11,10.42,12.59,7.57,6.59,8.21,6.15,6.60,6.06
2083,6.23,6.42,9.76,8.40,6.06,10.35,12.51,7.48,6.55,8.12,6.10,6.53,6.00
2084,6.33,6.48,9.70,8.35,6.13,10.31,12.46,7.53,6.61,8.22,6.16,6.51,6.08
2085,6.44,6.55,9.90,8.75,6.22,10.66,12.75,7.70,6.75,8.44,6.26,6.85,6.16
2086,6.66,6.83,10.25,8.74,6.45,10.67,12.91,7.83,6.97,8.64,6.49,6.90,6.38
2087,6.22,6.39,9.57,8.26,6.02,10.15,12.29,7.42,6.49,8.12,6.05,6.45,5.97
2088,6.25,6.42,9.71,8.36,6.07,10.31,12.47,7.47,6.56,8.13,6.11,6.51,6.01
2089,6.51,6.69,9.98,8.47,6.34,10.40,12.67,7.67,6.83,8.41,6.37,6.69,6.28
2090,6.74,6.83,10.08,8.82,6.53,10.74,12.85,7.91,7.06,8.77,6.57,6.99,6.47
2091,6.34,6.55,9.79,8.41,6.15,10.33,12.53,7.57,6.61,8.17,6.18,6.58,6.10
2092,6.37,6.57,9.81,8.43,6.19,10.37,12.55,7.60,6.67,8.28,6.23,6.60,6.14
2093,6.40,6.54,9.97,8.58,6.20,10.53,12.75,7.61,6.75,8.45,6.24,6.71,6.13
2094,6.33,6.51,9.90,8.56,6.15,10.47,12.66,7.58,6.66,8.26,6.19,6.70,6.09
2095,6.31,6.42,9.69,8.39,6.11,10.32,12.46,7.49,6.63,8.30,6.15,6.56,6.05
2096,6.25,6.40,9.66,8.33,6.04,10.26,12.43,7.45,6.54,8.21,6.08,6.49,5.99
2097,6.20,6.41,9.75,8.22,5.99,10.24,12.47,7.43,6.45,7.96,6.03,6.34,5.94
2098,6.61,6.71,9.92,8.61,6.46,10.58,12.69,7.78,6.98,8.51,6.50,6.79,6.39
2099,6.38,6.62,9.95,8.54,6.18,10.45,12.64,7.63,6.65,8.18,6.22,6.69,6.13
2100,6.29,6.44,9.69,8.40,6.10,10.34,12.45,7.52,6.62,8.30,6.14,6.55,6.05
