Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2069,27.61,28.06,28.06,28.06,28.06,28.06,28.06,28.06
2070,27.67,28.08,28.08,28.08,28.08,28.08,28.08,28.08
2071,27.58,27.96,27.96,27.96,27.96,27.96,27.96,27.96
2072,27.51,27.94,27.94,27.94,27.94,27.94,27.94,27.94
2073,27.71,28.15,28.15,28.15,28.15,28.15,28.15,28.15
2074,27.62,28.07,28.07,28.07,28.07,28.07,28.07,28.07
2075,27.76,28.14,28.14,28.14,28.14,28.14,28.14,28.14
2076,27.77,28.20,28.20,28.20,28.20,28.20,28.20,28.20
2077,27.85,28.25,28.25,28.25,28.25,28.25,28.25,28.25
2078,27.74,28.21,28.21,28.21,28.21,28.21,28.21,28.21
2079,27.68,28.10,28.10,28.10,28.10,28.10,28.10,28.10
2080,27.67,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2081,27.75,28.19,28.19,28.19,28.19,28.19,28.19,28.19
2082,27.73,28.16,28.16,28.16,28.16,28.16,28.16,28.16
2083,27.75,28.16,28.16,28.16,28.16,28.16,28.16,28.16
2084,27.91,28.26,28.26,28.26,28.26,28.26,28.26,28.26
2085,27.90,28.35,28.35,28.35,28.35,28.35,28.35,28.35
2086,27.96,28.35,28.35,28.35,28.35,28.35,28.35,28.35
2087,27.93,28.35,28.35,28.35,28.35,28.35,28.35,28.35
2088,27.70,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2089,27.95,28.37,28.37,28.37,28.37,28.37,28.37,28.37
2090,27.98,28.41,28.41,28.41,28.41,28.41,28.41,28.41
2091,27.86,28.32,28.32,28.32,28.32,28.32,28.32,28.32
2092,27.88,28.30,28.30,28.30,28.30,28.30,28.30,28.30
2093,27.85,28.25,28.25,28.25,28.25,28.25,28.25,28.25
2094,27.91,28.35,28.35,28.35,28.35,28.35,28.35,28.35
2095,28.07,28.47,28.47,28.47,28.47,28.47,28.47,28.47
2096,27.89,28.33,28.33,28.33,28.33,28.33,28.33,28.33
2097,27.89,28.29,28.29,28.29,28.29,28.29,28.29,28.29
2098,27.90,28.24,28.24,28.24,28.24,28.24,28.24,28.24
2099,27.95,28.37,28.37,28.37,28.37,28.37,28.37,28.37
2100,27.95,28.40,28.40,28.40,28.40,28.40,28.40,28.40
