Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2064,22.72,11.62,25.60,18.23,25.61,14.97,24.08,20.06,11.33,14.70,22.99
2065,22.50,11.42,25.20,17.97,25.27,14.81,23.84,19.83,11.51,14.80,22.85
2066,22.44,11.19,25.16,17.91,25.20,14.46,23.66,19.91,11.29,14.54,22.84
2067,22.75,11.65,25.41,18.08,25.77,14.96,24.06,20.17,11.61,14.87,23.00
2068,22.84,11.49,25.28,18.09,25.60,14.84,24.41,20.18,11.48,14.85,23.12
2069,22.55,11.52,25.28,18.00,25.22,15.05,24.01,19.91,11.31,14.62,22.89
2070,22.76,11.78,25.42,18.27,25.79,15.10,24.30,19.95,11.25,14.67,22.90
2071,22.66,11.30,25.37,18.04,25.55,14.86,24.32,19.76,11.41,14.66,22.83
2072,22.38,11.20,25.21,17.86,25.28,14.78,23.77,19.82,11.24,14.41,22.59
2073,22.51,11.11,25.21,17.94,25.25,14.60,24.20,19.72,11.26,14.53,22.72
2074,22.70,11.25,25.49,17.95,25.62,14.69,24.20,19.95,11.47,14.71,22.97
2075,22.57,11.34,25.35,18.00,25.48,14.78,23.96,19.93,11.49,14.64,22.81
2076,22.84,11.75,25.16,18.30,25.71,14.97,24.31,20.11,11.34,14.66,23.13
2077,22.59,11.25,25.24,17.89,25.43,14.73,23.99,19.75,11.30,14.52,23.00
2078,22.76,11.52,25.43,18.22,25.73,14.85,24.31,19.96,11.16,14.53,22.96
2079,22.68,11.74,25.17,18.26,25.56,14.94,24.01,20.09,11.53,14.81,22.93
2080,22.77,11.93,25.37,18.45,25.58,15.27,24.05,20.26,11.49,14.90,23.02
2081,22.75,11.59,25.17,18.17,25.63,14.82,24.14,20.10,11.43,14.82,23.06
2082,22.73,11.42,25.34,18.03,25.71,14.88,24.12,19.91,11.21,14.43,23.07
2083,22.66,11.45,25.43,18.13,25.54,14.93,24.33,19.72,11.02,14.26,22.87
2084,22.59,11.50,25.31,18.01,25.42,14.82,24.11,19.96,11.24,14.64,22.82
2085,22.46,11.21,25.34,17.89,25.30,14.63,23.90,19.79,11.20,14.38,22.76
2086,22.44,11.39,25.21,18.07,25.26,14.94,23.67,19.91,11.37,14.71,22.77
2087,22.80,11.32,25.15,18.18,25.75,14.76,24.39,20.00,11.26,14.49,23.01
2088,22.64,11.16,25.46,17.80,25.57,14.65,23.98,19.94,11.32,14.53,23.03
2089,22.43,11.40,25.10,18.08,25.20,14.62,23.58,19.97,11.32,14.68,22.81
2090,22.89,11.24,25.08,18.25,25.79,14.72,24.20,20.21,11.29,14.69,23.27
2091,22.58,11.60,25.33,18.26,25.20,14.95,23.94,20.01,11.35,14.71,22.95
2092,22.53,11.43,25.41,17.97,25.49,14.81,23.82,19.83,11.43,14.64,22.84
2093,22.34,10.94,25.31,17.59,25.32,14.52,23.64,19.71,11.26,14.32,22.71
2094,22.53,11.44,25.22,17.89,25.38,14.85,23.89,19.94,11.27,14.66,22.84
2095,22.66,11.26,25.24,18.12,25.62,14.88,24.07,20.03,11.33,14.53,22.90
2096,22.49,11.47,25.08,17.92,25.36,14.76,23.81,19.98,11.40,14.73,22.77
2097,22.44,11.36,25.22,17.89,25.36,14.71,23.92,19.74,11.36,14.54,22.66
2098,22.39,11.05,25.27,17.82,25.26,14.54,23.62,19.73,11.24,14.45,22.80
2099,22.50,11.33,25.19,18.05,25.29,14.77,24.00,19.89,10.95,14.35,22.73
2100,23.10,11.98,25.37,18.62,26.00,15.29,24.74,20.43,11.21,14.82,23.19
