Variable:,tasmax
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
2068,37.89,37.56,38.70,37.96,37.64,38.24,38.97,38.51,38.04
2069,37.74,37.53,38.36,37.84,37.18,38.17,38.70,38.36,37.60
2070,37.97,37.71,38.69,37.84,37.48,38.32,38.99,38.51,38.04
2071,38.05,37.71,38.76,38.17,37.83,38.49,39.23,38.71,38.21
2072,37.99,37.68,38.81,37.95,37.67,38.22,39.04,38.55,38.14
2073,38.18,37.92,38.93,38.04,37.64,38.37,39.23,38.71,38.17
2074,37.83,37.56,38.43,37.88,37.54,38.17,38.95,38.51,37.93
2075,38.13,37.83,38.86,38.18,37.79,38.41,39.18,38.77,38.26
2076,37.98,37.71,38.75,37.92,37.57,38.19,39.00,38.47,38.09
2077,38.17,37.86,38.95,38.21,37.87,38.52,39.26,38.74,38.31
2078,38.24,37.95,38.91,38.18,37.93,38.55,39.34,38.92,38.33
2079,37.99,37.75,38.68,37.85,37.47,38.26,38.94,38.53,37.98
2080,38.19,37.97,38.88,38.12,37.54,38.55,39.05,38.73,38.09
2081,38.10,37.77,38.83,38.15,37.86,38.51,39.21,38.76,38.27
2082,38.19,37.84,38.99,38.02,37.85,38.46,39.35,38.86,38.40
2083,38.26,38.02,38.99,38.11,37.80,38.42,39.15,38.70,38.31
2084,38.08,37.86,38.68,37.97,37.47,38.39,39.16,38.70,37.94
2085,38.11,37.82,38.79,38.08,37.68,38.49,39.16,38.77,38.17
2086,38.19,37.93,38.92,38.12,37.65,38.42,39.13,38.73,38.19
2087,38.19,37.95,38.90,38.13,37.66,38.41,39.11,38.70,38.26
2088,38.11,37.88,38.72,37.98,37.68,38.32,39.16,38.63,38.16
2089,38.21,37.97,38.85,38.12,37.76,38.43,39.23,38.79,38.23
2090,38.29,38.01,39.05,38.16,37.75,38.51,39.30,38.84,38.40
2091,38.35,38.14,38.98,38.16,37.87,38.52,39.34,38.85,38.33
2092,38.33,38.02,38.94,38.64,38.13,39.00,39.52,39.14,38.46
2093,38.45,38.16,39.14,38.42,38.08,38.79,39.54,39.09,38.52
2094,38.49,38.19,39.19,38.47,38.05,38.81,39.59,39.16,38.56
2095,38.61,38.36,39.27,38.46,38.02,38.80,39.58,39.09,38.62
2096,38.33,38.05,39.07,38.29,37.87,38.75,39.38,38.93,38.41
2097,38.53,38.31,39.27,38.23,37.88,38.49,39.46,38.92,38.49
2098,38.29,38.02,38.98,38.23,37.90,38.55,39.34,38.90,38.35
2099,38.48,38.16,39.18,38.58,38.14,38.98,39.65,39.21,38.61
2100,38.31,38.06,39.00,38.14,37.78,38.48,39.30,38.91,38.30
