Variable:,tasmin
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2049,21.42,23.54,25.73,21.24,20.69,24.23,21.42,22.34,20.06
2050,21.36,23.43,25.72,21.19,20.66,24.11,21.37,22.27,19.88
2051,21.39,23.41,25.68,21.26,20.71,24.16,21.38,22.35,20.00
2052,21.50,23.52,25.76,21.32,20.80,24.23,21.48,22.40,20.14
2053,21.52,23.59,25.74,21.36,20.77,24.26,21.59,22.46,20.00
2054,21.45,23.57,25.84,21.27,20.71,24.28,21.43,22.46,20.04
2055,21.55,23.63,25.80,21.32,20.82,24.32,21.56,22.48,20.14
2056,21.60,23.64,25.88,21.43,20.91,24.38,21.57,22.51,20.21
2057,21.77,23.71,25.85,21.60,21.06,24.39,21.80,22.66,20.36
2058,21.68,23.74,25.90,21.50,20.99,24.43,21.63,22.60,20.22
2059,21.63,23.72,25.93,21.43,20.90,24.38,21.63,22.48,20.26
2060,21.69,23.76,25.99,21.52,20.96,24.46,21.70,22.62,20.28
2061,21.60,23.66,25.89,21.45,20.86,24.37,21.65,22.54,20.26
2062,21.61,23.69,25.91,21.44,20.88,24.37,21.58,22.53,20.19
2063,21.78,23.82,26.05,21.58,21.06,24.52,21.77,22.71,20.39
2064,21.74,23.84,26.08,21.57,21.00,24.55,21.76,22.68,20.31
2065,21.85,23.89,26.07,21.69,21.14,24.61,21.84,22.82,20.38
2066,21.87,23.81,25.88,21.70,21.17,24.50,21.87,22.76,20.45
2067,21.86,23.80,26.02,21.67,21.17,24.53,21.85,22.78,20.47
2068,21.89,23.85,26.03,21.74,21.21,24.58,21.82,22.86,20.57
2069,21.89,23.90,26.07,21.68,21.19,24.56,21.85,22.73,20.49
2070,21.90,23.93,26.10,21.75,21.20,24.60,21.91,22.85,20.52
2071,21.92,23.93,26.08,21.72,21.23,24.59,21.91,22.80,20.55
2072,22.02,23.91,26.08,21.80,21.33,24.61,21.98,22.86,20.65
2073,22.05,24.08,26.26,21.89,21.31,24.82,22.08,22.99,20.57
2074,21.86,23.92,26.19,21.65,21.17,24.66,21.76,22.79,20.51
2075,21.88,23.88,26.06,21.68,21.19,24.52,21.84,22.75,20.50
2076,22.07,24.03,26.16,21.87,21.36,24.72,22.09,22.97,20.58
2077,22.31,24.27,26.20,22.16,21.62,24.89,22.38,23.21,20.76
2078,22.10,24.18,26.40,21.89,21.38,24.87,22.08,22.98,20.58
2079,22.01,24.08,26.27,21.80,21.28,24.74,22.06,22.89,20.50
2080,22.13,24.03,26.32,21.93,21.47,24.74,22.07,22.91,20.82
2081,21.99,24.14,26.20,21.76,21.21,24.80,22.06,22.94,20.58
2082,22.04,24.15,26.22,21.85,21.27,24.80,22.13,23.02,20.59
2083,22.16,24.17,26.29,21.97,21.45,24.84,22.19,23.08,20.72
2084,22.15,24.11,26.33,21.90,21.41,24.85,22.16,23.03,20.67
2085,22.12,24.12,26.44,21.93,21.47,24.84,22.04,22.96,20.72
2086,22.22,24.15,26.30,22.02,21.51,24.83,22.21,23.12,20.92
2087,22.13,24.21,26.33,21.92,21.41,24.87,22.13,23.05,20.66
2088,22.11,24.16,26.33,21.95,21.39,24.84,22.12,23.10,20.73
2089,22.36,24.23,26.34,22.16,21.75,24.90,22.27,23.15,20.88
2090,22.23,24.20,26.39,22.01,21.53,24.88,22.26,23.09,20.78
2091,22.12,24.16,26.37,21.95,21.40,24.85,22.13,23.02,20.73
2092,22.17,24.15,26.43,21.94,21.50,24.87,22.09,23.02,20.76
2093,22.30,24.24,26.45,22.06,21.59,24.93,22.34,23.15,20.85
2094,22.20,24.21,26.29,22.02,21.51,24.88,22.17,23.10,20.77
2095,22.34,24.37,26.42,22.17,21.62,25.00,22.37,23.23,20.90
2096,22.27,24.23,26.38,22.14,21.59,24.93,22.30,23.19,20.74
2097,22.24,24.19,26.42,22.08,21.56,24.90,22.20,23.13,20.85
2098,22.27,24.22,26.43,22.13,21.59,24.96,22.23,23.18,20.81
2099,22.36,24.31,26.43,22.17,21.63,24.97,22.45,23.31,20.88
2100,22.50,24.31,26.45,22.32,21.85,25.05,22.44,23.37,21.01
