Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2041,21.92,23.83,19.37,24.06,17.15,26.19,27.75,20.75,4.85
2042,22.10,24.07,19.46,23.97,17.24,26.30,28.09,20.69,4.94
2043,22.03,23.87,19.40,24.06,17.28,26.38,27.87,20.78,4.93
2044,22.11,23.97,19.39,24.13,17.38,26.38,27.94,20.91,5.25
2045,22.05,23.88,19.50,23.97,17.38,26.29,27.86,20.76,5.21
2046,22.22,24.08,19.72,24.23,17.55,26.50,27.99,20.97,5.25
2047,22.18,24.02,19.55,24.23,17.43,26.46,28.06,20.91,5.20
2048,22.16,23.98,19.50,24.11,17.43,26.48,27.93,20.99,5.30
2049,22.20,24.01,19.69,24.21,17.53,26.50,28.04,21.00,5.35
2050,22.27,24.11,19.59,24.20,17.50,26.58,28.16,21.00,5.31
2051,22.27,24.08,19.57,24.29,17.39,26.67,28.18,20.99,5.24
2052,22.35,24.10,19.99,24.43,17.88,26.65,28.03,21.20,5.62
2053,22.02,23.94,19.47,23.87,17.22,26.25,27.83,20.59,5.17
2054,22.15,24.01,19.57,24.11,17.42,26.44,28.05,20.93,5.14
2055,22.21,24.04,19.66,24.31,17.53,26.53,28.05,21.09,5.23
2056,22.24,24.03,19.63,24.23,17.57,26.50,28.01,21.00,5.53
2057,22.51,24.34,19.99,24.58,17.87,26.86,28.20,21.32,5.52
2058,22.24,24.04,19.67,24.19,17.58,26.50,28.14,20.96,5.40
2059,22.41,24.28,19.77,24.36,17.61,26.70,28.25,21.07,5.41
2060,22.33,24.13,19.83,24.58,17.68,26.62,28.07,21.29,5.49
2061,22.27,24.05,19.72,24.35,17.65,26.60,28.07,21.14,5.42
2062,22.44,24.26,19.86,24.49,17.81,26.76,28.19,21.28,5.51
2063,22.22,24.03,19.76,24.37,17.58,26.53,27.98,21.09,5.38
2064,22.16,23.99,19.45,24.02,17.30,26.46,28.12,20.87,5.24
2065,22.39,24.21,19.78,24.43,17.60,26.77,28.21,21.12,5.45
2066,22.38,24.24,19.97,24.49,17.74,26.62,28.13,21.24,5.46
2067,22.18,23.94,19.74,24.41,17.68,26.51,27.96,21.17,5.33
2068,22.31,24.15,19.85,24.31,17.65,26.60,28.11,21.03,5.44
2069,22.29,24.09,19.71,24.37,17.64,26.60,28.05,21.19,5.61
2070,22.37,24.22,19.97,24.46,17.71,26.69,28.05,21.18,5.45
2071,22.36,24.17,19.86,24.40,17.69,26.68,28.19,21.21,5.39
2072,22.21,24.01,19.79,24.24,17.64,26.50,27.93,21.11,5.46
2073,22.19,23.94,19.60,24.23,17.62,26.45,27.96,21.09,5.61
2074,22.30,24.13,19.85,24.34,17.69,26.61,28.00,21.12,5.41
2075,22.28,24.10,19.82,24.31,17.74,26.52,28.02,21.13,5.46
2076,22.28,24.10,19.77,24.51,17.68,26.60,28.10,21.27,5.26
2077,22.23,24.02,19.62,24.31,17.50,26.55,28.10,21.09,5.34
2078,22.53,24.36,19.93,24.65,17.76,26.92,28.32,21.26,5.45
2079,22.43,24.32,19.85,24.42,17.70,26.66,28.28,21.17,5.50
2080,22.39,24.20,19.86,24.49,17.74,26.74,28.10,21.24,5.56
2081,22.27,24.13,19.70,24.36,17.57,26.54,28.03,21.11,5.39
2082,22.48,24.29,19.95,24.50,17.75,26.84,28.31,21.24,5.51
2083,22.42,24.24,19.97,24.59,17.86,26.72,28.14,21.34,5.56
2084,22.32,24.24,19.77,24.31,17.62,26.58,28.24,21.14,5.25
2085,22.30,24.13,19.75,24.41,17.62,26.61,28.13,21.15,5.42
2086,22.41,24.25,19.92,24.67,17.76,26.77,28.07,21.35,5.41
2087,22.39,24.20,19.96,24.55,17.86,26.72,28.06,21.31,5.46
2088,22.39,24.13,19.99,24.78,17.87,26.79,28.15,21.50,5.45
2089,22.22,24.08,19.69,24.26,17.52,26.51,27.98,21.02,5.26
2090,22.37,24.20,19.88,24.34,17.72,26.68,28.17,21.09,5.46
2091,22.32,24.11,19.84,24.43,17.72,26.69,28.07,21.23,5.40
2092,22.14,23.94,19.55,24.17,17.42,26.48,27.97,20.96,5.29
2093,22.32,24.17,19.76,24.32,17.66,26.59,28.19,21.10,5.29
2094,22.45,24.26,19.93,24.56,17.74,26.83,28.27,21.25,5.44
2095,22.06,23.93,19.51,24.20,17.35,26.35,27.93,20.90,5.06
2096,22.04,23.91,19.42,23.88,17.39,26.19,27.95,20.73,5.33
2097,22.32,24.21,19.74,24.32,17.55,26.64,28.14,21.05,5.19
2098,22.44,24.26,19.81,24.46,17.66,26.81,28.25,21.20,5.49
2099,22.31,24.12,19.74,24.54,17.58,26.68,28.02,21.21,5.43
2100,22.23,23.99,19.85,24.32,17.66,26.63,27.97,21.12,5.20
