Variable:,tas
,Grenada,"Name Unknown","St. Andrew's","St. George's","St. John's","St. Mark's","St. Patrick's","Carriacou and Petite Martinique"
2078,27.79,27.80,27.80,27.79,27.80,27.80,27.80,27.80
2079,27.73,27.74,27.74,27.73,27.74,27.74,27.74,27.74
2080,27.69,27.70,27.70,27.69,27.70,27.70,27.70,27.70
2081,27.85,27.86,27.86,27.85,27.86,27.86,27.86,27.86
2082,27.70,27.71,27.71,27.70,27.71,27.71,27.71,27.71
2083,27.68,27.69,27.69,27.68,27.69,27.69,27.69,27.69
2084,27.70,27.71,27.71,27.70,27.71,27.71,27.71,27.71
2085,27.59,27.60,27.60,27.59,27.60,27.60,27.60,27.60
2086,27.63,27.64,27.64,27.63,27.64,27.64,27.64,27.64
2087,27.67,27.68,27.68,27.67,27.68,27.68,27.68,27.68
2088,27.70,27.71,27.71,27.70,27.71,27.71,27.71,27.71
2089,27.58,27.59,27.59,27.58,27.59,27.59,27.59,27.59
2090,27.66,27.67,27.67,27.66,27.67,27.67,27.67,27.67
2091,27.76,27.77,27.77,27.76,27.77,27.77,27.77,27.77
2092,27.72,27.73,27.73,27.72,27.73,27.73,27.73,27.73
2093,27.73,27.74,27.74,27.73,27.74,27.74,27.74,27.74
2094,27.65,27.66,27.66,27.65,27.66,27.66,27.66,27.66
2095,27.68,27.69,27.69,27.68,27.69,27.69,27.69,27.69
2096,27.53,27.54,27.54,27.53,27.54,27.54,27.54,27.54
2097,27.72,27.73,27.73,27.72,27.73,27.73,27.73,27.73
2098,27.62,27.63,27.63,27.62,27.63,27.63,27.63,27.63
2099,27.69,27.70,27.70,27.69,27.70,27.70,27.70,27.70
2100,27.61,27.62,27.62,27.61,27.62,27.62,27.62,27.62
