Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2087,7.79,8.74,8.76,8.21,7.93,8.07,7.85,7.17
2088,8.38,9.18,9.09,8.72,8.55,8.71,8.43,7.92
2089,8.39,9.28,9.18,8.80,8.61,8.79,8.35,7.82
2090,8.17,9.10,9.11,8.53,8.35,8.52,8.23,7.52
2091,8.62,9.39,9.39,9.02,8.84,8.98,8.63,8.06
2092,8.19,9.18,8.99,8.67,8.38,8.59,8.06,7.66
2093,8.03,9.08,8.89,8.60,8.26,8.47,7.92,7.34
2094,7.45,8.14,8.10,7.81,7.67,7.83,7.41,6.99
2095,8.03,8.71,8.93,8.25,8.25,8.42,8.09,7.51
2096,8.16,9.23,8.93,8.70,8.36,8.56,8.14,7.52
2097,8.29,9.28,9.24,8.71,8.49,8.71,8.29,7.62
2098,8.49,9.22,9.35,8.82,8.74,8.92,8.51,7.94
2099,8.07,9.05,9.11,8.35,8.27,8.40,8.07,7.46
2100,8.04,8.91,8.68,8.43,8.15,8.28,7.95,7.60
