Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2075,7.03,13.50,7.75,4.50,8.86,7.72,5.18,13.41,4.82,6.58,11.47,9.46,9.21,9.72,5.16
2076,6.77,13.30,7.45,4.21,8.57,7.45,4.91,13.25,4.61,6.42,11.20,9.23,9.03,9.49,4.81
2077,6.61,13.09,7.25,4.11,8.41,7.36,4.73,12.97,4.46,6.21,11.03,9.02,8.83,9.36,4.68
2078,6.85,13.37,7.48,4.32,8.70,7.57,5.02,13.36,4.62,6.36,11.29,9.25,9.15,9.58,4.93
2079,6.56,13.10,7.23,4.04,8.31,7.15,4.69,13.13,4.38,6.11,10.94,9.03,8.76,9.22,4.66
2080,6.66,13.12,7.44,4.10,8.63,7.44,4.76,13.23,4.42,6.15,10.98,9.09,8.90,9.38,4.63
2081,6.73,13.15,7.35,4.24,8.47,7.39,4.79,13.14,4.60,6.38,11.09,9.10,8.94,9.31,4.84
2082,6.88,13.46,7.61,4.27,8.73,7.66,5.03,13.45,4.58,6.36,11.35,9.39,9.22,9.64,4.94
2083,6.65,13.10,7.30,4.16,8.50,7.27,4.81,13.12,4.54,6.25,10.96,9.01,8.78,9.32,4.70
2084,6.93,13.43,7.60,4.36,8.71,7.65,5.13,13.33,4.67,6.45,11.44,9.42,9.26,9.72,5.00
2085,6.72,13.17,7.47,4.15,8.59,7.51,4.84,13.15,4.44,6.20,11.16,9.20,9.07,9.52,4.75
2086,6.67,13.09,7.28,4.15,8.48,7.37,4.84,13.08,4.54,6.29,11.06,9.03,8.95,9.53,4.75
2087,6.68,13.09,7.28,4.17,8.49,7.35,4.81,13.13,4.56,6.21,11.10,9.05,8.92,9.37,4.76
2088,6.98,13.45,7.65,4.47,8.79,7.65,5.20,13.45,4.77,6.48,11.49,9.41,9.21,9.80,5.06
2089,6.83,13.22,7.58,4.30,8.72,7.50,4.92,13.21,4.60,6.32,11.26,9.27,9.09,9.50,4.95
2090,6.68,13.13,7.28,4.16,8.42,7.34,4.84,13.14,4.54,6.31,11.11,9.05,8.90,9.40,4.80
2091,6.76,13.39,7.48,4.16,8.59,7.52,4.78,13.42,4.62,6.37,11.22,9.22,9.02,9.43,4.77
2092,6.71,13.24,7.39,4.21,8.50,7.38,4.87,13.27,4.51,6.23,11.12,9.13,8.93,9.36,4.78
2093,6.86,13.43,7.65,4.25,8.76,7.59,4.95,13.45,4.57,6.33,11.33,9.41,9.16,9.65,4.88
2094,6.58,13.04,7.18,4.03,8.41,7.18,4.71,13.15,4.49,6.21,11.13,8.94,8.79,9.37,4.62
2095,6.58,13.04,7.26,4.04,8.39,7.27,4.63,13.10,4.44,6.27,10.96,9.02,8.80,9.29,4.66
2096,6.91,13.35,7.58,4.37,8.74,7.62,5.05,13.39,4.71,6.44,11.35,9.31,9.14,9.62,4.99
2097,6.87,13.34,7.46,4.36,8.64,7.55,4.99,13.33,4.73,6.44,11.36,9.26,9.14,9.57,4.94
2098,6.61,13.13,7.24,4.02,8.42,7.33,4.69,13.15,4.43,6.20,11.11,9.05,8.89,9.37,4.64
2099,6.50,13.02,7.20,3.92,8.42,7.23,4.52,13.05,4.32,6.07,10.88,8.95,8.72,9.20,4.49
2100,6.55,12.95,7.21,4.00,8.34,7.29,4.68,13.03,4.40,6.12,10.98,8.93,8.83,9.30,4.61
