Variable:,tasmax
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
2036,26.54,25.54,26.15,23.19,24.05,24.41,28.67,24.93,28.22,27.11
2037,26.86,25.98,26.58,23.34,24.30,24.63,28.84,25.20,28.58,27.54
2038,26.86,26.16,26.70,23.16,24.32,24.69,29.03,25.32,28.67,27.34
2039,26.67,25.83,26.30,23.14,24.24,24.61,28.92,25.20,28.19,27.14
2040,26.74,25.97,26.27,23.32,24.16,24.60,28.72,25.11,28.33,27.35
2041,26.66,25.82,26.45,23.33,24.16,24.60,28.65,25.06,28.31,27.21
2042,27.24,26.66,27.10,23.51,24.50,24.91,29.31,25.57,29.17,27.82
2043,27.11,26.36,26.81,23.37,24.53,24.96,29.23,25.53,28.95,27.64
2044,27.04,26.21,26.78,23.36,24.33,24.80,29.24,25.44,28.84,27.65
2045,26.85,25.91,26.59,23.34,24.36,24.76,28.96,25.31,28.64,27.37
2046,27.14,26.37,27.03,23.54,24.52,25.04,29.23,25.63,28.89,27.69
2047,27.31,26.63,27.32,23.46,24.62,25.13,29.64,25.82,29.28,27.76
2048,27.46,26.83,27.12,23.61,24.81,25.29,29.45,25.87,29.41,28.01
2049,27.29,26.45,27.03,23.71,24.69,24.99,29.42,25.65,29.05,27.89
2050,27.27,26.58,27.13,23.49,24.65,24.99,29.47,25.78,29.15,27.75
2051,27.17,26.32,26.92,23.58,24.59,25.08,29.44,25.75,28.86,27.65
2052,27.47,26.75,27.33,23.74,24.83,25.20,29.66,25.84,29.42,27.96
2053,27.37,26.61,27.27,23.66,24.74,25.27,29.38,25.94,29.13,27.92
2054,27.45,26.65,27.50,23.58,24.64,25.10,29.82,25.95,29.65,27.92
2055,27.41,26.68,27.33,23.72,24.77,25.30,29.52,25.89,29.26,27.89
2056,27.41,26.58,27.26,23.82,24.83,25.23,29.48,25.84,29.18,27.98
2057,27.61,26.90,27.42,23.79,24.90,25.38,29.60,26.09,29.43,28.26
2058,27.39,26.58,27.13,23.77,24.81,25.17,29.46,25.85,29.03,28.01
2059,27.60,26.93,27.40,23.79,24.88,25.27,29.90,26.09,29.44,28.12
2060,27.57,26.99,27.42,23.76,24.80,25.29,29.54,25.88,29.70,28.14
2061,27.66,27.06,27.56,23.84,25.00,25.41,29.83,26.10,29.58,28.15
2062,27.53,26.77,27.38,23.93,24.82,25.26,29.76,26.08,29.35,28.02
2063,27.74,27.02,27.63,23.93,25.13,25.58,29.94,26.23,29.58,28.22
2064,27.60,27.04,27.40,23.75,24.85,25.47,29.46,25.93,29.58,28.21
2065,27.52,26.81,27.31,23.71,24.78,25.29,29.67,25.96,29.42,28.07
2066,27.75,27.11,27.65,24.01,25.07,25.48,29.76,26.20,29.59,28.34
2067,27.62,27.09,27.55,23.91,24.93,25.47,29.65,26.05,29.49,28.15
2068,27.62,26.95,27.45,23.90,24.87,25.63,29.65,26.13,29.44,28.16
2069,27.88,27.29,27.50,24.05,25.27,25.58,29.78,26.22,29.54,28.58
2070,27.52,26.82,27.52,23.79,24.83,25.31,29.75,26.05,29.42,27.99
2071,27.76,27.05,27.67,24.00,25.06,25.50,29.75,26.19,29.60,28.37
2072,27.83,27.02,27.60,23.92,25.18,25.48,30.08,26.23,29.71,28.43
2073,28.42,27.85,28.47,24.23,25.52,25.90,30.68,26.97,30.50,28.99
2074,27.97,27.23,27.92,24.02,25.21,25.69,30.29,26.45,29.95,28.47
2075,27.79,27.12,27.44,24.10,25.19,25.69,29.75,26.27,29.41,28.41
2076,27.96,27.34,27.97,24.11,25.17,25.68,30.14,26.53,30.01,28.43
2077,28.07,27.57,28.02,24.01,25.18,25.61,30.06,26.49,30.18,28.70
2078,27.97,27.24,27.76,24.14,25.27,25.79,29.98,26.44,29.94,28.52
2079,27.96,27.22,27.94,24.13,25.09,25.61,30.04,26.40,29.95,28.62
2080,28.28,27.65,28.32,24.05,25.49,26.09,30.72,26.93,30.25,28.71
2081,28.07,27.40,27.80,24.10,25.33,25.77,30.15,26.46,29.97,28.68
2082,28.12,27.59,28.00,24.19,25.42,25.88,30.16,26.60,30.07,28.63
2083,28.16,27.61,28.34,24.14,25.38,25.89,30.38,26.73,30.27,28.62
2084,28.12,27.47,28.09,24.15,25.28,25.77,30.34,26.64,30.03,28.73
2085,28.15,27.63,28.48,24.02,25.22,25.93,30.56,26.73,30.36,28.55
2086,28.18,27.49,28.05,24.16,25.23,25.76,30.49,26.63,30.27,28.74
2087,28.18,27.39,27.94,24.29,25.47,25.67,30.27,26.50,30.11,28.84
2088,28.09,27.32,27.92,24.21,25.42,25.83,30.42,26.59,29.82,28.62
2089,28.23,27.73,28.42,24.11,25.34,25.93,30.51,26.75,30.49,28.68
2090,28.32,27.91,28.44,24.17,25.51,26.04,30.37,26.78,30.45,28.82
2091,28.35,27.91,28.27,24.31,25.52,25.88,30.39,26.83,30.40,28.94
2092,28.48,27.93,28.41,24.31,25.67,26.26,30.88,27.02,30.57,28.90
2093,28.05,27.29,28.03,24.22,25.24,25.83,30.47,26.63,29.93,28.54
2094,28.17,27.45,27.99,24.31,25.40,25.89,30.40,26.60,30.05,28.73
2095,28.31,27.77,28.44,24.28,25.44,25.92,30.72,26.91,30.38,28.73
2096,28.45,27.95,28.58,24.31,25.52,26.00,30.60,26.92,30.62,29.02
2097,28.36,27.77,28.38,24.32,25.52,26.03,30.59,26.82,30.35,28.89
2098,28.57,28.15,28.91,24.34,25.61,26.08,30.85,27.13,30.82,29.04
2099,28.27,27.62,28.12,24.28,25.48,26.03,30.58,26.83,30.25,28.76
2100,28.34,27.81,28.36,24.31,25.57,25.95,30.55,26.80,30.36,28.88
