Variable:,tasmin
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2035,15.91,5.12,23.74,11.44,18.58,9.50,17.38,13.32,7.73,9.39,16.11
2036,15.96,5.11,23.80,11.51,18.56,9.46,17.38,13.42,7.85,9.42,16.18
2037,15.98,5.21,23.58,11.53,18.61,9.68,17.44,13.37,7.66,9.27,16.23
2038,16.03,5.22,23.75,11.60,18.71,9.63,17.53,13.36,7.75,9.47,16.21
2039,16.05,5.40,23.75,11.70,18.65,9.76,17.50,13.45,7.89,9.61,16.25
2040,16.02,5.35,23.73,11.61,18.50,9.69,17.48,13.38,7.86,9.46,16.33
2041,16.03,5.32,23.77,11.67,18.58,9.79,17.46,13.46,7.82,9.50,16.29
2042,16.13,5.16,23.81,11.63,18.67,9.68,17.42,13.58,7.82,9.52,16.51
2043,16.10,5.38,23.82,11.73,18.69,9.80,17.56,13.47,7.97,9.58,16.34
2044,16.25,5.47,23.90,11.78,18.90,9.88,17.75,13.72,7.99,9.68,16.41
2045,16.09,5.49,23.90,11.71,18.65,9.79,17.52,13.45,8.03,9.58,16.35
2046,16.28,5.44,23.80,11.80,18.94,9.87,17.66,13.75,8.00,9.66,16.54
2047,16.32,5.59,23.87,11.87,18.90,9.97,17.72,13.80,8.07,9.82,16.57
2048,16.45,5.72,23.86,12.13,19.02,10.13,17.80,14.04,8.13,9.92,16.69
2049,16.32,5.59,23.99,11.99,18.86,10.02,17.79,13.75,8.13,9.76,16.54
2050,16.34,5.47,24.02,11.80,19.02,9.94,17.75,13.73,8.14,9.80,16.59
2051,16.39,5.68,23.96,11.96,19.09,9.96,17.82,13.75,8.18,9.79,16.62
2052,16.45,5.74,24.02,12.00,19.11,10.10,17.81,13.78,8.25,9.85,16.74
2053,16.47,5.77,24.09,12.05,19.07,10.15,17.80,13.93,8.26,9.90,16.76
2054,16.37,5.47,24.06,11.93,18.94,9.96,17.74,13.83,8.13,9.68,16.67
2055,16.46,5.64,24.08,12.00,19.11,10.04,17.93,13.74,8.16,9.78,16.70
2056,16.47,5.72,24.05,12.00,19.03,10.10,17.80,13.90,8.38,9.95,16.80
2057,16.56,5.67,24.26,12.17,19.12,10.13,18.00,13.92,8.13,9.80,16.84
2058,16.62,5.76,24.13,12.11,19.35,10.14,18.14,13.95,8.09,9.83,16.80
2059,16.60,5.85,24.16,12.22,19.24,10.21,18.07,13.95,8.31,9.89,16.83
2060,16.74,5.83,24.19,12.28,19.49,10.24,18.24,14.02,8.28,9.97,16.93
2061,16.67,5.76,24.28,12.21,19.43,10.23,18.17,13.98,8.22,9.92,16.84
2062,16.51,5.83,23.98,12.15,19.07,10.19,17.89,14.03,8.32,10.10,16.75
2063,16.81,5.89,24.39,12.39,19.49,10.23,18.32,14.23,8.37,10.07,16.96
2064,16.77,6.08,24.38,12.32,19.47,10.38,18.24,14.08,8.31,9.99,16.98
2065,16.58,5.85,24.21,12.18,19.10,10.11,18.05,13.91,8.23,9.93,16.86
2066,16.76,5.87,24.42,12.30,19.40,10.25,18.21,14.10,8.34,10.11,17.00
2067,16.95,6.04,24.28,12.52,19.66,10.48,18.45,14.35,8.47,10.26,17.10
2068,16.82,5.98,24.37,12.37,19.48,10.30,18.29,14.24,8.46,10.20,17.00
2069,16.88,5.79,24.35,12.32,19.59,10.38,18.32,14.26,8.38,10.06,17.14
2070,16.68,5.88,24.27,12.25,19.31,10.21,17.97,14.08,8.45,10.21,17.01
2071,16.78,5.91,24.41,12.29,19.35,10.33,18.18,14.21,8.46,10.00,17.08
2072,16.90,5.96,24.54,12.40,19.55,10.36,18.32,14.24,8.39,10.20,17.18
2073,16.96,6.18,24.37,12.55,19.60,10.57,18.42,14.28,8.49,10.18,17.21
2074,16.93,6.12,24.44,12.41,19.72,10.47,18.34,14.33,8.62,10.30,17.12
2075,16.89,5.99,24.46,12.45,19.60,10.46,18.27,14.27,8.61,10.21,17.14
2076,16.85,6.23,24.33,12.47,19.32,10.52,18.21,14.33,8.53,10.26,17.18
2077,16.87,6.10,24.40,12.50,19.49,10.47,18.35,14.23,8.53,10.25,17.05
2078,16.94,6.08,24.45,12.51,19.54,10.45,18.46,14.22,8.34,10.10,17.19
2079,17.00,6.16,24.37,12.60,19.60,10.55,18.37,14.42,8.57,10.43,17.27
2080,16.99,6.14,24.61,12.53,19.59,10.55,18.45,14.25,8.61,10.38,17.29
2081,17.18,6.30,24.52,12.74,19.88,10.64,18.66,14.48,8.67,10.41,17.38
2082,17.11,6.19,24.54,12.64,19.86,10.48,18.45,14.43,8.56,10.34,17.39
2083,17.02,6.18,24.61,12.58,19.67,10.54,18.35,14.41,8.66,10.32,17.32
2084,17.06,6.08,24.66,12.49,19.81,10.48,18.53,14.23,8.72,10.29,17.33
2085,17.13,6.10,24.68,12.69,19.79,10.69,18.62,14.52,8.70,10.41,17.33
2086,17.13,6.20,24.61,12.60,19.75,10.76,18.51,14.55,8.59,10.38,17.45
2087,17.01,5.98,24.58,12.57,19.61,10.49,18.53,14.36,8.55,10.27,17.25
2088,17.08,6.24,24.55,12.51,19.81,10.59,18.55,14.38,8.59,10.26,17.33
2089,17.06,6.24,24.54,12.56,19.82,10.67,18.39,14.33,8.52,10.28,17.38
2090,17.31,6.58,24.64,12.84,19.95,10.93,18.63,14.70,8.67,10.54,17.64
2091,17.11,6.28,24.63,12.69,19.79,10.74,18.58,14.37,8.54,10.20,17.34
2092,17.12,6.15,24.64,12.66,19.83,10.62,18.65,14.48,8.48,10.28,17.30
2093,17.30,6.38,24.57,12.87,20.03,10.64,18.83,14.64,8.68,10.46,17.46
2094,17.12,6.25,24.59,12.70,19.84,10.48,18.59,14.49,8.64,10.35,17.30
2095,17.18,6.30,24.62,12.68,19.89,10.63,18.54,14.59,8.56,10.38,17.46
2096,17.23,6.20,24.58,12.58,19.98,10.65,18.67,14.58,8.68,10.34,17.49
2097,17.23,6.34,24.57,12.75,19.88,10.73,18.60,14.65,8.76,10.45,17.54
2098,17.23,6.41,24.56,12.78,19.85,10.57,18.65,14.57,8.65,10.36,17.53
2099,17.13,6.21,24.71,12.57,19.80,10.54,18.58,14.43,8.72,10.40,17.44
2100,17.36,6.41,24.74,12.93,20.07,10.87,18.74,14.74,8.96,10.63,17.62
