Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2047,4.35,5.04,5.12,4.73,4.65,4.94,4.32,3.80
2048,4.88,5.34,5.56,4.96,5.05,5.25,4.99,4.53
2049,4.87,5.46,5.59,5.09,5.10,5.29,4.94,4.38
2050,4.12,4.96,4.81,4.51,4.37,4.60,4.03,3.64
2051,4.47,5.16,5.22,4.83,4.71,4.91,4.43,3.99
2052,4.65,5.40,5.37,4.94,4.92,5.12,4.57,4.23
2053,4.90,5.48,5.56,5.18,5.15,5.32,4.92,4.48
2054,4.88,5.39,5.48,5.13,5.05,5.26,4.87,4.52
2055,4.68,5.36,5.33,5.04,4.91,5.10,4.63,4.23
2056,4.62,5.22,5.23,4.94,4.84,5.02,4.61,4.20
2057,4.66,5.26,5.38,4.88,4.89,5.05,4.64,4.23
2058,4.87,5.56,5.55,5.23,5.14,5.35,4.82,4.40
2059,4.55,5.12,5.23,4.77,4.76,4.97,4.54,4.14
2060,5.00,5.71,5.61,5.42,5.30,5.51,4.93,4.52
2061,4.75,5.21,5.43,4.94,4.94,5.09,4.74,4.39
2062,4.67,5.38,5.33,4.94,4.90,5.10,4.65,4.22
2063,4.56,5.20,5.19,4.89,4.78,5.00,4.48,4.16
2064,4.89,5.56,5.67,5.09,5.12,5.33,4.94,4.41
2065,4.88,5.41,5.46,5.04,5.07,5.21,4.93,4.52
2066,4.90,5.55,5.46,5.18,5.14,5.34,4.87,4.52
2067,4.58,5.26,5.13,4.90,4.82,4.97,4.50,4.20
2068,5.01,5.58,5.53,5.36,5.29,5.48,4.89,4.68
2069,5.37,6.03,6.02,5.64,5.55,5.66,5.28,5.01
2070,4.81,5.51,5.53,5.05,5.00,5.18,4.82,4.35
2071,4.62,5.28,5.31,4.87,4.84,5.06,4.58,4.24
2072,4.94,5.53,5.64,5.15,5.15,5.43,5.00,4.51
2073,4.89,5.36,5.38,5.12,5.09,5.18,4.83,4.62
2074,4.86,5.44,5.53,5.07,5.02,5.22,4.88,4.49
2075,5.36,5.90,5.87,5.67,5.63,5.81,5.27,5.06
2076,5.14,5.76,5.75,5.48,5.39,5.60,5.02,4.79
2077,4.66,5.44,5.40,4.93,4.88,5.07,4.59,4.24
2078,4.80,5.46,5.44,5.10,5.02,5.18,4.70,4.43
2079,4.53,5.27,5.23,4.93,4.79,5.06,4.40,4.08
2080,4.67,5.40,5.38,4.96,4.95,5.11,4.59,4.25
2081,4.42,5.06,5.13,4.74,4.66,4.87,4.40,3.97
2082,4.47,5.20,5.07,4.80,4.65,4.81,4.43,4.09
2083,4.51,5.26,5.31,4.93,4.72,4.93,4.35,4.04
2084,4.79,5.53,5.48,5.13,5.03,5.20,4.83,4.30
2085,4.93,5.54,5.71,5.11,5.19,5.41,5.05,4.43
2086,4.87,5.51,5.61,5.10,5.08,5.27,4.76,4.51
2087,4.76,5.45,5.34,5.10,4.99,5.14,4.65,4.41
2088,4.61,5.29,5.36,4.95,4.72,4.89,4.64,4.15
2089,4.58,5.32,5.31,4.94,4.84,5.15,4.52,4.10
2090,5.01,5.71,5.70,5.27,5.18,5.33,4.96,4.63
2091,4.57,5.31,5.32,4.79,4.74,4.86,4.51,4.18
2092,4.70,5.50,5.43,5.11,4.92,5.08,4.61,4.22
2093,4.68,5.25,5.31,4.90,4.85,5.02,4.61,4.36
2094,4.90,5.62,5.57,5.16,5.13,5.27,4.78,4.51
2095,4.92,5.35,5.56,4.95,5.05,5.25,5.00,4.64
2096,4.88,5.61,5.54,5.23,5.13,5.36,4.80,4.45
2097,5.06,5.70,5.75,5.40,5.35,5.61,4.94,4.65
2098,5.18,5.75,5.73,5.38,5.42,5.58,5.09,4.90
2099,5.37,6.02,6.08,5.74,5.63,5.83,5.30,4.92
2100,4.65,5.22,5.34,4.90,4.82,4.96,4.64,4.28
