Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2047,22.07,27.06,26.48,17.04,15.56,15.29,9.48,9.47,25.32,18.36
2048,22.19,27.34,26.70,17.02,15.56,15.35,9.49,9.46,25.45,18.38
2049,22.25,27.28,26.69,17.23,15.70,15.52,9.68,9.68,25.45,18.50
2050,22.34,27.37,26.84,17.23,15.83,15.59,9.63,9.65,25.56,18.46
2051,22.27,27.36,26.80,17.07,15.68,15.52,9.74,9.68,25.47,18.40
2052,22.10,27.09,26.58,17.07,15.56,15.38,9.60,9.59,25.26,18.39
2053,22.16,27.24,26.67,17.11,15.64,15.42,9.55,9.59,25.33,18.38
2054,22.02,27.03,26.50,16.92,15.50,15.32,9.49,9.50,25.19,18.25
2055,22.00,27.02,26.44,17.06,15.64,15.35,9.52,9.52,25.14,18.31
2056,22.22,27.29,26.70,17.19,15.65,15.46,9.66,9.61,25.42,18.50
2057,22.22,27.21,26.70,17.14,15.68,15.42,9.60,9.51,25.48,18.42
2058,22.21,27.23,26.67,17.14,15.72,15.50,9.62,9.63,25.42,18.37
2059,22.27,27.36,26.71,17.13,15.68,15.53,9.66,9.59,25.50,18.40
2060,22.28,27.36,26.76,17.13,15.75,15.52,9.68,9.62,25.50,18.35
2061,22.10,27.13,26.59,17.00,15.63,15.47,9.58,9.51,25.24,18.26
2062,22.24,27.37,26.77,17.03,15.63,15.42,9.65,9.58,25.46,18.31
2063,22.17,27.24,26.72,16.90,15.45,15.26,9.33,9.35,25.47,18.30
2064,22.29,27.40,26.82,17.17,15.73,15.49,9.70,9.65,25.47,18.43
2065,22.23,27.11,26.70,17.11,15.62,15.39,9.56,9.50,25.53,18.49
2066,22.31,27.31,26.76,17.25,15.79,15.61,9.77,9.73,25.51,18.49
2067,22.38,27.38,26.84,17.28,15.84,15.59,9.78,9.81,25.59,18.46
2068,22.18,27.32,26.72,17.07,15.61,15.41,9.58,9.55,25.35,18.26
2069,22.13,27.24,26.65,17.08,15.63,15.44,9.60,9.54,25.24,18.29
2070,22.32,27.47,26.85,17.23,15.69,15.51,9.66,9.62,25.52,18.50
2071,22.31,27.38,26.81,17.17,15.66,15.45,9.70,9.72,25.56,18.52
2072,22.28,27.25,26.73,17.18,15.67,15.47,9.69,9.70,25.54,18.51
2073,22.53,27.45,27.07,17.33,15.86,15.61,9.81,9.75,25.85,18.65
2074,22.33,27.29,26.80,17.18,15.80,15.54,9.80,9.76,25.54,18.43
2075,22.21,27.17,26.65,17.12,15.61,15.45,9.49,9.48,25.53,18.45
2076,22.32,27.41,26.82,17.22,15.66,15.47,9.57,9.53,25.61,18.47
2077,22.32,27.57,26.88,17.13,15.76,15.55,9.69,9.69,25.46,18.32
2078,22.32,27.35,26.77,17.18,15.73,15.56,9.65,9.69,25.58,18.42
2079,22.35,27.27,26.77,17.26,15.83,15.63,9.79,9.77,25.63,18.54
2080,22.30,27.21,26.70,17.19,15.61,15.40,9.64,9.64,25.66,18.56
2081,22.33,27.34,26.79,17.19,15.71,15.51,9.69,9.71,25.63,18.52
2082,22.50,27.57,27.01,17.40,15.94,15.72,9.90,9.85,25.72,18.58
2083,22.26,27.25,26.75,17.07,15.66,15.46,9.65,9.66,25.51,18.35
2084,22.21,27.29,26.72,17.02,15.59,15.40,9.59,9.59,25.45,18.33
2085,22.25,27.20,26.64,17.24,15.71,15.50,9.70,9.68,25.49,18.52
2086,22.44,27.34,26.92,17.23,15.73,15.55,9.72,9.68,25.79,18.54
2087,22.07,27.10,26.56,17.00,15.61,15.35,9.57,9.64,25.22,18.27
2088,22.20,27.08,26.68,17.02,15.61,15.44,9.64,9.63,25.45,18.30
2089,22.09,27.07,26.56,17.12,15.53,15.29,9.43,9.43,25.35,18.40
2090,22.14,27.06,26.59,17.06,15.58,15.34,9.51,9.53,25.41,18.36
2091,22.38,27.36,26.89,17.26,15.80,15.55,9.67,9.60,25.70,18.50
2092,22.10,27.10,26.52,17.03,15.56,15.37,9.56,9.48,25.36,18.39
2093,22.14,27.16,26.60,16.99,15.53,15.35,9.48,9.34,25.43,18.31
2094,22.23,27.13,26.64,17.19,15.70,15.45,9.55,9.62,25.54,18.38
2095,22.09,27.02,26.42,17.17,15.76,15.46,9.72,9.72,25.25,18.33
2096,22.10,27.02,26.62,16.88,15.44,15.25,9.35,9.36,25.40,18.19
2097,22.10,27.33,26.65,17.00,15.58,15.46,9.60,9.52,25.20,18.20
2098,22.20,27.35,26.73,17.08,15.68,15.49,9.58,9.54,25.37,18.29
2099,22.19,27.31,26.71,17.09,15.68,15.48,9.60,9.59,25.34,18.33
2100,22.13,27.01,26.58,17.00,15.48,15.29,9.54,9.56,25.42,18.36
