Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
2072,25.83,27.97,26.18,27.97,26.19,24.64,27.23,26.87
2073,26.03,28.18,26.36,28.14,26.39,24.82,27.40,27.03
2074,26.00,28.10,26.34,28.10,26.33,24.79,27.31,27.00
2075,25.91,28.06,26.29,28.10,26.26,24.71,27.32,26.97
2076,25.92,28.05,26.21,28.08,26.27,24.70,27.32,26.93
2077,25.94,28.15,26.38,28.24,26.29,24.74,27.45,27.08
2078,25.98,28.12,26.36,28.11,26.32,24.79,27.37,27.03
2079,26.06,28.22,26.40,28.24,26.41,24.83,27.44,27.08
2080,25.90,28.02,26.31,28.03,26.23,24.71,27.28,26.94
2081,26.08,28.21,26.43,28.28,26.42,24.87,27.47,27.10
2082,26.11,28.21,26.54,28.36,26.43,24.96,27.55,27.23
2083,25.95,28.07,26.30,28.10,26.29,24.76,27.33,26.97
2084,26.00,28.13,26.35,28.13,26.37,24.83,27.36,27.03
2085,25.77,27.93,26.16,27.96,26.11,24.57,27.23,26.87
2086,25.93,28.11,26.32,28.14,26.29,24.73,27.38,27.01
2087,25.91,28.03,26.31,28.04,26.24,24.73,27.35,27.00
2088,25.88,28.01,26.23,28.04,26.23,24.68,27.27,26.91
2089,25.75,27.85,26.13,27.85,26.08,24.56,27.13,26.79
2090,25.86,28.03,26.17,27.99,26.25,24.66,27.21,26.86
2091,26.13,28.22,26.56,28.19,26.51,25.01,27.49,27.19
2092,25.82,27.92,26.11,28.04,26.15,24.60,27.20,26.83
2093,25.95,28.00,26.29,28.10,26.25,24.75,27.30,26.94
2094,25.86,28.04,26.27,28.03,26.23,24.68,27.30,26.94
2095,25.96,28.10,26.39,28.10,26.33,24.82,27.41,27.07
2096,25.79,27.97,26.18,28.00,26.17,24.61,27.19,26.84
2097,25.87,28.03,26.30,28.11,26.21,24.69,27.38,26.99
2098,26.07,28.30,26.43,28.28,26.50,24.87,27.53,27.16
2099,25.81,27.94,26.16,28.02,26.15,24.61,27.23,26.85
2100,25.85,28.00,26.23,28.03,26.21,24.66,27.25,26.90
