Variable:,tasmax
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
2045,37.51,35.61,38.48,36.86,37.78,36.37,37.24,36.55,34.99,37.90
2046,37.60,35.65,38.54,37.01,37.77,36.47,37.44,36.69,35.00,38.00
2047,37.80,35.88,38.77,37.14,38.01,36.67,37.75,36.95,35.21,38.16
2048,37.84,35.72,38.87,37.19,38.16,36.65,37.69,36.89,35.07,38.18
2049,37.68,35.71,38.56,36.98,37.82,36.55,37.54,36.85,34.97,38.12
2050,37.54,35.52,38.59,36.73,37.81,36.32,37.36,36.57,34.89,37.92
2051,37.61,35.67,38.64,36.97,37.86,36.50,37.44,36.73,35.03,37.93
2052,37.91,36.01,38.93,37.23,38.12,36.82,37.84,37.14,35.37,38.22
2053,37.74,35.86,38.65,37.15,38.01,36.61,37.56,36.83,35.19,38.11
2054,37.79,35.70,38.94,37.00,38.10,36.50,37.62,36.80,35.20,38.14
2055,37.94,36.07,38.99,37.33,38.17,36.81,37.74,36.99,35.31,38.29
2056,37.96,36.12,39.02,37.28,38.20,36.87,37.74,37.07,35.33,38.30
2057,38.18,36.11,39.29,37.46,38.53,36.94,37.87,37.16,35.51,38.52
2058,38.14,36.10,39.02,37.44,38.37,36.95,37.94,37.18,35.47,38.57
2059,38.14,36.04,39.05,37.43,38.36,36.91,37.90,37.20,35.37,38.58
2060,38.12,36.12,39.14,37.48,38.29,36.98,37.98,37.19,35.54,38.49
2061,38.15,36.01,39.11,37.31,38.44,36.82,37.93,37.07,35.27,38.64
2062,38.19,36.09,39.10,37.40,38.44,36.90,37.98,37.18,35.33,38.66
2063,38.19,36.04,39.12,37.40,38.34,36.91,38.07,37.22,35.47,38.65
2064,38.12,36.11,39.03,37.34,38.40,36.89,37.91,37.13,35.42,38.55
2065,38.25,36.25,39.20,37.53,38.51,37.01,37.96,37.20,35.65,38.66
2066,38.21,36.26,39.23,37.41,38.44,37.09,38.11,37.36,35.65,38.56
2067,38.24,36.17,39.17,37.57,38.41,37.09,38.11,37.36,35.54,38.64
2068,38.28,36.47,39.29,37.70,38.45,37.21,38.16,37.40,35.63,38.64
2069,38.29,36.37,39.15,37.64,38.51,37.15,38.13,37.35,35.64,38.71
2070,38.45,36.31,39.45,37.68,38.78,37.21,38.26,37.51,35.57,38.85
2071,38.29,36.03,39.35,37.58,38.54,36.93,38.07,37.24,35.44,38.72
2072,38.26,36.35,39.17,37.55,38.47,37.08,38.06,37.26,35.73,38.68
2073,38.68,36.48,39.69,38.05,38.85,37.40,38.42,37.67,35.85,39.13
2074,38.43,36.18,39.29,37.73,38.63,37.09,38.26,37.43,35.66,38.91
2075,38.43,36.19,39.55,37.54,38.80,37.05,38.33,37.49,35.77,38.80
2076,38.49,36.60,39.41,37.82,38.69,37.34,38.31,37.51,35.87,38.90
2077,38.45,36.67,39.50,37.98,38.65,37.43,38.29,37.59,35.93,38.74
2078,38.63,36.51,39.64,37.89,38.82,37.38,38.48,37.61,35.76,39.06
2079,38.44,36.31,39.31,37.72,38.66,37.20,38.20,37.48,35.76,38.89
2080,38.62,36.57,39.46,38.01,38.81,37.47,38.46,37.73,36.03,39.03
2081,38.57,36.31,39.50,37.76,38.77,37.24,38.43,37.65,35.75,39.05
2082,38.77,36.53,39.73,38.15,38.97,37.43,38.57,37.66,35.82,39.24
2083,38.54,36.50,39.51,37.85,38.78,37.31,38.39,37.60,35.83,38.95
2084,38.65,36.56,39.55,37.94,38.90,37.44,38.48,37.75,35.87,39.06
2085,38.65,36.51,39.53,37.87,38.82,37.37,38.50,37.72,35.95,39.17
2086,38.65,36.68,39.53,37.94,38.84,37.51,38.33,37.73,36.14,39.06
2087,38.55,36.52,39.35,37.87,38.63,37.30,38.26,37.55,35.91,39.07
2088,38.60,36.46,39.51,37.86,38.86,37.36,38.20,37.54,35.84,39.09
2089,38.70,36.37,39.63,37.85,38.95,37.35,38.49,37.71,35.84,39.18
2090,38.78,36.56,39.71,37.83,39.00,37.39,38.49,37.66,35.98,39.33
2091,38.73,36.46,39.75,37.98,39.08,37.39,38.47,37.65,35.84,39.15
2092,38.82,36.76,39.86,38.06,38.99,37.60,38.80,37.96,36.08,39.19
2093,38.92,36.67,39.85,38.07,39.15,37.60,38.77,37.92,36.02,39.41
2094,38.82,36.81,39.88,38.14,38.97,37.72,38.76,37.95,36.09,39.19
2095,38.93,36.78,39.94,38.23,39.25,37.71,38.72,38.02,36.14,39.30
2096,38.85,36.65,39.84,38.01,39.12,37.57,38.59,37.74,35.86,39.33
2097,38.73,36.43,39.80,37.99,39.02,37.37,38.52,37.67,35.87,39.12
2098,38.77,36.65,39.67,38.13,39.02,37.52,38.42,37.65,35.85,39.27
2099,39.07,36.90,40.05,38.27,39.27,37.70,38.81,37.93,36.11,39.60
2100,38.90,37.00,39.91,38.21,39.08,37.76,38.64,37.96,36.23,39.30
