Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2071,23.22,12.14,25.74,18.73,26.08,15.46,24.50,20.60,11.89,15.25,23.54
2072,23.20,12.05,25.75,18.76,26.06,15.49,24.58,20.50,11.77,15.14,23.49
2073,23.17,12.09,25.48,18.72,26.04,15.52,24.60,20.46,11.80,15.13,23.42
2074,23.15,12.10,25.77,18.67,26.00,15.44,24.51,20.36,11.85,15.15,23.49
2075,23.12,11.92,25.60,18.62,26.00,15.44,24.36,20.49,11.95,15.22,23.48
2076,23.21,11.97,25.52,18.70,26.08,15.36,24.59,20.47,11.81,15.15,23.52
2077,23.33,12.05,25.68,18.72,26.38,15.40,24.81,20.56,11.85,15.13,23.52
2078,23.19,12.03,25.68,18.68,26.09,15.55,24.62,20.45,11.69,15.03,23.46
2079,23.12,11.79,25.71,18.50,25.92,15.22,24.48,20.37,11.78,15.00,23.52
2080,23.15,11.98,25.64,18.69,26.02,15.34,24.46,20.60,11.73,15.19,23.43
2081,23.27,12.04,25.60,18.81,26.08,15.36,24.71,20.63,11.71,15.12,23.54
2082,23.23,11.93,25.61,18.65,26.09,15.33,24.69,20.48,11.66,14.98,23.55
2083,23.02,11.91,25.61,18.49,25.93,15.28,24.36,20.30,11.65,14.98,23.35
2084,23.23,12.04,25.71,18.66,26.18,15.34,24.63,20.49,11.83,15.10,23.54
2085,23.13,11.90,25.51,18.60,26.01,15.20,24.46,20.50,11.78,15.18,23.46
2086,23.37,12.31,25.65,18.93,26.22,15.57,24.69,20.69,11.73,15.20,23.74
2087,23.07,11.81,25.58,18.48,25.96,15.11,24.49,20.40,11.81,15.06,23.34
2088,23.10,11.73,25.72,18.40,26.07,15.19,24.37,20.43,11.71,15.00,23.49
2089,23.14,11.97,25.70,18.65,25.99,15.34,24.53,20.58,11.77,15.05,23.39
2090,23.20,12.05,25.52,18.77,26.10,15.37,24.55,20.67,11.87,15.28,23.43
2091,23.34,11.99,25.65,18.81,26.26,15.33,24.76,20.66,11.76,15.07,23.60
2092,23.05,12.02,25.62,18.56,25.96,15.29,24.29,20.33,11.79,15.11,23.42
2093,22.89,12.03,25.57,18.44,25.64,15.37,24.24,20.27,11.76,15.04,23.22
2094,23.15,12.03,25.62,18.66,26.16,15.42,24.58,20.37,11.79,15.08,23.36
2095,23.13,12.04,25.57,18.58,25.93,15.37,24.43,20.46,11.75,15.05,23.54
2096,23.19,11.88,25.48,18.57,26.02,15.16,24.48,20.51,11.68,15.03,23.64
2097,23.23,12.00,25.77,18.66,26.25,15.36,24.71,20.43,11.66,14.97,23.43
2098,23.03,11.92,25.73,18.50,25.95,15.29,24.38,20.33,11.80,15.00,23.33
2099,23.11,11.82,25.56,18.40,26.10,15.23,24.47,20.28,11.67,14.96,23.49
2100,23.11,12.08,25.50,18.62,25.91,15.52,24.45,20.50,11.82,15.12,23.45
