Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
2066,26.40,28.53,26.75,28.56,26.74,25.19,27.78,27.42
2067,26.43,28.46,26.78,28.51,26.72,25.25,27.75,27.42
2068,26.53,28.65,26.85,28.65,26.86,25.31,27.88,27.52
2069,26.33,28.46,26.68,28.44,26.65,25.11,27.70,27.35
2070,26.34,28.55,26.75,28.50,26.68,25.11,27.72,27.38
2071,26.43,28.56,26.76,28.55,26.80,25.25,27.81,27.44
2072,26.58,28.73,26.89,28.73,26.95,25.38,27.93,27.56
2073,26.67,28.82,27.06,28.83,27.02,25.48,28.10,27.72
2074,26.49,28.66,26.87,28.65,26.86,25.30,27.87,27.52
2075,26.49,28.67,26.88,28.67,26.86,25.30,27.91,27.56
2076,26.66,28.88,27.04,28.86,27.06,25.46,28.05,27.71
2077,26.76,28.86,27.10,28.83,27.10,25.57,28.11,27.75
2078,26.70,28.86,27.07,28.89,27.06,25.50,28.08,27.74
2079,26.54,28.69,26.93,28.74,26.89,25.34,27.99,27.63
2080,26.83,28.94,27.21,28.89,27.19,25.66,28.20,27.83
2081,26.74,28.95,27.16,28.93,27.11,25.54,28.18,27.82
2082,26.67,28.92,27.09,28.94,27.05,25.46,28.13,27.75
2083,26.71,28.82,27.16,28.76,27.09,25.58,28.04,27.74
2084,26.64,28.79,26.99,28.84,26.99,25.42,28.07,27.71
2085,26.76,28.94,27.10,28.96,27.12,25.53,28.12,27.80
2086,26.83,28.97,27.22,28.95,27.20,25.66,28.19,27.89
2087,26.65,28.75,27.00,28.77,26.97,25.45,28.04,27.67
2088,26.64,28.81,27.07,28.84,26.98,25.45,28.06,27.73
2089,26.76,28.89,27.11,28.89,27.12,25.58,28.11,27.78
2090,26.82,28.97,27.23,29.05,27.21,25.67,28.26,27.92
2091,26.84,29.02,27.22,29.04,27.21,25.63,28.25,27.90
2092,26.83,28.98,27.14,29.06,27.19,25.61,28.21,27.83
2093,26.85,29.03,27.24,29.03,27.24,25.67,28.25,27.89
2094,26.86,29.01,27.27,29.07,27.22,25.68,28.33,27.95
2095,26.96,28.99,27.31,29.08,27.25,25.78,28.30,27.97
2096,26.87,29.03,27.25,28.97,27.25,25.68,28.24,27.89
2097,26.61,28.79,26.96,28.86,26.96,25.39,28.01,27.66
2098,26.83,28.90,27.14,28.97,27.18,25.66,28.15,27.82
2099,26.95,29.19,27.29,29.17,27.36,25.72,28.37,28.01
2100,26.97,29.13,27.28,29.15,27.34,25.75,28.32,27.96
