Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2062,3.71,8.58,4.42,4.68,8.67,8.60,2.48,7.41,7.99,8.33,0.55,6.70,7.07,8.94,7.33,7.58,7.10,6.40,2.39,3.79,6.63,7.72
2063,3.66,9.06,4.74,4.81,9.01,9.06,2.38,7.91,8.52,8.80,0.04,7.20,7.54,9.37,7.77,7.99,7.45,6.91,2.05,3.67,7.08,8.24
2064,4.34,9.26,5.04,5.26,9.35,9.39,3.02,8.26,8.68,9.03,1.32,7.31,7.74,9.59,7.93,8.15,7.66,6.97,2.93,4.27,7.20,8.51
2065,4.31,9.31,5.13,5.33,9.68,9.30,2.82,8.27,8.83,9.06,1.13,7.47,7.91,9.61,8.24,8.46,7.97,7.14,2.78,4.24,7.48,8.58
2066,3.73,8.79,4.58,4.74,8.83,8.72,2.16,7.78,8.27,8.54,0.52,7.22,7.53,8.95,7.73,7.86,7.44,6.74,2.17,3.53,7.09,8.01
2067,3.87,8.87,4.61,4.86,9.15,8.86,2.63,7.62,8.27,8.61,0.73,6.84,7.22,9.19,7.49,7.75,7.21,6.45,2.56,4.03,6.78,7.83
2068,3.98,9.09,4.86,5.06,9.32,9.09,2.84,7.85,8.56,8.77,0.60,7.16,7.53,9.39,7.86,8.24,7.67,6.77,2.49,4.12,7.13,8.22
2069,3.91,9.08,4.73,4.84,8.86,9.08,2.50,7.74,8.32,8.81,0.76,7.12,7.43,9.38,7.61,7.77,7.31,6.73,2.52,3.86,6.94,8.06
2070,3.75,9.28,4.67,4.82,9.20,9.35,2.36,8.18,8.69,9.06,0.24,7.10,7.67,9.61,7.83,8.09,7.55,6.64,2.09,3.76,7.05,8.35
2071,3.65,9.04,4.16,4.45,8.72,8.98,2.30,7.83,8.33,8.77,0.43,6.77,7.35,9.32,7.37,7.58,7.07,6.28,2.31,3.61,6.60,8.05
2072,4.10,9.44,5.48,5.45,9.36,9.50,2.89,8.32,8.82,9.21,0.38,7.86,8.01,9.75,8.23,8.36,7.90,7.54,2.36,4.11,7.60,8.70
2073,3.87,9.19,4.71,4.86,9.30,9.09,2.68,7.86,8.60,8.82,0.45,7.19,7.61,9.46,7.74,7.99,7.40,6.77,2.42,3.90,6.99,8.24
2074,3.71,8.53,4.23,4.40,8.60,8.72,2.44,7.60,8.01,8.34,0.62,6.79,7.26,8.91,7.36,7.60,7.06,6.47,2.40,3.60,6.59,8.01
