Variable:,tasmin
,Barbados,"Christ Church","St. Andrew","St. George","St. James","St. John","St. Joseph","St. Lucy","St. Michael","St. Peter","St. Phillip","St. Tomas"
2091,25.98,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01
2092,25.88,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90
2093,25.92,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94
2094,25.88,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90
2095,26.14,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17
2096,26.03,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05
2097,25.92,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94
2098,25.88,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90
2099,25.96,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98
2100,25.96,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97,25.97
