Variable:,tasmax
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2045,34.84,36.51,34.80,31.74,35.53,37.00,34.16,32.93
2046,34.93,36.79,34.76,31.95,35.38,37.24,34.37,33.07
2047,34.85,36.58,34.82,31.79,35.45,37.02,34.22,32.92
2048,34.82,36.56,34.75,31.95,35.38,37.06,34.18,32.91
2049,34.86,36.58,34.81,31.84,35.51,37.04,34.19,32.93
2050,34.83,36.60,34.77,31.75,35.33,37.03,34.15,32.93
2051,34.91,36.70,34.82,31.74,35.44,37.05,34.18,32.99
2052,35.08,36.83,34.95,32.14,35.59,37.31,34.52,33.18
2053,34.90,36.59,34.88,31.85,35.49,37.08,34.17,32.98
2054,34.80,36.58,34.72,31.74,35.44,36.90,34.06,32.88
2055,35.07,36.77,35.00,32.05,35.68,37.27,34.35,33.21
2056,34.94,36.65,34.90,31.83,35.60,37.17,34.22,32.97
2057,35.22,36.96,35.18,32.28,35.85,37.48,34.64,33.30
2058,35.11,36.77,35.14,32.24,35.75,37.40,34.55,33.15
2059,35.20,36.94,35.15,32.34,35.79,37.46,34.60,33.29
2060,35.14,36.85,35.09,32.23,35.84,37.37,34.56,33.21
2061,35.19,36.98,35.07,32.25,35.83,37.41,34.53,33.26
2062,35.08,36.77,35.05,32.14,35.81,37.26,34.46,33.14
2063,35.32,37.11,35.24,32.38,35.98,37.54,34.69,33.40
2064,35.30,37.09,35.19,32.38,35.96,37.56,34.73,33.39
2065,35.17,36.98,35.05,32.26,35.66,37.54,34.55,33.22
2066,35.46,37.25,35.40,32.45,36.04,37.67,34.83,33.53
2067,35.48,37.22,35.34,32.49,35.99,37.79,34.82,33.54
2068,35.36,37.08,35.28,32.32,35.96,37.61,34.71,33.42
2069,35.37,37.07,35.30,32.49,36.01,37.55,34.74,33.45
2070,35.30,37.06,35.22,32.28,35.94,37.48,34.62,33.38
2071,35.51,37.30,35.52,32.50,36.09,37.77,34.93,33.56
2072,35.47,37.21,35.45,32.49,36.09,37.61,34.82,33.57
2073,35.72,37.52,35.66,32.68,36.40,37.93,35.08,33.81
2074,35.42,37.22,35.34,32.38,35.88,37.68,34.78,33.50
2075,35.63,37.46,35.50,32.70,36.18,37.91,35.05,33.72
2076,35.51,37.24,35.46,32.46,36.12,37.69,34.76,33.61
2077,35.79,37.64,35.71,32.81,36.33,38.02,35.35,33.88
2078,35.63,37.46,35.56,32.59,36.21,37.93,35.10,33.71
2079,35.43,37.21,35.31,32.48,36.05,37.65,34.83,33.51
2080,35.67,37.41,35.60,32.68,36.31,37.80,35.06,33.77
2081,35.73,37.53,35.60,32.79,36.36,38.00,35.07,33.82
2082,35.56,37.34,35.55,32.49,36.20,37.77,34.89,33.64
2083,35.82,37.67,35.75,32.85,36.32,38.04,35.21,34.00
2084,35.69,37.39,35.61,32.68,36.24,37.87,35.02,33.85
2085,35.77,37.54,35.66,32.83,36.37,38.09,35.19,33.84
2086,35.72,37.39,35.57,32.94,36.46,37.96,35.23,33.82
2087,35.67,37.44,35.62,32.51,36.38,37.88,34.98,33.72
2088,35.48,37.16,35.49,32.39,36.20,37.65,34.71,33.53
2089,35.79,37.57,35.68,32.81,36.41,38.07,35.15,33.90
2090,35.88,37.66,35.74,32.89,36.58,38.14,35.27,33.93
2091,35.87,37.59,35.84,32.83,36.61,38.03,35.25,33.93
2092,35.75,37.54,35.57,32.75,36.42,38.01,35.18,33.83
2093,35.77,37.51,35.72,32.79,36.35,37.99,35.13,33.89
2094,35.89,37.68,35.94,32.87,36.41,38.14,35.28,33.96
2095,35.78,37.47,35.74,32.77,36.44,37.98,35.10,33.85
2096,35.78,37.49,35.76,32.82,36.53,37.95,35.13,33.89
2097,35.77,37.53,35.73,32.82,36.27,38.03,35.14,33.88
2098,35.66,37.41,35.60,32.61,36.22,37.79,34.93,33.77
2099,35.92,37.70,35.83,32.89,36.52,38.17,35.23,33.97
2100,35.88,37.75,35.79,32.86,36.43,38.12,35.22,34.02
