Variable:,tasmin
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2041,20.11,13.04,21.50,19.38,17.19,23.10,17.13,16.52,17.60
2042,20.19,13.00,21.56,19.47,17.19,23.22,17.23,16.55,17.58
2043,20.14,13.02,21.57,19.42,17.16,23.17,17.22,16.49,17.58
2044,20.18,13.07,21.54,19.43,17.25,23.24,17.27,16.55,17.60
2045,20.22,13.11,21.58,19.50,17.34,23.28,17.20,16.55,17.57
2046,20.34,13.25,21.64,19.64,17.41,23.32,17.48,16.76,17.80
2047,20.37,13.19,21.71,19.63,17.36,23.42,17.41,16.73,17.76
2048,20.30,13.26,21.68,19.54,17.44,23.33,17.32,16.71,17.72
2049,20.39,13.28,21.80,19.66,17.48,23.45,17.35,16.70,17.79
2050,20.24,13.16,21.61,19.52,17.30,23.27,17.32,16.59,17.65
2051,20.45,13.40,21.82,19.73,17.54,23.46,17.41,16.82,17.80
2052,20.53,13.48,21.87,19.82,17.59,23.51,17.60,16.93,17.96
2053,20.45,13.40,21.80,19.71,17.60,23.47,17.47,16.82,17.79
2054,20.41,13.37,21.79,19.68,17.55,23.39,17.41,16.81,17.87
2055,20.52,13.50,21.91,19.83,17.65,23.51,17.55,16.90,17.83
2056,20.44,13.32,21.78,19.71,17.49,23.45,17.50,16.84,17.91
2057,20.54,13.44,21.86,19.80,17.64,23.52,17.62,17.00,18.02
2058,20.48,13.36,21.82,19.68,17.52,23.52,17.61,16.92,18.02
2059,20.64,13.55,21.97,19.91,17.75,23.63,17.73,17.09,18.07
2060,20.78,13.72,22.10,20.06,17.94,23.79,17.73,17.20,18.25
2061,20.48,13.33,21.88,19.74,17.62,23.54,17.53,16.81,17.87
2062,20.53,13.40,21.85,19.84,17.53,23.59,17.62,16.85,17.92
2063,20.78,13.72,22.15,20.02,17.86,23.78,17.87,17.22,18.30
2064,20.76,13.67,22.11,20.02,17.90,23.75,17.86,17.17,18.13
2065,20.69,13.63,22.04,19.98,17.76,23.75,17.72,17.04,18.06
2066,20.73,13.69,22.09,20.01,17.89,23.68,17.77,17.15,18.10
2067,20.82,13.74,22.18,20.10,17.93,23.86,17.80,17.17,18.12
2068,20.81,13.64,22.14,20.08,17.78,23.87,17.83,17.17,18.24
2069,20.77,13.66,22.08,20.05,17.87,23.83,17.74,17.10,18.14
2070,20.74,13.60,22.05,20.01,17.75,23.78,17.70,17.12,18.11
2071,20.87,13.78,22.27,20.16,17.96,23.90,17.78,17.20,18.11
2072,20.93,13.84,22.30,20.22,18.09,23.96,17.89,17.30,18.30
2073,21.03,13.86,22.34,20.30,18.10,24.01,17.98,17.49,18.54
2074,20.78,13.66,22.10,20.06,17.88,23.82,17.85,17.15,18.23
2075,20.80,13.69,22.23,20.09,17.83,23.85,17.86,17.11,18.26
2076,20.94,13.90,22.22,20.21,18.09,23.96,18.03,17.38,18.48
2077,21.05,14.01,22.38,20.36,18.17,24.04,18.13,17.46,18.47
2078,20.91,13.80,22.24,20.17,17.89,23.97,17.88,17.27,18.29
2079,20.92,13.79,22.24,20.24,18.03,23.93,17.94,17.31,18.33
2080,21.01,13.94,22.43,20.29,18.14,24.03,18.06,17.36,18.41
2081,21.08,13.95,22.42,20.38,18.16,24.10,18.07,17.41,18.40
2082,21.01,13.89,22.31,20.30,18.10,24.00,17.94,17.44,18.39
2083,21.00,13.81,22.35,20.29,18.00,24.07,18.02,17.30,18.31
2084,21.03,13.94,22.35,20.28,18.07,24.02,17.95,17.46,18.53
2085,21.05,13.97,22.37,20.32,18.11,24.03,18.02,17.48,18.59
2086,21.11,14.03,22.32,20.39,18.10,24.11,18.15,17.56,18.64
2087,21.08,13.94,22.34,20.35,18.05,24.09,18.08,17.49,18.51
2088,21.06,14.04,22.39,20.34,18.25,24.04,18.16,17.50,18.49
2089,21.22,14.14,22.45,20.56,18.30,24.22,18.19,17.59,18.59
2090,21.06,13.84,22.36,20.34,17.95,24.13,18.04,17.39,18.40
2091,21.22,14.12,22.52,20.51,18.39,24.26,18.29,17.57,18.64
2092,21.06,14.01,22.39,20.33,18.16,24.05,18.02,17.48,18.40
2093,21.20,14.03,22.49,20.47,18.25,24.26,18.23,17.56,18.67
2094,21.22,14.19,22.44,20.53,18.37,24.18,18.25,17.69,18.69
2095,21.26,14.14,22.51,20.54,18.33,24.28,18.22,17.68,18.73
2096,21.21,14.12,22.49,20.54,18.20,24.22,18.14,17.58,18.55
2097,21.15,14.05,22.47,20.43,18.31,24.16,18.19,17.57,18.50
2098,21.17,14.06,22.53,20.49,18.22,24.19,18.14,17.52,18.48
2099,21.18,14.13,22.51,20.47,18.28,24.21,18.10,17.54,18.54
2100,21.16,14.03,22.48,20.43,18.29,24.17,18.29,17.58,18.71
