Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2051,25.17,25.36,24.73,24.73,24.73,24.73,24.73,24.73,24.73,24.75,24.73
2052,25.08,25.29,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2053,24.93,25.25,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.55,24.53
2054,24.93,25.24,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.54,24.52
2055,24.97,25.25,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.58,24.56
2056,25.10,25.36,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.73,24.71
2057,25.01,25.28,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.62,24.60
2058,25.14,25.40,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.77,24.75
2059,25.14,25.47,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.74,24.72
2060,25.07,25.42,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.73,24.71
2061,25.02,25.31,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.67,24.65
2062,25.07,25.29,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.66,24.64
2063,24.95,25.26,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.62,24.60
2064,24.98,25.22,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.58,24.56
2065,24.93,25.13,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.56,24.54
2066,24.97,25.29,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.57,24.55
2067,25.11,25.40,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.71,24.69
2068,25.05,25.40,24.63,24.63,24.63,24.63,24.63,24.63,24.63,24.65,24.63
2069,25.06,25.32,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.68,24.66
2070,25.15,25.36,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.80,24.78
2071,25.08,25.34,24.70,24.70,24.70,24.70,24.70,24.70,24.70,24.72,24.70
2072,24.98,25.24,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.57,24.55
2073,25.12,25.45,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.74,24.72
2074,25.11,25.36,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.73,24.71
2075,25.04,25.30,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2076,25.03,25.32,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2077,25.05,25.30,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.71,24.69
2078,25.04,25.32,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.61,24.59
2079,25.17,25.43,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.82,24.80
2080,25.09,25.38,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.74,24.72
2081,24.99,25.30,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.66,24.64
2082,25.13,25.34,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.78,24.76
2083,25.07,25.38,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.79,24.78
2084,25.06,25.26,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.66,24.64
2085,24.96,25.23,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.64,24.62
2086,25.20,25.43,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.77,24.75
2087,25.14,25.34,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.78,24.76
2088,25.08,25.31,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.68,24.66
2089,24.86,25.18,24.49,24.49,24.49,24.49,24.49,24.49,24.49,24.51,24.49
2090,25.03,25.34,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.64,24.62
2091,25.05,25.33,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.64,24.62
2092,25.08,25.31,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.66,24.64
2093,24.89,25.12,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.57,24.55
2094,24.96,25.31,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.61,24.59
2095,25.04,25.29,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.73,24.72
2096,25.00,25.28,24.63,24.63,24.63,24.63,24.63,24.63,24.63,24.65,24.63
2097,25.11,25.28,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.78,24.76
2098,24.99,25.28,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.61,24.59
2099,25.06,25.32,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.67,24.65
2100,25.07,25.32,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.67,24.65
