Variable:,tasmin
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2061,15.39,17.37,13.02,17.44,11.38,19.32,21.28,14.72,0.06
2062,15.48,17.46,13.22,17.49,11.47,19.40,21.29,14.77,0.16
2063,15.31,17.31,13.00,17.32,11.25,19.22,21.11,14.56,-0.01
2064,15.26,17.35,12.79,17.19,10.98,19.11,21.21,14.45,-0.19
2065,15.40,17.43,12.96,17.38,11.17,19.39,21.20,14.61,-0.04
2066,15.52,17.53,13.12,17.54,11.39,19.45,21.30,14.77,0.13
2067,15.40,17.35,13.20,17.58,11.44,19.33,21.20,14.83,0.08
2068,15.29,17.31,13.06,17.26,11.26,19.14,21.17,14.56,0.00
2069,15.35,17.29,12.97,17.38,11.35,19.28,21.20,14.74,0.22
2070,15.45,17.45,13.29,17.55,11.43,19.40,21.21,14.77,0.03
2071,15.35,17.38,13.02,17.31,11.22,19.25,21.24,14.63,-0.06
2072,15.26,17.27,13.02,17.13,11.22,19.15,21.07,14.51,-0.04
2073,15.35,17.26,13.02,17.50,11.35,19.29,21.12,14.76,0.16
2074,15.34,17.37,13.01,17.32,11.23,19.27,21.13,14.56,-0.07
2075,15.39,17.37,13.15,17.35,11.36,19.27,21.20,14.63,0.13
2076,15.36,17.36,13.05,17.54,11.37,19.29,21.21,14.77,-0.04
2077,15.28,17.22,13.01,17.14,11.26,19.21,21.15,14.51,0.06
2078,15.50,17.48,13.22,17.58,11.43,19.44,21.33,14.80,0.11
2079,15.44,17.47,13.04,17.45,11.34,19.35,21.38,14.74,-0.03
2080,15.42,17.39,13.10,17.41,11.38,19.34,21.27,14.68,0.06
2081,15.44,17.47,13.06,17.40,11.34,19.35,21.24,14.70,0.07
2082,15.51,17.55,13.14,17.45,11.41,19.41,21.32,14.80,0.13
2083,15.49,17.46,13.18,17.50,11.48,19.42,21.31,14.76,0.22
2084,15.40,17.48,13.08,17.47,11.30,19.28,21.33,14.66,-0.14
2085,15.28,17.29,12.99,17.29,11.16,19.22,21.13,14.61,-0.02
2086,15.41,17.39,13.19,17.58,11.37,19.41,21.03,14.82,0.10
2087,15.34,17.34,13.09,17.35,11.30,19.28,21.10,14.66,-0.07
2088,15.36,17.28,13.10,17.51,11.33,19.32,21.22,14.82,0.05
2089,15.31,17.34,13.04,17.32,11.25,19.25,21.13,14.55,-0.20
2090,15.34,17.35,13.13,17.32,11.35,19.26,21.13,14.63,-0.09
2091,15.38,17.38,13.01,17.26,11.33,19.33,21.16,14.65,-0.02
2092,15.24,17.21,12.94,17.23,11.19,19.16,21.15,14.56,-0.10
2093,15.30,17.32,12.99,17.35,11.24,19.22,21.14,14.60,-0.12
2094,15.46,17.40,13.10,17.52,11.41,19.48,21.32,14.83,0.05
2095,15.19,17.23,12.74,17.05,11.03,19.09,21.14,14.37,-0.27
2096,15.13,17.21,12.79,16.93,10.99,18.96,20.94,14.24,-0.18
2097,15.32,17.44,12.98,17.17,11.16,19.22,21.17,14.46,-0.32
2098,15.45,17.47,13.06,17.31,11.29,19.39,21.31,14.59,0.09
2099,15.36,17.40,13.03,17.34,11.27,19.29,21.12,14.59,-0.02
2100,15.31,17.27,13.07,17.38,11.27,19.34,21.10,14.66,-0.17
