Variable:,tasmin
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2087,16.87,22.85,22.27,10.68,8.96,9.95,2.67,2.85,20.30,11.85
2088,16.85,22.95,22.41,10.63,8.97,9.99,2.60,2.80,20.17,11.89
2089,16.97,23.04,22.55,10.79,9.08,10.12,2.77,2.95,20.27,11.93
2090,16.98,23.05,22.43,10.67,9.05,10.07,2.84,3.01,20.34,12.00
2091,16.95,22.94,22.39,10.87,9.09,10.02,2.77,3.00,20.35,12.18
2092,16.97,23.04,22.46,10.66,9.05,9.99,2.68,2.91,20.37,11.97
2093,17.00,23.11,22.52,10.72,9.12,10.12,2.83,3.00,20.32,12.03
2094,16.98,23.06,22.45,10.72,9.04,10.11,2.82,2.96,20.33,11.95
2095,17.14,23.26,22.70,10.84,9.21,10.22,2.80,3.00,20.51,12.06
2096,16.99,22.89,22.47,10.82,9.18,10.13,2.86,2.93,20.38,12.04
2097,16.86,22.97,22.30,10.78,9.07,10.03,2.76,2.86,20.20,11.85
2098,17.11,23.18,22.58,10.87,9.13,10.05,2.85,3.06,20.56,12.06
2099,16.97,23.05,22.39,10.84,9.24,10.19,2.71,2.90,20.33,11.95
2100,17.01,23.07,22.42,10.80,9.14,10.09,2.73,3.03,20.43,11.99
